Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	94.875244	136.71786	463.67566	-170.49522	91.88695	83.51818	331.5977	46.1486	209.21053	135.6	127999	623.5877	186.61569	1027.0999	-377.58746	-636.00555	773.90137	2461.376396894455
33	51.27169	108.018295	325.77182	-205.35428	11.661081	1.2074536	13.242295	9.781436	149.25	24.7	131999	608.1387	181.22002	1025.5992	-341.19525	-620.0875	772.56	2547.289089202881
34	166.67506	170.9239	467.25656	-43.923344	256.4877	190.77371	581.88544	57.916924	300.07693	270.0	135999	605.751	181.61124	972.73773	-508.062	-618.36115	799.54364	2634.760584592819
35	333.17612	230.4533	999.02686	16.139885	12.255867	259.74902	316.5813	-524.45325	293.0	392.5	139999	609.1813	179.70366	943.56464	-406.3481	-621.7875	795.8472	2724.222093820572
36	287.0477	179.34229	584.5035	30.376856	335.7555	384.9678	1262.1588	-120.28801	205.22223	301.7	143999	605.43005	177.55325	897.7104	-414.69012	-617.7805	783.0804	2811.693324804306
37	309.95456	152.57523	575.32056	69.65692	341.60016	227.41797	920.23596	122.50314	185.09091	164.8	147999	597.71954	173.46085	1057.714	-543.943	-609.2054	726.2741	2898.1341047286987
38	308.89346	266.507	862.6491	59.54199	208.91196	123.321945	495.5919	81.44105	299.2857	151.8	151999	581.7495	166.07043	1066.1198	-596.9297	-592.5278	724.3811	2984.6214876174927
39	220.0553	265.26074	816.94495	0.20092553	196.21835	261.8378	799.7988	-167.49934	198.25	395.1	155999	570.76215	159.20387	948.72614	-527.0443	-581.4321	688.7275	3072.425168991089
40	294.22574	210.69693	755.75684	-91.662056	201.79745	205.59944	782.7238	44.03299	233.8125	249.6	159999	559.0476	156.03345	997.2464	-448.30344	-569.2915	651.54846	3160.0968379974365
41	84.41784	218.0709	796.32996	-285.2812	392.39026	278.469	1103.1963	70.76751	212.8	314.6	163999	551.33026	154.53264	1005.9351	-320.47952	-561.6307	629.75336	3248.18301820755
42	119.05169	194.41284	629.33325	-116.88528	262.9782	246.8327	959.12134	38.340263	193.80952	255.6	167999	548.1278	155.97209	996.1692	-415.22668	-558.39355	665.60803	3335.1708269119263
43	132.39058	164.26543	459.47668	-121.712425	456.748	300.2139	1021.9015	109.41273	235.9375	427.0	171999	545.20746	154.98463	923.21436	-291.568	-555.4055	653.12866	3424.1444387435913
44	178.92842	245.10257	955.65686	-309.73532	803.5571	22.156815	843.75696	773.464	214.05263	677.4	175999	545.4247	154.86214	875.61865	-362.39502	-555.89386	685.5567	3515.0908839702606
45	203.11722	23.077011	271.10498	148.90933	213.16267	24.490685	248.91116	176.86282	136.53334	130.1	179999	565.55475	168.15622	928.4155	-339.16965	-578.33575	766.21387	3602.073984861374
46	223.8778	65.982155	378.304	134.22934	430.58408	82.49746	588.26855	324.30234	142.0	254.7	183999	619.3827	184.85974	952.71045	-454.81552	-633.7055	948.19495	3688.734775543213
47	556.85315	337.96005	1449.5764	163.06187	265.5527	183.17076	583.14624	34.394184	363.63635	219.9	187999	647.0091	187.44278	963.20294	-692.3283	-660.2352	1012.5428	3776.1287631988525
48	326.18054	358.26477	1170.6298	1.5864304	151.55533	228.66832	488.2299	-286.00595	248.76471	172.8	191999	650.90656	183.21025	982.7925	-562.7138	-663.1023	941.0245	3862.9959790706635
49	291.0958	222.3231	836.51605	-61.7467	278.52582	168.23376	648.1466	124.277664	284.7857	232.0	195999	639.2815	175.31567	938.8272	-423.0062	-650.50104	850.5187	3950.424954175949
50	256.7681	199.54575	794.1046	16.94421	507.63397	103.891045	701.8899	342.3558	182.68182	326.8	199999	624.4591	167.46277	988.5284	-374.7393	-635.22394	798.24524	4038.6103749275208
51	423.09595	340.2761	1267.405	1.6167216	566.85077	173.09898	933.15656	313.1372	233.82353	354.9	203999	616.55225	161.61958	950.67303	-361.46628	-627.2795	815.9939	4126.970573186874
52	382.11057	276.47183	847.56866	28.629606	308.55865	296.05777	1079.6454	-40.095448	308.36365	310.7	207999	608.5446	158.1547	961.76276	-334.46234	-618.83026	779.05566	4214.561004400253
53	433.73294	372.23727	1261.7289	37.192043	149.5126	137.12953	303.61487	-52.251568	335.0	189.4	211999	597.5541	152.9879	1008.5102	-341.53897	-607.55035	735.3713	4299.937563896179
54	352.64032	247.58759	1164.5588	23.968534	267.75348	223.60234	857.14667	60.423183	266.35294	199.6	215999	585.7117	145.32224	981.6449	-587.05585	-595.09375	707.2616	4384.506034851074
55	489.2678	408.16837	1511.1079	49.49704	259.4226	101.482864	541.4607	180.00447	337.36365	174.8	219999	571.5373	139.34264	970.83185	-338.59262	-580.6861	659.2117	4468.08002114296
56	228.3145	161.51576	535.5125	-3.8872268	148.56737	104.25932	331.09668	57.16181	205.19048	128.1	223999	557.1153	138.17361	934.8349	-387.76022	-566.0124	653.144	4551.006494045258
57	261.64438	243.42697	758.05505	-33.38172	512.05524	222.82887	873.07635	256.44293	275.35715	346.2	227999	551.1702	136.64479	876.6763	-318.5548	-560.31415	681.7756	4635.8267385959625
58	269.04144	297.91586	1006.5168	-102.55345	345.10638	257.06494	901.13477	69.45733	209.0	230.3	231999	547.7376	134.0958	853.69794	-367.57248	-556.7194	653.0732	4719.251281738281
59	265.46765	271.15717	806.8734	20.48168	818.9388	357.6781	1626.2656	325.8094	197.5	390.7	235999	547.7335	133.96321	873.0393	-304.80286	-556.9994	661.64136	4802.601843357086
60	569.2332	536.84937	2099.001	6.1951156	186.2803	348.84628	892.26154	10.569059	293.3846	92.8	239999	548.59595	133.98921	869.3732	-405.23727	-557.8107	681.4377	4884.377382040024
61	577.692	312.43484	1207.774	6.5744863	525.5518	164.01674	835.9708	295.74667	332.41666	410.5	243999	548.2534	133.93796	819.3548	-388.78506	-557.5421	666.39276	4968.70934009552
62	229.00027	297.04205	1042.459	6.665988	155.27975	185.96213	688.5066	57.510662	179.60869	121.6	247999	542.9361	131.25635	776.28357	-354.7791	-551.7174	659.33105	5050.31854891777
63	477.6253	332.59204	1287.4833	10.95453	518.2183	306.826	1041.1625	50.705597	311.69232	285.2	251999	534.48035	126.98203	776.1347	-372.12375	-542.7871	624.50745	5132.69783949852
64	487.79343	385.4281	1386.7275	18.497602	367.20908	128.67947	569.34814	171.84595	269.8	258.9	255999	528.7836	125.1746	837.5805	-301.01703	-537.3145	615.0355	5215.411356687546
65	459.7254	300.98978	1213.2024	96.73122	410.42133	177.99663	924.88617	297.49606	269.93332	276.6	259999	518.3976	120.354164	818.09125	-356.99	-526.37463	592.8661	5297.991955280304
66	301.25507	278.6753	1192.6132	1.3850147	665.6307	226.15106	1040.4711	321.76624	180.0	361.5	263999	507.1003	116.14565	762.7821	-394.74948	-514.8715	556.207	5379.684124708176
67	260.84656	222.53961	709.3369	1.9843316	133.55138	105.14492	321.47757	30.32133	162.16	89.2	267999	499.74316	106.811485	914.5949	-346.9294	-508.03864	573.55444	5459.298896551132
68	119.35789	147.2965	728.50464	13.752474	211.89572	83.35028	388.8434	119.87947	117.117645	112.8	271999	520.375	121.714355	941.18475	-376.59872	-530.4076	636.0509	5539.659232378006
69	206.48932	205.2648	882.2938	-3.3049765	245.7048	341.12946	959.4749	-88.43621	152.4	231.9	275999	543.37854	134.82118	990.7083	-413.31885	-552.7445	719.72577	5620.035313606262
70	451.2192	570.067	2181.4841	-43.683167	451.886	342.43488	1268.4774	74.39832	311.6154	278.2	279999	544.3273	131.44624	921.9631	-441.85162	-552.96814	683.56824	5701.3322722911835
71	592.5878	403.17047	1788.5614	130.91644	644.7782	270.2815	1081.4741	220.1318	317.69232	293.7	283999	537.9613	128.38481	839.98193	-391.1716	-546.1624	627.95215	5782.714104652405
72	595.56757	586.514	2066.3186	10.702205	861.2311	369.12418	1214.7863	211.5423	300.83334	460.1	287999	528.7555	124.26079	769.80133	-620.028	-536.7714	610.88574	5865.025359392166
73	497.1006	515.91364	1860.6908	33.0149	119.34349	137.90161	503.39813	49.475685	272.9375	88.0	291999	525.98035	125.83114	803.0612	-320.18283	-534.12225	602.7352	5945.352230548859
74	265.1326	445.7098	2161.8777	3.6038294	224.22437	5.3521094	231.5532	215.14096	147.65384	146.1	295999	530.9831	132.81966	811.44464	-323.92538	-539.51825	630.188	6026.233205318451
75	233.59985	236.76643	700.7228	16.647812	1337.7874	464.86728	1972.7448	718.8267	147.625	710.9	299999	542.1154	133.63676	789.5591	-516.8959	-551.12964	668.87	6109.800525188446
76	638.85016	675.8415	2441.768	12.382829	896.70557	473.79724	1906.1791	308.82306	339.23077	492.1	303999	539.1141	127.31917	750.1984	-361.34106	-547.13525	632.5349	6191.975437164307
77	563.49023	336.7497	1056.3943	24.223068	332.15887	290.89084	1060.0557	74.23489	274.64285	350.0	307999	528.198	120.10273	839.8709	-384.99896	-536.02014	620.1617	6273.284101963043
78	552.73926	346.87186	1352.3572	176.02791	529.4954	325.43137	1134.712	110.7945	392.8	472.2	311999	519.1054	116.6519	909.35767	-524.2131	-526.87036	606.7415	6355.787374973297
79	240.7296	246.0099	1037.0359	-28.1186	54.08253	68.605545	254.49786	1.2310416	233.3158	119.3	315999	512.738	110.73826	843.8108	-300.3331	-520.36255	551.2912	6435.2484703063965
80	15.586228	163.7027	427.57	-377.7982	9.162819	84.46622	67.86961	-230.05293	174.47826	114.6	319999	503.28253	106.5019	767.72406	-419.0111	-510.30307	535.07825	6514.5766813755035
81	193.69237	369.2051	1531.4954	-175.50061	689.0507	466.15152	1459.835	84.16596	180.22728	416.5	323999	489.08286	103.66245	706.4771	-328.9315	-495.86517	529.38885	6594.243144035339
82	483.2478	551.02094	2033.1831	10.441316	6.344309	2.2837646	9.689152	1.1960765	289.41666	25.9	327999	477.68427	106.62971	697.20483	-350.8231	-484.4546	510.60278	6670.6078152656555
83	527.4602	577.79584	1822.7633	5.0245695	692.2515	211.63101	1079.5027	368.2694	305.46667	565.2	331999	475.0855	107.649765	735.8674	-304.78598	-481.8945	507.65848	6749.777792692184
84	703.1548	440.2662	1526.4187	305.6829	989.48376	504.0049	1763.7128	345.61047	416.75	585.8	335999	471.67053	106.664345	720.3769	-362.41388	-478.4378	492.952	6828.528388738632
85	898.4847	403.5144	1250.4105	219.49052	567.06213	255.87578	1166.809	387.37994	717.0	298.9	339999	468.1381	104.93192	674.38055	-371.18134	-474.90466	491.85324	6903.749531745911
86	650.73346	662.7005	2424.8062	4.917971	40.579487	4.0871468	49.69801	36.441273	379.63635	44.3	343999	463.18857	102.6122	677.39795	-389.63574	-469.88336	466.18185	6976.526903390884
87	1285.934	593.0695	2197.0825	483.22272	1181.6072	650.6263	2541.9568	435.57547	590.4286	516.9	347999	460.3738	101.988525	674.3952	-403.63736	-466.99088	450.20087	7052.93257689476
88	625.5357	468.87842	1893.1481	10.261339	103.2015	147.90561	515.49207	34.44192	273.08334	71.0	351999	455.9677	100.77857	657.8024	-379.74637	-462.5497	455.5521	7126.041419267654
89	526.24927	674.1907	2338.9473	5.112338	349.86453	274.11896	862.12964	36.551285	239.10527	201.8	355999	451.71756	100.38791	666.91296	-447.6976	-458.0135	453.4223	7200.027905702591
90	453.21344	635.1085	1896.6102	12.541416	465.0494	214.59917	971.8585	241.69624	196.80952	246.4	359999	447.74033	100.40343	675.57007	-428.0456	-454.0813	429.07715	7273.376674175262
91	609.88025	495.8138	1589.9059	36.499847	1282.054	702.65436	2790.7932	359.95523	313.66666	601.8	363999	444.08395	95.81371	632.73706	-519.55255	-450.25018	434.46274	7349.150314807892
92	1697.2196	1165.7852	3000.167	30.93985	960.505	538.1741	1779.3007	227.97131	616.1429	556.1	367999	438.77087	92.2456	632.828	-381.42978	-444.85513	419.41312	7423.940390825272
93	438.85074	681.806	1883.6848	-5.21156	776.89514	442.3905	1775.938	355.36606	233.11765	365.9	371999	433.7068	89.784	618.20386	-301.08774	-439.69232	414.02618	7497.982506752014
94	543.05426	616.0659	1743.9038	14.844448	690.1258	671.3889	2268.5798	34.673405	253.2	314.1	375999	427.20956	88.16434	601.64233	-411.37793	-432.92563	399.3606	7571.932070493698
95	579.4729	362.6484	1062.8419	38.737	28.305918	18.50761	83.688805	20.15037	339.8	43.0	379999	422.35452	85.92215	604.52856	-343.98068	-428.02014	391.2618	7644.150195598602
96	394.30814	707.1737	2731.1008	-4.922068	403.53262	616.3452	2050.7378	24.476337	191.34782	207.4	383999	420.41504	86.43803	597.1052	-418.2999	-426.0842	412.8214	7717.447190284729
97	607.207	786.16846	2191.5706	-5.6274443	648.79895	514.9487	1536.1166	138.55322	308.6154	371.5	387999	420.92325	86.54782	596.72144	-376.87347	-426.65457	385.3063	7790.997958660126
98	679.4311	746.93097	2762.8276	6.3063836	195.21924	113.49567	377.82733	42.350105	309.69232	180.7	391999	420.9095	85.63203	612.1463	-325.05173	-426.44168	388.65	7862.52253651619
99	703.7588	766.6053	2654.8816	26.406479	1183.7034	825.947	2589.257	120.283	421.0	486.1	395999	416.9924	82.2571	643.2589	-327.47656	-422.44324	376.22296	7936.661468267441
100	447.71338	474.25375	1694.3782	49.130936	1155.0294	765.59735	2606.881	187.18611	346.0	503.2	399999	419.27896	85.18658	632.8729	-239.42148	-425.11823	378.83002	8010.7153787612915
101	1215.1914	656.317	2620.2854	592.21906	1614.83	929.96875	3059.7483	395.1848	499.0	607.0	403999	423.8131	87.89775	609.2823	-266.67722	-429.53214	391.91104	8084.917289018631
102	1124.2646	795.805	2633.1553	143.77835	86.953926	2.4972823	89.61104	82.04008	450.1111	69.3	407999	421.8984	86.17904	627.28827	-247.71548	-427.40518	384.56442	8155.824160575867
103	1190.138	754.23584	2562.482	340.22852	884.4629	757.7902	2716.035	46.617046	532.1429	442.5	411999	419.44388	81.26711	607.93054	-316.31104	-424.9118	369.02826	8229.404613494873
104	1300.1279	603.4956	2158.8325	367.17038	1189.6182	826.71326	2691.6646	87.38377	530.0	457.0	415999	417.75787	80.942184	605.8518	-415.14505	-423.0075	372.3145	8302.004164934158
105	995.32806	609.7716	1937.8441	296.9064	1464.268	893.40186	2939.228	140.41911	485.875	618.1	419999	416.98172	82.940254	625.0377	-286.73123	-422.2979	366.5757	8376.906086444855
106	1754.4913	944.90326	2762.3586	59.492004	1025.7751	610.4434	2315.4463	271.65714	634.3333	393.0	423999	419.17136	83.98483	634.4593	-394.43774	-424.66272	374.4331	8449.438259363174
107	839.6045	734.2616	2498.3992	47.722237	920.22235	712.51886	2302.3394	179.77304	346.66666	384.1	427999	421.69388	82.7861	620.4141	-248.048	-427.00912	374.32968	8522.324542045593
108	794.0084	521.7485	1926.8094	216.25224	1477.1842	980.28906	3137.1685	372.82	339.18182	531.0	431999	420.09515	80.55621	602.9344	-317.0534	-425.26544	370.94687	8595.226058959961
109	1101.3502	1029.6215	3309.3335	239.81836	757.79175	513.1651	1704.6371	34.25058	469.22223	387.7	435999	416.00073	78.315865	735.4469	-305.70822	-420.885	340.74268	8668.531860351562
110	782.33716	398.20374	1341.0298	86.233025	902.20496	1007.6751	3238.4026	69.75842	379.81818	360.7	439999	409.69833	75.34661	733.7256	-268.0865	-414.6857	359.99402	8741.00046467781
111	588.4819	458.85065	1592.8241	92.76037	790.43274	736.4456	2771.5378	78.51628	286.14285	310.9	443999	405.7853	69.405914	735.222	-281.19012	-410.73166	351.3091	8813.547082424164
112	388.17316	297.4774	1306.4678	34.251377	885.6079	575.3053	2034.1534	65.90797	197.89473	429.4	447999	404.267	68.67187	593.3152	-367.63263	-409.22687	346.34125	8887.045044660568
113	727.55743	843.77783	3047.146	68.53251	1417.1588	1037.4094	3215.0532	297.58316	315.91666	520.2	451999	402.7504	74.086914	626.6862	-375.85236	-407.61435	335.48035	8960.438644886017
114	1157.2698	972.8417	2943.2078	98.06583	742.5681	407.53183	1334.9086	107.35603	446.75	359.9	455999	405.82288	78.78855	628.199	-395.8798	-411.0248	340.49493	9033.367134332657
115	2026.4224	880.1874	3031.452	433.54172	611.14136	1076.8673	2769.788	14.889339	789.3333	267.0	459999	411.54343	83.22047	609.4202	-296.32343	-416.93707	344.33774	9105.54618549347
116	841.60187	1005.333	3459.1091	5.6831846	1711.967	735.71594	2853.465	476.68512	346.25	614.4	463999	415.58572	85.35047	603.3669	-439.16455	-420.86887	346.2042	9180.019714832306
117	930.6719	715.6906	2458.853	151.28943	735.8063	503.93005	1767.7893	54.624023	422.5	390.4	467999	416.69876	83.88662	607.8642	-295.91666	-421.9233	348.68594	9253.0927567482
118	758.466	903.6908	2499.2014	-3.2525172	1190.8607	796.4984	2536.5002	248.15622	367.66666	638.7	471999	412.62646	80.88544	580.3613	-348.06036	-417.5582	337.63132	9327.77545928955
119	640.0326	503.6768	1708.4458	203.53073	478.32135	381.84244	1191.7423	156.21317	369.72726	359.9	475999	408.98492	78.62046	636.8616	-270.20425	-413.88412	326.38864	9400.506910800934
120	962.3125	716.36304	2163.4004	92.71116	1052.5983	888.9135	3044.4841	136.02307	512.625	583.7	479999	406.43427	77.23191	585.0039	-369.5987	-411.1472	322.27905	9475.218749761581
121	563.26996	514.01373	1890.0879	37.216633	108.916916	6.6611347	119.660225	99.90707	339.91666	86.7	483999	404.24268	73.8253	567.0721	-339.83896	-408.9436	323.7935	9545.077572107315
122	791.80054	478.90207	1451.4822	11.18417	1854.5729	876.1043	2704.26	148.88277	321.0909	734.2	487999	398.72064	71.083336	562.56647	-360.24384	-403.14676	315.0545	9618.841549158096
123	1089.5493	733.82434	2507.9626	334.45654	980.96277	572.9418	2122.0342	361.6925	497.8889	434.2	491999	393.0443	68.75006	537.1517	-348.35757	-397.41852	306.67355	9690.590465068817
124	1767.8025	791.1566	2353.8894	242.66599	1666.0566	835.81635	2746.0466	478.69513	767.0	700.3	495999	386.35107	65.61139	526.97	-328.3654	-390.46417	300.26276	9764.40979218483
125	913.13184	644.4611	2112.9446	96.17022	1256.3744	1013.3256	2961.4487	252.36057	375.3	442.2	499999	379.17493	63.463207	524.18463	-322.0006	-383.31937	285.64938	9836.136738061905
126	1566.342	718.0708	3094.1995	516.2526	996.51385	773.45966	2767.9092	182.1736	539.5	359.4	503999	375.33676	63.195568	524.8137	-297.71567	-379.38315	274.675	9907.607576608658
127	504.5171	452.43246	1314.8619	116.28524	1021.0731	836.799	3255.4617	127.64088	256.125	386.0	507999	372.4131	63.261288	536.34247	-315.38065	-376.4607	260.37027	9979.64930510521
128	1306.571	1214.7017	3285.274	41.545387	843.8956	490.09186	1574.1122	141.5516	484.625	331.9	511999	368.44733	63.43203	526.2093	-380.13895	-372.2795	260.29706	10051.416504144669
129	441.92444	570.5456	2654.787	0.51759493	663.3263	653.3103	1814.791	137.37271	229.16667	258.3	515999	364.0884	64.00716	540.52924	-374.1836	-368.0675	258.91464	10121.926164865494
130	457.36194	522.7602	2095.8962	-5.2820716	863.01886	632.77313	2238.731	126.588684	221.5	447.9	519999	365.1532	64.70249	822.8479	-331.9092	-369.21094	258.25134	10193.998780488968
131	464.15875	714.99084	3045.3818	-6.275502	830.29474	989.17957	3342.5908	-6.234548	199.75	311.4	523999	366.21432	64.52778	794.7395	-307.5111	-370.20886	266.20483	10265.293365240097
132	522.33655	748.132	3310.2874	-4.5871406	435.05084	367.0148	1283.1437	133.14752	210.73685	247.5	527999	363.22836	64.48626	586.405	-307.70923	-367.02206	256.1173	10336.473737001419
133	766.1641	837.5754	2602.3494	98.610695	799.7524	574.1623	1571.9695	110.155334	304.75	277.0	531999	361.08612	64.18659	536.37	-358.62952	-364.91415	255.33516	10407.717206716537
134	492.96823	774.1596	2718.683	-6.601944	716.1798	863.77435	2805.3252	45.022022	186.69565	324.3	535999	359.41748	65.002045	520.81647	-314.5584	-363.33945	268.45154	10478.438356876373
135	701.2152	995.18756	3959.0764	99.42349	1291.612	1011.08215	3297.6821	129.10962	237.125	440.1	539999	359.94553	65.2661	539.6825	-346.7919	-363.79153	248.9122	10549.482325792313
136	913.4318	821.7193	2875.232	82.58814	609.45105	359.08624	1305.6562	172.11772	337.83334	230.9	543999	360.155	65.004974	493.05667	-242.02428	-364.04626	269.8357	10618.948654651642
137	632.95325	880.10126	3019.044	81.350296	838.1279	380.09445	1558.7402	152.73685	220.05263	306.0	547999	359.14532	64.10595	512.9138	-409.03436	-362.90924	245.22472	10688.292181968689
138	1030.4928	732.94025	2550.02	109.85577	1636.7992	1339.1022	3947.1663	235.94931	332.0	512.3	551999	357.74124	63.483086	545.60004	-213.73985	-361.4628	254.6562	10758.157178163528
139	1086.3248	765.9011	3006.7717	-1.7565981	33.997593	1.3647513	36.396606	32.354347	377.0	47.0	555999	357.81393	64.06039	498.26413	-496.67136	-361.6437	262.85632	10825.746166467667
140	1450.7125	1172.7273	3477.1892	41.465668	2642.8372	778.89685	3248.0132	576.6388	465.55554	851.2	559999	358.88675	65.58426	513.23157	-315.91235	-362.71637	260.2787	10897.831853628159
141	1036.2316	809.2678	2566.9778	42.461205	776.6052	479.2047	1613.7795	58.285446	352.18182	307.5	563999	360.59335	65.34479	516.49896	-311.53357	-364.41788	252.87247	10967.206002473831
142	1474.2104	943.87854	3488.1184	608.83563	1184.0629	583.427	2585.8928	331.20618	507.125	386.9	567999	359.78403	65.61442	497.75586	-329.9724	-363.5103	253.67632	11035.889553785324
143	1792.3446	1103.372	3875.4663	576.71277	1916.1752	689.3609	3156.0159	977.7203	553.8571	811.5	571999	359.25076	64.86233	488.88266	-362.08844	-363.03812	253.04875	11107.634414434433
