Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-69.991684	106.16514	1.8612303	-357.90106	62.270863	80.41003	237.11366	0.13193844	193.375	341.4	3999	5.6083584	3.9377136	24.512156	-5.1760373	5.6084213	3.9370484	24.239597	-4.9774184	-4.1470613	1.8057029	8.220653	-14.065634	-6.8404336	0.7352774	79.4626076221466
2	-102.23406	138.48772	41.24214	-345.57233	74.07713	138.04286	475.2593	-13.443547	324.8	387.0	7999	19.478996	5.4676886	44.291924	-6.909105	19.478537	5.4661655	43.413376	-5.7358255	-2.8697484	2.286907	14.081686	-14.80775	-20.875023	1.8001243	185.56746196746826
3	-137.87376	169.7003	-4.557357	-508.6609	59.440258	254.42937	480.91147	-352.22974	365.72726	639.0	11999	33.339554	5.136931	62.42982	-17.196531	33.339104	5.1379843	63.24372	-17.081675	-2.7317088	2.420664	17.269913	-15.980137	-34.630238	3.3866558	295.6644287109375
4	-64.24881	98.65684	23.547733	-251.6202	605.1588	58.84289	725.833	512.04626	349.81818	1000.0	15999	37.976326	4.642638	67.03242	-24.428364	37.975628	4.6322637	65.18319	-17.91019	-3.5155342	1.9327788	16.48133	-13.550995	-38.839962	3.758577	409.0099449157715
5	-26.100624	84.420395	94.86794	-192.05214	556.44696	110.739784	765.5756	322.26962	517.125	967.4	19999	38.74272	4.7097406	67.00727	-15.11082	38.742218	4.700696	66.62958	-23.109735	-3.6652806	1.8154194	16.69949	-16.837662	-39.505672	3.487398	522.3261408805847
6	-16.576817	41.895725	40.36107	-100.261345	719.46936	203.24864	883.48816	144.39767	356.55554	920.1	23999	39.29724	4.880304	73.2575	-24.52124	39.296894	4.8774147	70.61735	-21.056765	-3.6449282	1.8159446	19.030594	-16.528954	-40.010784	3.941222	635.2430846691132
7	8.450476	33.682777	83.0095	-33.977596	586.5651	192.5216	852.86066	104.300766	241.375	913.3	27999	39.796043	4.906722	73.30464	-18.031708	39.79577	4.8988423	71.92507	-26.447765	-3.543722	1.851289	20.279259	-14.654476	-40.467346	4.7281427	748.2825169563293
8	16.774717	42.281723	109.70873	-44.126938	671.701	69.56046	757.6881	531.03784	511.77777	1000.0	31999	40.201416	4.6863227	75.80375	-17.395887	40.200985	4.685001	72.844	-23.209732	-3.5040653	1.9080013	22.678299	-14.089615	-40.873653	4.3036795	861.7939939498901
9	23.368397	46.68717	109.75563	-51.54349	719.15173	46.745823	789.7807	652.6242	394.0	996.7	35999	41.075527	4.5825467	74.26814	-19.741348	41.075077	4.5782146	73.671036	-20.874418	-3.535025	1.8985146	20.12987	-15.315953	-41.73286	4.360811	974.894186258316
10	86.18629	25.786274	135.22197	64.22213	796.4664	30.904133	857.61304	746.7599	699.0	1000.0	39999	41.937748	4.732908	76.04209	-21.762949	41.93754	4.725157	76.12297	-18.744217	-3.4771712	1.9189183	20.94233	-15.162864	-42.582386	4.6883826	1087.7570397853851
11	80.13137	50.07238	175.2844	3.992603	678.9359	245.78429	944.9623	125.98893	381.0	855.2	43999	42.932564	4.806567	78.29456	-22.309332	42.93256	4.7979455	75.12892	-30.374561	-3.461348	1.932268	25.694874	-15.304052	-43.557312	4.5996795	1199.7970492839813
12	127.85315	56.341908	220.53154	42.49271	603.2755	304.72473	933.3246	76.382904	588.8571	911.4	47999	44.149006	4.876084	74.76116	-22.32383	44.14903	4.867064	75.71423	-21.8628	-3.4492898	1.9184381	24.217295	-15.099062	-44.76347	4.5687633	1312.511655330658
13	97.50751	65.19039	196.45058	1.579955	699.9402	275.30698	926.88654	101.95014	533.1429	835.3	51999	45.27969	5.3048024	74.914444	-22.41485	45.279743	5.2985463	73.22326	-17.475254	-3.4272037	1.9031452	24.547659	-15.759398	-45.881886	4.582703	1424.2850131988525
14	77.31634	52.13178	173.40097	-2.9575393	870.27814	241.92265	1113.0875	204.38306	515.0	920.3	55999	46.63613	5.84478	75.37884	-25.942701	46.635796	5.8433504	77.19706	-27.272003	-3.4243252	1.9233334	28.07159	-15.039831	-47.24833	4.5278554	1537.7404913902283
15	159.06422	82.736206	285.49762	39.644787	548.3529	365.96268	960.1725	20.10053	700.6667	616.0	59999	48.12992	6.3695893	77.7518	-21.596077	48.13012	6.365787	77.60269	-26.030094	-3.3909833	1.9504042	23.732302	-16.116776	-48.75082	4.5146737	1648.5990374088287
16	98.644295	95.80674	399.82242	24.74758	972.48505	75.743515	1098.6122	848.3761	240.15384	1000.0	63999	49.592957	6.825916	80.83496	-20.42926	49.592945	6.817626	81.929726	-21.952644	-3.3522537	1.9617293	25.864286	-13.706237	-50.19332	5.0090203	1763.8227288722992
17	164.93848	130.71062	496.69528	19.061134	875.8331	62.75826	928.9812	716.61096	458.9	1000.0	67999	50.953903	7.298006	80.43302	-24.201693	50.95379	7.293944	81.45739	-26.082232	-3.3414536	1.9406412	21.628775	-16.287273	-51.542366	5.1608806	1880.1024889945984
18	149.63815	82.497826	313.83414	43.255257	892.66534	57.44201	994.9812	809.82196	530.25	1000.0	71999	51.918335	7.966929	78.72039	-28.610958	51.918137	7.96646	78.771225	-22.733541	-3.31577	1.957442	29.49392	-14.595957	-52.493282	5.3325634	1998.406521320343
19	147.49307	113.846016	370.47305	7.674426	707.6715	291.84772	997.6377	221.93147	498.75	751.9	75999	53.02736	8.634045	77.76855	-24.9588	53.027306	8.630143	77.963356	-25.167387	-3.302954	1.9862804	35.81973	-14.518798	-53.596054	5.3147287	2118.7724227905273
20	240.04034	144.40103	386.31458	60.893814	826.5959	103.28157	934.82104	568.7534	771.0	948.2	79999	54.309147	8.997452	79.033516	-23.787489	54.3089	8.994923	81.34976	-29.514057	-3.34776	1.9567316	28.478966	-14.427673	-54.87696	5.174964	2243.180759191513
21	146.55502	48.673424	200.81541	53.684986	832.7689	237.21286	1054.2491	176.27715	485.66666	915.8	83999	55.53309	9.390339	81.144714	-30.350182	55.532894	9.389225	81.02832	-25.890213	-3.3377702	1.970004	27.985094	-14.167562	-56.096832	5.2252665	2368.7849304676056
22	190.34172	116.73435	325.0905	7.858351	688.2174	461.8966	1193.467	18.86604	599.0	628.1	87999	56.81365	9.717442	81.37495	-20.738737	56.813446	9.715467	83.75514	-22.037924	-3.3502152	1.9700909	23.611176	-14.6872	-57.380257	5.2191405	2491.6227281093597
23	169.82018	112.0443	346.0597	20.88108	773.61926	329.30887	1090.9095	98.868645	689.8333	756.3	91999	58.16144	9.839895	81.754234	-32.293076	58.161564	9.835989	85.48213	-31.113695	-3.3676744	1.987269	23.359262	-15.888079	-58.735405	5.2005253	2616.7692086696625
24	147.28815	82.41753	281.70404	16.118168	888.7503	331.04645	1367.4778	195.1904	433.55554	841.0	95999	59.477493	9.908667	89.77439	-36.545025	59.477654	9.909984	84.87009	-35.78013	-3.3733544	1.9882065	26.38227	-13.568959	-60.05769	5.083794	2742.6973156929016
25	156.08871	101.86548	304.01266	-0.63381076	950.9928	222.19849	1078.1782	300.02338	595.0	924.6	99999	60.72131	9.993408	83.893326	-28.853018	60.720955	9.993704	84.574165	-31.147196	-3.3575714	1.9949615	24.408255	-14.438744	-61.302444	5.2001076	2869.964801311493
26	211.2173	253.69662	955.6496	20.117878	963.7072	283.97137	1332.6876	221.52805	349.75	864.3	103999	61.865677	10.081578	89.070625	-24.146511	61.865166	10.083456	92.560356	-36.399574	-3.365295	2.0007124	25.089825	-15.134521	-62.434547	5.5162697	2997.1236498355865
27	168.41983	138.32397	371.12564	4.86199	696.21906	367.96225	1081.1234	27.926785	434.625	716.7	107999	62.78866	10.252699	93.45892	-30.141735	62.788445	10.252506	91.92709	-28.959162	-3.3453372	1.9982933	28.999182	-15.353821	-63.354095	5.8038645	3124.2736117839813
28	191.1498	128.84222	426.0251	40.313366	1007.1253	198.524	1190.4912	441.8146	514.7143	935.2	111999	63.707256	10.398285	93.83419	-26.65948	63.706814	10.398862	95.55825	-37.168903	-3.3539639	2.017452	26.285542	-13.572614	-64.26601	5.6703906	3250.794801712036
29	156.20218	93.687386	331.486	59.606663	809.72437	389.64	1241.0851	67.38992	445.63635	744.3	115999	64.740906	10.41553	92.19427	-41.271008	64.74078	10.414751	93.67302	-25.296928	-3.3466995	2.0369575	29.177866	-14.238509	-65.30359	5.7369494	3374.9565331935883
30	160.6316	119.241585	410.8494	25.04416	1052.2257	226.8982	1367.8456	589.19794	505.7143	936.4	119999	65.56728	10.48728	94.02647	-33.936024	65.56696	10.489153	96.44777	-35.73916	-3.317268	2.0608704	33.462303	-13.720369	-66.13847	5.897618	3501.6111533641815
31	262.6267	125.99938	464.14413	109.53522	971.09924	224.14354	1194.8031	335.94983	590.8333	922.0	123999	66.45255	10.42527	97.15433	-32.950523	66.4523	10.427466	96.599365	-44.71738	-3.3454463	2.0532482	28.212757	-14.787575	-67.024	5.940058	3626.4392127990723
32	166.60966	155.98117	414.3703	4.7375216	856.11633	336.50812	1220.0656	51.162273	381.63635	824.4	127999	67.13605	10.384098	96.37161	-66.18516	67.13602	10.382405	95.70865	-29.65868	-3.3388343	2.0669305	32.77617	-13.94059	-67.69939	6.045553	3753.004645586014
33	225.67047	115.641884	339.67432	-10.072092	865.50037	386.27124	1215.377	61.18696	734.8333	815.5	131999	67.73361	10.427558	94.85835	-28.365086	67.73336	10.428694	95.07968	-47.730705	-3.3339067	2.0577273	34.832634	-14.391186	-68.29216	6.0932693	3878.18470454216
34	218.49876	152.13304	504.7526	36.992104	657.8637	420.2458	1163.1484	49.48583	684.1667	580.3	135999	68.421814	10.401529	96.161934	-31.469107	68.42184	10.401456	101.036285	-44.104958	-3.328649	2.0592308	30.516193	-14.263349	-68.97923	6.0261865	4000.224819421768
35	209.38528	109.57839	355.75406	26.179853	1084.4069	126.05355	1292.7207	876.9031	675.8	1000.0	139999	69.00792	10.475387	98.22059	-26.924444	69.00775	10.475437	100.16233	-32.970066	-3.3040779	2.0860379	33.365047	-14.72105	-69.57094	5.8811874	4127.478701591492
36	313.77042	195.45697	567.9301	73.08533	1004.63684	357.9012	1726.4446	274.94525	815.2	844.6	143999	69.62988	10.582952	99.48884	-44.621487	69.629684	10.582971	103.24593	-29.105337	-3.271122	2.1041985	28.183899	-14.778688	-70.19184	5.968412	4252.5826716423035
37	262.12344	85.43444	414.88187	161.70036	647.66565	392.99677	1121.7981	22.374878	825.6	521.2	147999	70.24828	10.499779	101.55873	-32.33844	70.24833	10.498219	103.67016	-28.896265	-3.3047893	2.0862794	37.283478	-15.559456	-70.81599	5.767306	4371.766975879669
38	217.26546	133.3252	476.91275	18.515133	870.3304	566.2059	1649.6807	7.631121	548.375	716.0	151999	70.78704	10.520932	102.34161	-33.560555	70.78703	10.520673	102.07309	-31.506191	-3.3057556	2.1001868	36.382915	-14.678899	-71.35592	5.8891697	4494.436953306198
39	295.22928	195.62624	669.23175	98.237114	829.3118	445.49203	1500.2632	88.20646	833.4	635.3	155999	71.39967	10.480714	103.536606	-37.13913	71.39986	10.474669	103.535934	-35.20752	-3.2862442	2.117495	29.53882	-14.913635	-71.96645	5.8444104	4615.583091497421
40	245.51036	243.40561	870.5488	33.351524	867.8166	341.87894	1367.5116	165.13531	392.22223	715.4	159999	71.97713	10.469063	104.789955	-38.386456	71.97698	10.463693	105.65087	-27.378632	-3.2987113	2.1230032	35.415592	-16.131063	-72.54164	5.9311447	4737.452239513397
41	347.96967	180.54561	696.00757	195.95436	779.2446	528.34625	1405.3972	11.528167	901.6	616.1	163999	72.53038	10.52674	104.97655	-38.06097	72.53019	10.523287	107.14451	-33.493156	-3.2512531	2.1536627	29.757578	-15.477028	-73.103584	6.315327	4858.763464927673
42	390.30774	171.44147	579.07996	170.59036	969.37665	294.57693	1185.8242	109.38916	1000.0	905.6	167999	73.09856	10.367253	106.89887	-41.253944	73.09848	10.364453	105.088875	-53.07639	-3.2875493	2.1403263	29.618776	-14.604408	-73.66685	6.1156535	4984.633352279663
43	342.27417	138.14697	569.1065	160.22125	670.01917	499.47363	1443.4585	59.691902	709.8	562.7	171999	73.627625	10.287367	105.11355	-36.285286	73.62788	10.284774	107.34585	-31.247046	-3.298602	2.1368015	31.28402	-14.511408	-74.197395	5.9766717	5105.9496483802795
44	303.96988	196.15718	599.68805	57.9096	1073.0837	308.80197	1459.3477	223.33542	608.7143	890.2	175999	74.13767	10.229391	108.96037	-43.302612	74.137215	10.227811	106.78834	-35.837605	-3.2830744	2.1388974	34.04237	-15.89823	-74.7039	6.079342	5231.484459638596
45	378.72345	137.66452	570.8535	230.33072	1042.075	430.22418	1721.5704	335.0891	823.75	836.3	179999	74.621346	10.094318	111.29183	-32.605873	74.621376	10.095341	107.23131	-44.75277	-3.2680943	2.1620624	43.02317	-14.1401825	-75.19098	6.075418	5353.221226215363
46	514.2466	188.79161	777.1772	244.65784	847.1271	393.16516	1380.5618	63.531334	1000.0	663.4	183999	75.25052	10.10598	112.38914	-25.255798	75.25027	10.104119	114.54596	-42.61093	-3.264533	2.1760058	37.522163	-13.793159	-75.82252	6.197464	5470.131434202194
47	340.83502	223.31702	683.0458	79.24268	785.9797	349.04242	1223.9885	43.32496	665.7143	690.7	187999	75.726204	10.104882	113.64986	-27.445192	75.7258	10.102172	113.82092	-33.299343	-3.231105	2.1830575	38.02713	-13.839079	-76.29471	6.2565517	5588.50737118721
48	263.8262	206.64001	773.56396	45.856743	1144.8077	420.70526	1873.7909	427.175	431.66666	854.0	191999	76.20435	9.889092	112.369545	-52.14351	76.20452	9.8846655	113.00993	-30.588593	-3.2602355	2.1924164	34.300125	-15.475978	-76.78019	6.2846346	5708.478096008301
49	370.00552	255.01593	714.9629	5.6438518	1284.4623	450.56476	1975.412	321.73035	692.6667	885.8	195999	76.63556	9.882333	115.50838	-38.179733	76.635414	9.878596	114.38372	-57.999634	-3.2116778	2.2139819	50.534225	-16.544575	-77.19424	6.658759	5829.584651708603
50	285.59357	219.00261	639.41394	37.953667	1051.02	700.86945	1934.5065	22.111752	457.25	653.2	199999	77.080086	9.876855	115.12682	-31.186165	77.08	9.875005	115.60742	-35.499775	-3.2357743	2.193222	40.945835	-15.83308	-77.64119	6.7108636	5948.0053498744965
51	296.01752	230.20311	642.3466	8.709048	913.7294	296.58118	1321.6498	234.52673	639.4286	844.2	203999	77.39263	9.7906065	114.242874	-42.972675	77.39231	9.789271	114.42869	-36.714478	-3.2611015	2.1721878	80.36041	-13.2369175	-77.95038	6.611095	6068.527359962463
52	206.26895	93.078064	302.5744	39.05544	1057.3016	535.043	1841.5106	76.29702	627.6	816.9	207999	77.6792	9.7563505	115.26686	-41.26459	77.67933	9.755584	114.44424	-38.508476	-3.2696197	2.1973362	46.393833	-15.457346	-78.23738	6.6046386	6187.416631698608
53	739.02203	406.88165	1443.1907	478.88803	1020.5742	454.41406	2111.5437	481.74765	1000.0	788.7	211999	78.04828	9.835005	114.71227	-42.99978	78.04843	9.836079	116.62491	-46.961662	-3.2372255	2.190926	41.73367	-19.164764	-78.59764	6.7404737	6308.038897275925
54	713.19763	554.51587	1787.2587	185.50598	1413.869	401.4278	2064.0037	999.042	866.6	952.9	215999	78.509415	9.952747	117.38694	-44.380695	78.50915	9.954298	117.01054	-27.824219	-3.2528586	2.1903558	34.137383	-15.084082	-79.06164	6.731916	6430.530321836472
55	622.59906	355.58823	1134.5211	138.25964	1103.0251	656.47064	2157.4905	38.693222	774.0	804.0	219999	78.96793	10.090606	117.8845	-41.435207	78.9679	10.087888	118.43732	-41.293327	-3.2386637	2.2272265	45.457417	-15.038269	-79.52336	6.7450566	6550.531325817108
56	553.5072	388.4846	1087.2366	13.3586855	1480.1907	582.24	2114.7576	345.34177	754.75	861.1	223999	79.5376	10.332336	119.82736	-35.97368	79.537544	10.330622	122.96739	-38.738014	-3.1767094	2.2637076	53.94128	-14.2235775	-80.09217	7.134657	6669.1039686203
57	431.96085	365.58398	1160.8124	1.4890622	1002.0475	743.1409	1880.4957	11.309361	625.0	541.9	227999	80.10088	10.396238	123.56596	-48.63574	80.10098	10.3923025	122.54157	-37.52932	-3.1730704	2.257458	35.15931	-14.234074	-80.662704	7.1782856	6787.524402856827
58	420.55173	272.16763	893.1052	80.585236	1381.2761	511.9596	2148.87	288.9101	627.8333	851.2	231999	80.61749	10.481069	123.92354	-29.747976	80.61771	10.479087	122.15756	-37.07417	-3.1979825	2.259831	35.63521	-17.164564	-81.16851	7.2434025	6909.209187746048
59	660.2318	178.53023	844.51843	364.1031	1476.5466	763.74646	2106.5388	59.14638	896.6	813.5	235999	81.05848	10.680554	124.46033	-46.193348	81.05807	10.676939	124.831215	-40.24509	-3.1594496	2.2975504	72.44014	-13.650045	-81.61453	7.4129725	7027.9360427856445
