Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	18.503153	20.998348	158.14136	3.7527716	92.15698	0.90759796	93.48105	91.039925	22.156425	51.4	3999	11.229171	9.072475	55.993954	-12.145896	11.228691	9.078979	56.097443	-11.922866	0.60556865	2.37661	15.305692	-11.690441	-12.9500675	2.5354862	49.1196494102478
2	18.699993	15.925321	136.10913	5.0224743	232.00806	1.2363373	233.75168	230.85016	22.914772	98.4	7999	52.266506	21.912558	124.38564	-36.80522	52.263985	21.954744	120.06262	-54.425316	2.7822137	2.6724534	21.121002	-14.520305	-57.180763	27.28287	113.7159309387207
3	49.652966	92.792404	341.88086	4.76476	310.59198	1.6775852	313.19617	307.8649	34.265488	146.6	11999	100.35957	32.45884	197.88301	-83.2728	100.35835	32.52786	204.6645	-66.21521	3.0286522	3.1231673	30.703894	-11.114496	-107.2763	70.47562	178.57317781448364
4	262.3858	56.573524	325.21	8.959087	307.0815	4.1167254	314.4492	302.65942	118.70588	142.6	15999	148.36887	44.739624	224.47722	-84.958084	148.36702	44.796497	221.37444	-74.242455	3.0867531	3.3519557	37.86383	-13.878627	-155.62112	91.71444	245.7297236919403
5	312.887	68.59067	533.1047	156.21732	634.7824	276.57666	1055.1893	413.76147	151.07692	494.0	19999	169.78104	51.710876	233.03654	-99.13396	169.78136	51.750645	227.33705	-88.53242	2.7223623	3.4605212	39.67139	-13.349796	-175.75005	90.30898	314.7901313304901
6	318.01218	84.86048	523.039	205.32555	269.5701	1.8868194	272.84012	266.84137	166.08	109.0	23999	171.42038	55.25196	233.15758	-98.458435	171.42123	55.278973	232.03561	-97.41774	2.2347016	3.2954538	43.73256	-10.989604	-176.20537	76.44393	379.32041215896606
7	303.18872	24.758598	348.8639	260.32413	344.07758	8.056431	350.86807	326.96347	125.70968	129.1	27999	165.10661	57.597427	225.80536	-112.39559	165.10657	57.608543	226.21472	-121.84549	1.6690458	3.102159	52.065617	-12.799906	-169.0132	62.67556	447.00311946868896
8	355.29605	65.42718	641.95026	259.05026	326.39926	1.0447211	328.36258	325.24084	157.03847	129.3	31999	156.4686	56.175827	216.25467	-94.26408	156.4703	56.17503	216.96889	-93.99194	1.3233389	2.9309888	41.58488	-15.60852	-159.72604	46.168934	513.8563647270203
9	343.37228	61.41877	598.1828	302.86053	481.14813	11.057805	496.46857	463.34164	153.38461	282.7	35999	148.51427	52.151043	210.93066	-76.736115	148.51596	52.140556	211.45747	-105.42091	0.85839033	2.7910542	41.757164	-11.803549	-151.16635	36.137066	580.8408439159393
10	593.26	289.3275	1053.6704	313.76157	1053.0386	0.618427	1054.0486	1052.1619	436.33334	1000.0	39999	142.55113	48.41982	196.8397	-69.668434	142.55386	48.407116	196.77415	-81.71987	0.60930187	2.659493	42.693443	-12.273998	-144.80534	31.203796	654.2559959888458
11	577.66046	337.16312	1059.3988	331.73715	69.36641	0.8350863	71.705025	68.59094	419.8889	44.1	43999	138.47116	44.363976	189.83876	-124.22344	138.47363	44.343605	191.51859	-102.507576	0.41714206	2.545201	51.501213	-12.945061	-140.3863	25.553158	722.405650138855
12	321.6293	171.18858	1049.1724	50.016132	336.6821	2.0757978	339.52753	333.13947	153.03572	151.0	47999	135.61163	42.8206	192.59325	-117.28964	135.61421	42.80078	194.28047	-109.246704	0.24221241	2.4946551	54.222313	-11.51365	-137.35382	26.588139	791.5502264499664
13	322.01227	79.69511	381.34686	8.314918	369.8212	0.835201	371.07553	368.89438	130.51613	138.5	51999	133.38959	42.956745	185.31609	-77.849174	133.39172	42.936924	186.63657	-81.01194	0.10366455	2.3840973	46.927387	-11.769152	-134.97366	27.89684	862.3022537231445
14	389.4235	56.511147	543.40796	323.6441	418.00488	3.1129198	422.45883	410.152	165.25	153.5	55999	132.20708	43.289173	184.26164	-97.05202	132.20882	43.263947	186.24742	-102.12562	0.023337925	2.356146	36.390224	-10.945401	-133.72815	23.796545	934.6792607307434
15	392.65155	12.697593	415.57303	364.24808	444.22858	2.174879	447.52484	441.18344	149.2963	159.8	59999	132.27423	43.252617	184.23232	-114.282104	132.27563	43.234333	184.79247	-103.1922	0.04928011	2.3071444	33.793877	-10.135716	-133.66931	20.934189	1007.4326982498169
16	400.3418	20.464323	443.5499	356.11313	410.87518	2.0410275	413.8286	406.9571	147.18518	144.5	63999	133.13853	43.77905	186.79813	-89.03326	133.1396	43.76863	188.0638	-84.835014	0.049938947	2.2687933	36.29983	-11.466603	-134.5332	20.55709	1081.8463683128357
17	415.3248	58.010376	527.6411	212.49683	421.16803	1.8138304	423.83765	418.02042	157.96	158.1	67999	135.78755	44.574238	193.78923	-94.422295	135.78777	44.553574	202.57936	-84.27328	0.1325163	2.3245854	35.797226	-11.678263	-137.17195	22.505062	1157.7244079113007
18	411.48325	19.643682	467.4754	370.9171	444.05225	1.443267	445.4657	440.04578	150.92592	159.9	71999	138.68492	45.820396	202.20326	-73.82882	138.68518	45.80628	203.0153	-93.17086	0.10941506	2.263725	38.571808	-10.651323	-140.05746	20.388325	1240.4800155162811
19	431.1013	23.688038	506.27173	397.96848	467.39658	1.2206815	469.84088	465.3912	154.26923	161.0	75999	142.05174	47.669388	211.08934	-86.783325	142.05177	47.66073	208.21184	-109.58851	0.15153296	2.2501137	33.354626	-10.936153	-143.37263	20.48338	1330.905732870102
20	447.47638	23.864264	508.03085	410.3466	505.5052	1.5342942	507.8737	503.204	155.52	170.6	79999	145.61378	49.21882	229.91434	-100.772484	145.61386	49.205273	226.3442	-110.919106	0.1689502	2.228941	41.738712	-11.948633	-146.95851	19.577442	1434.5062849521637
