Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-79.04595	134.74843	34.493668	-412.75128	-178.19107	148.93579	-30.724792	-561.5598	208.36842	78.2	3999	4.04329	5.4710994	42.840195	-15.73499	-5.7278585	0.32813266	42.53598189353943
2	-36.48754	54.220306	45.382893	-298.48022	-639.2988	975.8082	-27.694424	-2990.1804	125.1875	219.1	7999	77.61137	47.862087	242.65807	-38.940987	-87.5328	15.725276	101.04906582832336
3	-297.3651	700.6213	12.035853	-2548.9307	-89.37288	69.29116	-26.707088	-239.5548	201.35	34.4	11999	376.8174	121.991066	638.5526	-117.8781	-401.96814	215.67625	158.95876789093018
4	-325.32513	753.6282	-15.668657	-2721.1692	-374.05136	771.5759	-32.14804	-2674.765	126.51613	136.7	15999	589.0338	55.968	767.5721	-236.98195	-602.55963	438.3073	218.72142839431763
5	-326.20358	691.7455	-29.81358	-2513.3074	-273.6435	514.751	-19.301157	-1794.4972	148.77777	150.2	19999	619.7462	55.679085	745.8841	-275.4996	-632.0391	450.0938	278.3903820514679
6	-296.55252	546.1777	-13.084272	-1611.2302	-271.0393	534.64465	-25.79165	-1870.5605	200.8	171.5	23999	660.2793	58.449738	781.8355	-415.6618	-674.20087	425.4915	338.5739448070526
7	-133.62662	339.71857	-8.011166	-1657.2684	-596.507	860.0216	-11.805144	-1949.9391	100.325	321.5	27999	695.38104	62.331932	807.3989	-514.3063	-709.047	583.8596	399.30236649513245
8	-209.69589	474.1616	2.744148	-1836.3733	-434.28653	711.11456	-11.182427	-1893.4471	125.96667	236.0	31999	710.5334	66.22545	831.12317	-820.8385	-723.68085	602.55225	460.1752550601959
9	-176.76447	436.32483	-17.335968	-1830.9354	-467.71152	788.3256	-30.609947	-2043.6621	105.70968	232.3	35999	707.1716	65.61265	843.9995	-385.2801	-719.30225	549.0937	520.3638942241669
10	-268.4585	580.70636	6.884637	-2075.3938	-287.4704	603.0399	-18.679684	-2089.9456	147.72414	150.3	39999	682.7641	66.004616	832.6952	-449.5899	-693.61694	566.86487	580.4747877120972
11	-474.0108	786.0925	-6.0238643	-1982.1222	-45.866184	44.075455	-14.563793	-163.34102	259.70587	30.3	43999	640.0507	62.431427	779.4172	-356.163	-649.54865	428.37488	638.7328717708588
12	-340.64352	663.85583	-15.144589	-2017.97	-612.289	872.0566	-18.132524	-2238.8271	185.78261	292.0	47999	588.9468	57.919678	703.4257	-401.21292	-597.28033	346.9406	700.3309056758881
13	-199.25696	462.56833	-6.4765573	-1961.4219	-65.47824	30.441826	-16.579428	-115.75703	112.828575	46.0	51999	529.77374	54.15817	663.69226	-409.34302	-536.879	345.90726	758.9474015235901
14	-490.44083	760.5967	-12.448844	-1945.014	-262.03357	605.00616	-12.564197	-2073.5222	260.57144	139.8	55999	467.72617	49.820953	594.053	-395.3673	-473.95972	229.53146	819.147078037262
15	-340.70877	648.2414	-21.99505	-1978.1605	-398.89328	668.7249	-23.72962	-2016.7324	189.90475	213.6	59999	407.40237	47.084717	555.43634	-380.6854	-412.6815	174.74149	879.8708109855652
16	-244.37744	494.16974	-15.824858	-1886.1951	-684.078	889.4533	-36.16045	-2054.6587	148.46428	354.4	63999	348.7732	45.914097	512.95514	-329.32547	-353.4233	153.3155	942.0313923358917
17	-411.8893	649.02966	-14.64241	-1879.8999	-377.61966	648.454	-14.1083555	-1849.8215	246.17647	218.6	67999	295.22827	44.812645	462.19138	-258.95978	-299.33047	118.09503	1004.6350479125977
18	-365.40903	657.9149	-6.703853	-1720.4584	-406.26154	641.2032	-11.205031	-1760.2076	261.0	264.7	71999	248.81944	47.91743	419.4607	-215.41582	-252.78139	94.6455	1066.790595293045
19	-471.77112	670.41174	-14.984574	-1694.8856	-143.08115	403.8209	13.597789	-1353.1597	317.0	144.4	75999	213.92822	55.593014	398.4486	-271.4535	-217.80016	83.257126	1127.5514607429504
20	-159.94348	379.80368	4.019531	-1816.2914	-123.17912	81.62487	0.66378474	-245.16687	182.39131	242.6	79999	185.71133	64.82336	369.5293	-215.88646	-189.54398	78.070984	1188.9213786125183
21	-598.86566	673.2943	1.342749	-1619.7032	-396.47156	738.4877	14.141901	-1918.3104	478.0	289.6	83999	162.5533	73.32081	353.6133	-212.7592	-166.22629	72.08794	1249.8848071098328
22	-287.0608	609.60986	11.37945	-1840.5189	-221.4793	437.93494	24.639498	-1410.2825	265.35715	244.4	87999	144.3144	81.125786	327.33228	-197.59732	-148.01413	70.451584	1310.7847909927368
23	-383.50723	605.80096	-19.258976	-2002.9519	-279.33594	323.56973	-14.917709	-1084.7107	414.33334	352.2	91999	132.00182	87.42779	313.42587	-129.8287	-135.75203	66.4896	1373.0744378566742
24	-898.2361	917.29956	-7.2122235	-2107.3599	-1308.0409	1052.36	-2.1167877	-2330.1033	520.2222	607.1	95999	124.6114	91.97569	312.5253	-150.11707	-128.42674	68.42286	1437.569198846817
25	-456.65817	730.2692	-4.952722	-2036.0171	-1352.7885	982.6442	-5.873089	-2225.0532	285.42856	645.5	99999	117.04196	96.68294	327.11945	-178.88606	-120.73427	71.03589	1503.7125823497772
26	-1199.5311	836.35596	-75.464226	-2080.2905	-633.3187	813.82263	-22.988201	-2203.35	644.8333	324.9	103999	111.92963	101.4282	343.64297	-151.31554	-115.580574	75.28752	1566.3258290290833
27	-541.9381	727.0344	-11.320613	-2075.221	-314.58557	219.5796	-57.645348	-723.0418	296.45456	243.3	107999	106.82404	106.1861	361.14917	-118.910065	-110.59742	78.55995	1627.3670861721039
