Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	715.21094	381.84418	1672.3198	56.724308	987.3973	19.663004	1015.5358	963.8086	302.53845	433.7	87999	175.5091	54.025196	276.6027	-110.99602	175.50842	54.020992	277.31085	-86.63851	1.0459962	2.3177145	31.644352	-15.751547	-176.94966	48.25641	1637.0835809707642
23	933.23755	324.01147	1426.0234	325.1695	858.1826	366.16028	1447.9454	324.84784	318.07693	355.3	91999	177.41222	54.144604	272.61368	-120.27409	177.41248	54.136295	275.9177	-109.60529	1.012748	2.333992	30.781317	-13.4919405	-178.73369	48.576595	1739.506517648697
24	711.30054	563.9344	2121.8271	264.12906	1343.2692	59.128128	1387.6362	1199.1418	279.18182	426.4	95999	179.59032	55.060623	270.5948	-97.07082	179.59116	55.050587	268.00644	-115.703186	1.024092	2.3294015	29.744411	-11.989258	-180.83119	47.617397	1838.8729543685913
25	1081.0327	722.0749	2941.1216	452.84677	984.8701	31.627836	1029.6439	932.8668	381.07693	298.6	99999	181.36063	55.066685	267.80084	-181.07112	181.36064	55.058544	270.30737	-210.34785	1.0019894	2.325455	36.683033	-12.059774	-182.56645	45.315266	1940.6072149276733
26	824.7191	136.57162	1027.1772	478.8583	800.5397	14.011251	822.1346	782.0928	252.2	247.7	103999	182.74635	55.054527	278.80524	-161.92903	182.74582	55.045353	274.40637	-139.43715	1.0064414	2.315774	50.189713	-10.928773	-183.93083	44.84716	2039.2312564849854
27	796.859	106.02552	969.0132	600.6273	907.39014	17.811203	926.1779	862.9472	246.52942	272.1	107999	184.20187	55.75605	276.27487	-173.96233	184.20302	55.74751	274.66168	-124.73069	0.8844244	2.3371928	36.91714	-13.231652	-185.39447	42.128433	2153.0957481861115
28	1027.6405	234.68729	1478.1078	596.1011	1375.6421	71.63635	1490.5142	1266.8801	312.16666	419.9	111999	186.34854	56.476963	273.50455	-143.35779	186.34885	56.470592	277.18738	-108.272835	0.820873	2.3263128	35.245316	-12.1838	-187.48514	39.18393	2260.52232670784
29	1290.0448	208.17757	1514.5319	897.98425	1939.7484	229.40494	2501.258	1679.3016	390.0	591.6	115999	188.8746	57.602917	276.44016	-149.33273	188.8756	57.595184	276.7726	-133.10632	0.7903941	2.3079128	31.871346	-11.139056	-189.95494	38.895153	2368.3056452274323
30	1358.0701	152.31392	1694.3002	1134.761	1334.4945	21.171156	1366.5934	1287.587	412.3	400.7	119999	191.27441	58.110897	279.7902	-163.35255	191.27438	58.10296	280.97162	-117.44801	0.79526615	2.3201127	35.26192	-11.485027	-192.31175	37.618515	2475.1181132793427
31	1255.7493	180.38394	1629.7257	1091.7319	1148.8088	56.595642	1228.4243	1031.3846	374.9091	333.0	123999	193.46419	58.91504	283.46075	-122.104294	193.4647	58.912178	283.7711	-99.78686	0.7725479	2.2741332	36.3424	-13.197506	-194.45972	35.891514	2579.814966440201
32	1169.1115	141.94502	1385.9924	963.9005	2510.5015	96.268974	2719.1902	2415.5146	342.0	729.6	127999	195.5822	59.531616	285.52402	-150.58742	195.58179	59.52826	283.7016	-108.057884	0.7721681	2.3229647	37.02682	-12.677746	-196.54674	36.096878	2686.768082380295
33	1499.6196	277.92557	2011.1777	1123.5323	1279.9503	113.34616	1481.433	1178.6611	443.8889	374.0	131999	197.92598	60.08076	283.50824	-110.46989	197.92682	60.081615	286.9043	-136.52542	0.79545	2.3076468	40.153927	-11.965923	-198.88922	36.81279	2792.6504361629486
34	1907.7123	678.8034	3318.9675	1272.3287	3247.0642	3.552217	3254.6843	3242.0847	562.5714	1000.0	135999	200.83533	60.700787	287.3274	-127.24562	200.83566	60.69652	286.96582	-126.46844	0.7732248	2.2823455	34.02954	-11.2062845	-201.78662	35.742584	2899.9320600032806
35	1615.0891	599.9751	3065.2856	995.398	3092.429	30.090366	3118.1428	3027.0972	472.875	1000.0	139999	203.5492	61.720028	286.85135	-95.17302	203.55042	61.713375	290.53125	-138.48636	0.8003656	2.3236609	46.063576	-11.019312	-204.51385	33.448334	3007.561450242996
36	2009.443	866.83905	3290.2517	1067.0051	3280.0554	13.38198	3299.0432	3258.6182	596.5	1000.0	143999	206.99104	62.103817	290.78006	-112.27253	206.99113	62.104465	295.1449	-126.4854	0.77533627	2.2792428	52.75743	-11.611893	-207.89194	34.68695	3116.829024553299
37	2544.503	965.55914	3266.3457	1107.369	3254.0308	3.9684024	3259.6318	3247.6973	778.5	1000.0	147999	210.08398	62.611794	295.06064	-122.622246	210.08495	62.60886	296.26544	-123.38215	0.7713529	2.305389	43.762638	-12.484637	-210.97792	33.58833	3226.341992855072
38	2073.6023	917.89307	3218.219	1090.3208	3261.0823	1.2944853	3262.8782	3259.2483	613.0	1000.0	151999	212.5491	63.357647	296.6609	-128.7036	212.54987	63.354874	297.57822	-112.674286	0.7530805	2.3188422	40.00942	-11.908748	-213.40381	34.485367	3334.905136346817
39	2997.0188	423.79196	3268.1423	2263.5706	1154.3988	38.936523	1212.6987	1093.9396	930.5	326.2	155999	215.39082	63.727688	301.3938	-115.38335	215.39052	63.72053	302.4893	-199.71477	0.7652192	2.2897177	34.3999	-10.987937	-216.25386	33.173126	3440.567544698715
40	2633.987	637.7034	3429.5115	1747.7487	3249.2903	1.7326288	3252.9631	3246.9077	781.8	1000.0	159999	217.8144	64.36865	301.6664	-116.92443	217.81482	64.36891	306.273	-136.31209	0.78386146	2.2864027	31.424192	-10.460511	-218.64046	33.416992	3548.3886334896088
41	2519.0107	799.33936	3326.8801	1406.998	3342.082	1.634899	3344.5115	3338.9878	744.3333	1000.0	163999	220.28238	65.13839	304.2089	-127.34637	220.28348	65.13047	306.2829	-152.44907	0.7745679	2.3213146	41.39884	-11.790283	-221.11203	32.794086	3657.4378962516785
42	3284.0142	20.393293	3314.9917	3258.0088	3088.0024	24.552454	3114.3022	3049.1575	1000.0	1000.0	167999	223.2892	65.36054	305.08072	-137.81367	223.2903	65.35731	308.09726	-152.76625	0.6843963	2.3117764	30.048756	-13.631048	-224.08435	32.901897	3766.8441500663757
43	2393.8054	694.2283	3265.3845	1621.4746	3234.7114	10.202255	3251.2952	3219.9224	699.8333	1000.0	171999	225.49922	65.477455	307.14285	-173.78165	225.49953	65.47828	307.83246	-261.0137	0.6583784	2.2739818	35.88994	-11.813201	-226.26492	30.7409	3876.621235847473
44	2716.5933	509.42902	3258.6565	2068.6023	3201.153	8.031793	3216.8745	3192.2834	827.0	1000.0	175999	228.19992	65.811	307.32684	-181.35861	228.20082	65.808235	309.9806	-297.9266	0.6610727	2.2942867	35.871662	-10.944349	-228.96866	33.39589	3985.380685567856
45	3306.1833	59.694145	3382.8098	3233.3843	3256.146	4.5105634	3263.0422	3247.7615	1000.0	1000.0	179999	231.05408	65.7702	309.63568	-177.92297	231.05406	65.76725	311.8499	-168.90466	0.65567297	2.3008962	39.85872	-13.554829	-231.82147	33.65626	4097.616012811661
46	3257.529	30.861563	3293.927	3210.8408	3411.8547	4.615641	3419.7039	3402.727	1000.0	1000.0	183999	233.47803	66.729546	312.5999	-135.24513	233.47844	66.721535	314.65424	-146.22662	0.7031653	2.282121	38.511795	-11.974574	-234.2709	31.2862	4206.65509390831
47	3120.7188	327.03976	3441.5757	2698.8643	3307.8477	1.2799709	3310.058	3306.4963	908.8	1000.0	187999	235.63696	66.89297	315.3704	-95.31279	235.63802	66.887665	315.5932	-122.64001	0.6096822	2.2763793	44.83494	-10.730789	-236.38834	30.293402	4316.134009361267
48	2515.493	1019.23157	3438.6094	1123.2925	3285.1157	1.7783144	3287.1755	3281.8938	744.4	1000.0	191999	237.50195	67.53577	317.12094	-98.262955	237.50096	67.537895	316.9381	-134.03827	0.6427861	2.2888184	55.370377	-12.099868	-238.27094	32.05517	4425.9575407505035
49	3293.9912	19.250586	3322.2302	3271.1133	3300.6477	2.294722	3304.0156	3295.6367	1000.0	1000.0	195999	239.88338	67.69355	320.33994	-119.690636	239.88376	67.68866	321.4928	-138.13284	0.5744878	2.262685	50.47262	-11.096269	-240.59914	27.889524	4535.404929637909
50	2153.5605	531.19727	3333.378	1454.8628	3129.8052	3.0834239	3134.0742	3123.5745	627.0	1000.0	199999	242.00652	68.001854	320.4149	-127.32609	242.0063	68.00365	321.48248	-171.41797	0.60504466	2.2837389	38.898422	-12.335723	-242.7237	30.243813	4645.287126779556
51	3248.3906	21.341305	3283.001	3225.3281	2531.1665	271.6812	3053.8364	2262.9827	1000.0	711.0	203999	244.54288	68.11403	323.9495	-112.17794	244.54268	68.11	323.39337	-108.17674	0.6167211	2.2871907	29.429909	-11.749611	-245.25632	28.622732	4755.692087650299
52	3054.385	320.0199	3247.3606	2500.1719	3265.9702	4.176606	3274.4573	3259.4456	930.25	1000.0	207999	246.84541	68.2649	327.02283	-99.18159	246.8453	68.26105	330.56906	-87.953835	0.54330724	2.2706141	34.156036	-12.746729	-247.54411	27.532043	4865.798876523972
53	2241.8054	1224.6844	3406.2703	10.927652	3187.976	3.5569713	3192.3535	3182.203	657.8333	1000.0	211999	248.81404	68.40933	326.48956	-114.5565	248.81482	68.40227	326.0341	-98.274895	0.52030635	2.2798414	36.362576	-10.6170845	-249.51193	27.207949	4976.054708957672
54	3022.3496	369.7284	3390.4521	2334.671	3247.434	3.7825556	3255.4634	3241.053	876.2	1000.0	215999	250.77458	68.35061	327.4596	-218.27936	250.77478	68.35163	328.1956	-266.32382	0.56124794	2.3343165	40.377254	-11.070644	-251.43025	29.928867	5086.984489679337
55	2749.3088	587.25885	3373.1877	2026.2424	3286.7544	1.5150919	3289.5945	3284.8372	809.0	1000.0	219999	252.27637	68.91425	333.61127	-283.49698	252.27647	68.90996	331.59982	-369.5693	0.5678515	2.2874687	31.555714	-11.465563	-252.94603	31.466671	5196.8342225551605
56	3068.9956	322.11826	3420.5464	2531.65	1361.4006	14.061774	1393.5851	1332.2507	878.0	382.2	223999	254.20512	69.16484	332.10287	-106.464775	254.20583	69.15709	334.9889	-130.27228	0.5395688	2.2861028	27.943161	-10.723113	-254.86087	29.405403	5302.953273296356
57	2801.6047	645.9165	3407.4243	1920.4031	3383.6777	3.2366266	3388.2761	3377.0408	795.0	1000.0	227999	255.69504	69.235466	330.76532	-178.53973	255.69553	69.23338	331.26572	-124.21645	0.54376704	2.2823653	30.66826	-14.037922	-256.36755	28.337088	5412.367876768112
58	2520.3274	580.96704	2993.938	1593.4375	3428.9097	18.518803	3457.1206	3406.4048	702.5	1000.0	231999	257.10287	69.23017	335.05524	-96.760735	257.1029	69.2227	332.53824	-130.09753	0.4985795	2.2606516	37.033787	-11.094457	-257.75125	28.38158	5526.667640209198
