Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-2.119257	4.9523873	5.8005886	-6.4932265	36.31919	0.5216529	37.37654	35.753727	1000.0	1000.0	3999	1.2334621	1.9999009	12.570847	-7.543139	1.2335677	1.9997206	12.497898	-7.6264963	-1.7835342	0.05444322	37.95209503173828
2	-4.4402733	7.526969	4.710719	-14.431421	24.679684	0.52163666	25.320763	23.419361	1000.0	1000.0	7999	7.5481863	7.5742364	32.984917	-17.339502	7.5483575	7.573837	32.942932	-17.511398	-8.854486	0.1832405	88.26006364822388
3	16.171165	11.528857	27.733776	3.512357	27.640957	0.8167958	28.763878	26.330627	1000.0	1000.0	11999	19.993607	13.426998	47.807686	-21.93505	19.99357	13.427007	47.62615	-21.359262	-21.83962	0.31627992	139.48043775558472
4	26.224453	7.9214306	34.902496	13.363142	38.52412	6.2569056	48.529404	31.462124	1000.0	1000.0	15999	31.96426	11.196343	54.431866	-18.535208	31.964243	11.196309	55.056564	-18.532896	-33.21132	0.25935116	191.72016501426697
5	35.01273	9.96304	45.71665	24.614725	27.05105	0.6990321	27.988914	25.673298	1000.0	1000.0	19999	35.35172	8.318972	56.08741	-9.186299	35.351753	8.318814	55.60118	-9.495444	-35.88561	0.15537952	244.16175532341003
6	31.461254	1.06845	32.83965	30.006464	30.046352	0.78971606	31.089975	29.058075	1000.0	1000.0	23999	34.222286	7.322651	53.325695	-0.40112236	34.222294	7.32267	53.549034	-0.4548783	-34.554054	0.0936764	296.3596351146698
7	35.45973	2.7261071	40.16017	33.480072	26.770657	0.54321593	27.37349	25.643032	1000.0	1000.0	27999	33.010914	6.830548	49.906242	5.0886116	33.010906	6.8305945	49.720196	5.1954007	-33.261772	0.06933151	348.9534890651703
8	32.367046	2.4818246	35.14137	28.400272	38.78231	1.252034	41.122803	37.062744	1000.0	1000.0	31999	31.713533	6.788028	49.32208	4.3536835	31.713507	6.7880063	49.150715	4.5230207	-31.91349	0.055865847	400.7955963611603
9	30.94902	2.9269788	35.28755	27.053318	30.145535	0.6803435	31.151646	28.81938	1000.0	1000.0	35999	30.02595	6.778455	49.374165	1.9919108	30.025957	6.77856	49.384445	1.9390802	-30.168308	0.050279204	453.74400448799133
10	26.743322	1.7710449	29.540106	24.657757	25.314465	1.3807819	27.535625	23.50728	1000.0	1000.0	39999	28.22064	6.58509	48.921516	1.3246217	28.220627	6.585117	48.974773	1.2982662	-28.373	0.041801598	507.6634056568146
11	25.945045	1.313326	27.582582	24.455414	27.606335	5.0489483	41.458527	22.14605	1000.0	1000.0	43999	26.499325	6.3529854	46.835056	1.1703908	26.49933	6.353026	46.77018	1.1667316	-26.638191	0.040189438	560.6739318370819
12	36.85217	16.605757	56.999485	11.237901	38.680336	1.7689235	42.406715	36.641132	1000.0	1000.0	47999	25.709972	6.451762	68.70621	11.9570265	25.710022	6.451643	67.900406	11.4972	-26.010628	0.097143374	614.998631477356
13	33.344936	12.118036	44.656094	13.598405	46.55187	2.2582004	49.949383	42.370968	1000.0	1000.0	51999	25.694813	8.530431	67.61953	10.921834	25.69481	8.530255	67.65953	10.853826	-25.922472	0.07509204	670.2262134552002
14	37.449944	5.750556	41.195274	27.500925	39.229317	1.8875327	41.30624	34.149456	1000.0	1000.0	55999	24.008104	8.468271	62.138687	10.95516	24.008095	8.468298	62.106342	11.552205	-24.178665	0.054604415	726.0434813499451
15	38.87215	3.1078358	41.84911	33.651577	44.6293	3.221516	47.206726	35.249313	1000.0	1000.0	59999	22.264017	8.382712	58.331345	10.483054	22.263987	8.382682	58.369953	10.284122	-22.395424	0.04299423	782.7038578987122
16	41.901035	2.2658615	44.0892	38.42886	34.0854	15.146587	48.626514	13.800603	1000.0	1000.0	63999	20.63071	8.346072	54.61601	9.777096	20.630707	8.346113	54.621063	9.770614	-20.7514	0.03784091	840.1882612705231
17	37.12907	6.2223907	43.36475	28.776207	50.292805	0.7697971	51.60381	49.202785	1000.0	1000.0	67999	19.158463	8.387051	52.432938	8.554624	19.158445	8.387066	52.75504	8.3196945	-19.231836	0.034640945	901.0237605571747
18	44.97258	2.2384064	48.803215	43.13744	47.451622	3.7753198	55.61924	40.196598	1000.0	1000.0	71999	17.842617	8.419096	52.090843	7.7844515	17.842619	8.419081	51.899387	7.498318	-17.944391	0.03161373	964.1364917755127
19	42.311844	2.4423165	46.073753	39.817364	47.834446	0.55832684	49.15388	46.91153	1000.0	1000.0	75999	16.671965	8.327837	50.970875	8.94077	16.671965	8.327841	51.149715	8.556466	-16.805235	0.035708588	1028.6356172561646
20	40.842175	7.0011344	46.843616	28.949686	45.410057	3.7281454	53.132877	40.4038	1000.0	1000.0	79999	15.708343	8.517393	49.81403	8.702455	15.708345	8.517452	49.886986	8.6339035	-15.855079	0.03087526	1094.9123787879944
21	35.431145	3.5654905	40.282055	31.199614	39.76126	4.933141	43.158356	26.932085	1000.0	1000.0	83999	14.800653	8.58465	49.428432	7.810442	14.80065	8.58465	49.312405	7.810335	-14.910085	0.029865606	1162.8643577098846
22	36.489426	4.044747	41.21829	31.135988	26.501331	4.8390546	31.378304	18.470194	1000.0	1000.0	87999	13.960389	8.496236	47.826046	6.7847595	13.960385	8.496206	47.675003	6.683991	-14.057492	0.027368072	1231.3138654232025
23	29.04154	17.720085	44.312035	-0.6470141	44.68908	5.0177827	56.1766	40.835587	1000.0	1000.0	91999	13.258691	8.433706	61.980194	3.5929625	13.2586775	8.433697	61.49669	3.5610566	-13.375734	0.05668869	1301.532640695572
24	43.672684	1.1362565	45.055355	42.02553	46.158348	1.1649855	48.719803	44.62975	1000.0	1000.0	95999	12.680006	8.484344	67.79037	5.4208274	12.680004	8.48433	67.82005	5.241505	-12.774577	0.064457536	1371.9621624946594
25	42.289375	2.4377549	45.009094	38.487953	41.605804	3.6751475	46.547253	36.99699	1000.0	1000.0	99999	12.064148	8.791809	78.82655	4.2727304	12.064142	8.791792	78.61515	4.462245	-12.182465	0.059010033	1442.831292629242
26	38.454067	6.142047	44.15159	28.098322	36.28486	6.5951257	45.172707	30.294455	1000.0	1000.0	103999	11.59349	9.188468	94.40752	3.811821	11.593492	9.188382	94.26492	3.6256278	-11.704506	0.055963017	1514.3896090984344
27	39.303337	7.3732867	46.44805	26.94742	36.853737	9.148653	46.259644	25.289389	1000.0	1000.0	107999	11.199312	9.482797	105.7946	3.3990836	11.199292	9.482777	106.81246	3.2207022	-11.321748	0.04678975	1587.8075807094574
28	38.05986	8.609148	45.699074	23.692917	43.28119	3.6873486	46.079544	32.526173	1000.0	1000.0	111999	10.80254	9.585215	110.617714	3.106944	10.80256	9.585126	111.402794	3.0922928	-10.891786	0.046680413	1663.0823731422424
29	38.197533	4.3862867	41.12237	30.614859	38.90736	0.9857984	40.507282	36.616295	1000.0	1000.0	115999	10.324767	9.611026	119.902084	2.8066373	10.324793	9.610967	120.71026	2.8986073	-10.429579	0.051694658	1739.2212767601013
30	41.24371	1.4772317	43.424236	39.258514	37.0673	9.054554	42.566525	18.74691	1000.0	1000.0	119999	9.890336	9.760084	122.949936	2.1735091	9.89033	9.7600355	123.94809	2.231601	-9.988271	0.05300136	1816.147272348404
31	41.586952	0.90235543	42.58754	40.681694	42.54783	3.2631893	45.052174	33.11513	1000.0	1000.0	123999	9.534894	9.825208	126.77452	1.8881578	9.5349045	9.825111	128.36359	1.9524922	-9.612613	0.051333643	1894.015034198761
32	43.79507	1.2865433	45.903423	42.64093	49.507755	4.8428597	57.26699	38.58106	1000.0	1000.0	127999	9.108616	9.930913	133.10622	1.5650378	9.108642	9.930857	134.66956	1.5776229	-9.201971	0.050519135	1973.0479607582092
33	39.6253	7.6112103	45.25799	26.587486	33.86898	16.335232	49.61354	11.879879	1000.0	1000.0	131999	8.908877	10.502181	135.03412	1.3227868	8.908905	10.502179	133.82578	1.2207423	-8.993459	0.057408653	2053.4916639328003
34	36.237644	13.161068	44.614315	13.457416	39.715862	13.447876	50.193165	17.758461	1000.0	1000.0	135999	8.700728	10.576573	134.15599	0.8520952	8.700758	10.576575	133.3166	0.8960982	-8.799977	0.057094954	2134.1297478675842
35	37.070976	5.9595222	44.75971	28.456682	43.33141	1.0555513	44.900295	41.233826	1000.0	1000.0	139999	8.396865	10.35182	126.21354	0.76003915	8.396879	10.351955	125.626045	0.9236651	-8.473983	0.05120344	2216.2895641326904
36	41.811844	1.1187572	43.279705	40.55877	53.885998	9.7522745	66.8013	42.500595	1000.0	1000.0	143999	8.080803	10.157075	121.2572	0.47061646	8.080817	10.15691	120.824844	0.7388633	-8.169062	0.043939598	2299.283051252365
37	42.87498	1.5059847	44.56579	40.489246	35.836853	12.651184	42.956314	7.9571323	1000.0	1000.0	147999	7.761409	9.809602	118.471825	0.35047203	7.761427	9.809633	119.6822	0.37131536	-7.838255	0.04044503	2382.710963010788
38	31.216782	10.510304	43.09174	18.812193	38.938217	5.277162	44.681145	28.420961	1000.0	1000.0	151999	7.871912	10.388024	115.055305	0.38130665	7.8719645	10.38801	115.60727	0.34729606	-7.977982	0.04342961	2467.9347727298737
39	43.584408	1.3129123	44.864647	41.454662	45.687355	2.3540719	48.17976	41.622597	1000.0	1000.0	155999	7.671133	10.31485	108.9974	0.19234097	7.6711464	10.314926	108.52052	0.12045795	-7.7626414	0.039742015	2553.9837641716003
40	42.349247	0.7005025	43.101574	41.201786	44.090942	2.3433502	49.547924	42.020252	1000.0	1000.0	159999	7.3197923	9.938429	99.17066	0.018711567	7.3198156	9.93835	97.75434	-0.053239167	-7.4067802	0.034818787	2641.6343829631805
41	43.658653	2.4682665	46.276093	40.902237	42.936897	1.1271502	44.24753	40.67764	1000.0	1000.0	163999	7.0982375	9.572547	96.798225	-0.28690004	7.0982857	9.572568	96.40194	-0.1351955	-7.1845593	0.03303025	2731.511025905609
42	39.464375	8.352215	44.66118	25.00625	42.10791	1.6783239	46.013588	39.310192	1000.0	1000.0	167999	6.85292	9.304798	87.42333	-0.20689702	6.8529277	9.304775	87.0391	-0.2162621	-6.885462	0.032791983	2822.3747084140778
43	39.916016	8.913492	46.727623	24.695633	42.86355	7.2366543	48.61213	28.002668	1000.0	1000.0	171999	6.708256	9.28736	84.50021	-0.39384913	6.708273	9.287445	84.10386	-0.45383322	-6.779454	0.036815446	2914.597131729126
44	46.804768	1.4016039	48.169773	44.497684	43.491287	8.170367	46.98438	19.02245	1000.0	1000.0	175999	6.4968233	9.139361	83.40756	-0.4941594	6.4968314	9.139349	83.605095	-0.57492006	-6.586422	0.031790018	3007.687150001526
45	46.63546	1.7744708	48.309868	43.917854	43.25373	2.9878738	47.34965	38.09652	1000.0	1000.0	179999	6.2057133	8.750982	75.856834	-0.6249431	6.2057405	8.750981	75.95422	-0.50572807	-6.2825317	0.028656054	3101.193461894989
46	44.400734	1.4356644	46.880516	43.403984	45.62795	1.1164427	48.026382	43.91803	1000.0	1000.0	183999	5.9728413	8.47783	70.64795	-0.5274985	5.972861	8.477838	70.405334	-0.46058315	-6.0598583	0.026716888	3196.10067987442
47	44.9168	2.8997557	48.1643	40.806507	42.994125	0.6359059	43.885597	41.706562	1000.0	1000.0	187999	5.751017	8.178182	66.24945	-0.36541724	5.7510214	8.1782055	66.57408	-0.4929613	-5.8237057	0.02500944	3291.6992104053497
48	44.726913	1.3403727	46.19568	43.071457	40.75499	0.56949055	41.75135	39.8975	1000.0	1000.0	191999	5.560764	7.98321	61.075844	-0.35958385	5.560768	7.98322	60.868034	-0.43532318	-5.6258574	0.02306839	3387.6316978931427
49	44.514076	1.476875	46.680634	42.51226	43.278755	0.94286835	44.36773	41.351536	1000.0	1000.0	195999	5.390577	7.8421865	56.35539	-0.29888546	5.3905873	7.8421907	56.298946	-0.31291097	-5.4720206	0.023473151	3485.1642639636993
50	44.517662	1.5630097	46.60652	42.308353	44.469017	0.9356648	45.84441	43.09865	1000.0	1000.0	199999	5.2553773	7.7426667	54.51743	-0.3580165	5.255369	7.7426715	54.069607	-0.38546914	-5.323052	0.02185553	3582.9236891269684
51	44.75077	0.85423326	46.048473	43.812435	43.23833	1.1098611	46.373356	42.303112	1000.0	1000.0	203999	5.101136	7.6001086	50.481323	-0.24645543	5.1011405	7.6001015	51.28961	-0.35806125	-5.152792	0.02146288	3681.287754535675
52	44.289795	1.7002549	46.381313	42.173107	43.486053	1.3504566	44.463886	39.87683	1000.0	1000.0	207999	4.9602914	7.4997096	49.259754	-0.2429046	4.9603033	7.4997787	48.095367	-0.46202195	-5.0177217	0.020779122	3780.421130180359
53	45.03459	0.7684672	46.18733	44.309044	42.995003	0.6489528	43.834133	41.930565	1000.0	1000.0	211999	4.792334	7.3802133	44.02812	-0.34528184	4.7923307	7.3802347	44.540215	-0.51392215	-4.8818974	0.02005347	3880.05544257164
54	43.315166	0.80234665	44.252083	42.145264	46.05268	1.621199	48.117424	41.873398	1000.0	1000.0	215999	4.6560206	7.3123813	42.498714	-0.42583358	4.6560473	7.312397	43.737225	-0.49196917	-4.729947	0.02033828	3980.298538208008
55	45.39527	1.3693885	47.716106	44.172188	44.59089	0.8598944	45.759026	43.09292	1000.0	1000.0	219999	4.526679	7.2575073	39.857735	-0.4361285	4.52671	7.2574997	39.630417	-0.5189863	-4.593026	0.019483501	4081.400238275528
56	44.751564	0.36972594	45.325695	44.309334	44.910015	0.91113716	46.53742	43.59595	1000.0	1000.0	223999	4.3575187	7.140253	40.25036	-0.5529919	4.357531	7.1402926	39.488388	-0.5945541	-4.4136043	0.018487787	4182.794293880463
57	44.632656	1.2166519	46.423626	43.165363	45.43287	0.6549542	46.347553	44.561592	1000.0	1000.0	227999	4.2756467	7.117303	38.33406	-0.5486972	4.275673	7.117319	38.214718	-0.76060444	-4.3229795	0.018278232	4285.330361127853
58	43.243195	1.5209568	45.162468	41.084873	45.00187	0.60929245	45.70973	43.729668	1000.0	1000.0	231999	4.168583	7.067771	38.411552	-0.5897312	4.1685896	7.067791	38.47484	-0.6511511	-4.2147803	0.018671619	4387.655284404755
59	44.14713	0.45174688	44.75554	43.54649	44.325447	3.5846188	49.174694	39.006996	1000.0	1000.0	235999	4.060616	7.0251546	39.087616	-0.6104182	4.0606146	7.025157	38.833305	-0.850756	-4.109794	0.017860547	4491.266508102417
60	43.662285	0.88240594	45.10046	42.857376	44.646828	0.94430834	47.132378	43.7275	1000.0	1000.0	239999	3.9435525	6.9705534	39.51722	-0.7301219	3.9435596	6.970589	39.549053	-0.7665019	-3.985317	0.018401204	4596.541757106781
61	44.262634	0.5636028	45.128395	43.551437	44.342876	2.46491	47.090652	40.144547	1000.0	1000.0	243999	3.8775134	6.9140234	40.112785	-0.7770342	3.8775153	6.914036	39.947727	-0.7011004	-3.9395013	0.017242549	4701.3623678684235
62	45.11072	0.63295156	45.88897	44.124477	46.61648	1.2244166	48.79998	44.805466	1000.0	1000.0	247999	3.8152125	6.907511	39.718277	-0.846272	3.8152142	6.9074936	39.6903	-0.9081664	-3.8644447	0.016815426	4806.314095020294
63	47.393433	1.4581131	48.83112	44.96021	45.426304	0.59588826	46.311394	44.12139	1000.0	1000.0	251999	3.7449505	6.8728247	39.08044	-0.7190691	3.744947	6.8728704	38.93586	-0.7724059	-3.8098707	0.016673248	4910.256153345108
64	45.214657	1.1091853	47.10907	44.28225	48.731983	1.0845907	50.293556	47.039223	1000.0	1000.0	255999	3.6771553	6.8449697	39.776638	-0.9764097	3.677158	6.844984	39.653915	-0.9056097	-3.7100365	0.015741875	5014.472991228104
65	45.280006	2.015461	48.458145	43.333305	46.796932	0.7212065	47.90538	45.75556	1000.0	1000.0	259999	3.610851	6.794874	39.888554	-1.1904266	3.6108737	6.7948895	39.74723	-1.0390247	-3.6468334	0.015560442	5118.778912067413
66	44.12409	0.92252356	45.46352	43.014256	44.67444	0.8970701	46.037746	43.372295	1000.0	1000.0	263999	3.5372589	6.7467465	39.486153	-1.2115709	3.5372746	6.74678	39.48269	-1.252387	-3.5874004	0.016168943	5223.500799179077
67	44.376938	0.35835817	44.69745	43.76899	46.746216	1.3584989	48.434544	44.17157	1000.0	1000.0	267999	3.4364347	6.6812434	39.268364	-1.4028745	3.4364574	6.681285	39.28285	-1.5713692	-3.4947515	0.015717879	5329.7563507556915
