Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-33.332096	55.469856	9.336221	-316.84302	-102.572044	147.29396	19.803144	-350.27838	108.82353	334.2	3999	6.599495	4.7321224	29.109537	-9.213868	6.5997305	4.7324705	29.541426	-8.126095	-3.558838	2.1914592	10.792452	-13.019861	-7.9574575	1.2135541	75.60504245758057
2	-52.309353	82.84349	19.166054	-334.03888	-133.64322	198.96335	-9.717012	-711.073	155.62962	183.5	7999	24.737183	8.339812	60.119408	-11.673662	24.736982	8.339335	60.884335	-15.866424	-1.0674591	3.0708754	20.555593	-14.406355	-26.678574	4.250292	173.1813280582428
3	-444.9917	312.19623	-22.605532	-962.9209	24.557388	73.99148	166.4004	-115.384224	807.6	689.4	11999	48.409683	8.995239	96.52368	-33.666504	48.409584	8.993982	94.31381	-23.149538	-0.19820172	3.5752523	26.496885	-16.587736	-50.48151	8.045992	276.8270585536957
4	-104.58399	159.46754	31.713179	-509.23367	188.77989	160.2632	401.54788	10.833511	288.0909	618.4	15999	53.06104	9.295633	101.86114	-44.174202	53.060684	9.299769	102.16534	-44.073475	-2.362547	2.5565696	24.267462	-14.881515	-54.081852	8.995366	381.0072982311249
5	-63.511482	88.14697	7.6349616	-240.61089	241.13614	160.86404	473.98315	57.767887	305.23077	478.4	19999	49.079956	9.699083	98.17367	-37.8125	49.08025	9.69879	96.96771	-39.846554	-2.6357043	2.3348627	25.155615	-15.078568	-49.926834	8.490974	483.90599298477173
6	-117.68573	130.18759	92.649315	-235.77623	341.93243	215.92825	644.9148	34.08339	737.6667	691.2	23999	44.71401	9.372879	93.70125	-31.311907	44.714466	9.372407	92.60971	-42.7992	-2.8216107	2.2490182	21.52893	-16.584356	-45.468212	7.1576643	589.0450768470764
7	-14.996556	67.861046	69.48382	-157.23193	467.03265	186.8563	680.27014	26.937807	357.91666	841.8	27999	41.350986	9.2070465	85.071785	-33.256535	41.351284	9.2056465	86.486824	-38.684673	-3.0235217	2.1660202	26.112453	-15.613773	-42.045578	6.83367	695.441285610199
8	4.761452	45.401173	47.43779	-136.23334	429.51447	321.94858	828.9338	35.583633	288.91666	579.1	31999	39.13481	8.553835	79.76345	-24.831474	39.135536	8.554457	78.754074	-35.08365	-3.1587672	2.06972	29.835896	-15.383472	-39.782227	6.521751	800.4379315376282
9	6.595852	85.79529	139.34772	-124.78683	607.7071	201.27373	803.04364	29.036385	729.5	903.5	35999	37.607822	7.718987	72.28695	-20.872164	37.608086	7.71904	73.33245	-41.203224	-3.213854	2.0133023	27.410334	-15.8785925	-38.258125	5.8970604	908.0726137161255
10	45.57446	51.367985	129.75246	-14.155703	514.9137	230.2374	726.1445	43.103996	701.0	814.5	39999	37.046864	7.068125	69.939125	-29.107983	37.047314	7.0667806	70.82377	-24.081896	-3.298644	1.958092	21.935402	-13.956903	-37.671566	5.483336	1013.7687644958496
11	49.604523	57.95725	132.57634	-51.285522	565.6345	269.87393	954.55896	146.1407	502.8889	770.4	43999	36.95938	6.4887195	67.750046	-24.681278	36.959663	6.4923816	69.51616	-31.998287	-3.3295407	1.9296644	19.608784	-14.254822	-37.574314	5.2484026	1118.0018968582153
12	109.84541	50.45738	201.10143	56.00166	775.464	229.69217	971.6807	163.85872	730.4	874.4	47999	37.454964	5.973779	68.72178	-21.30764	37.455204	5.975311	68.88275	-21.548336	-3.3576753	1.9171094	21.800829	-14.609182	-38.07666	4.915421	1225.2711827754974
13	69.51023	50.23161	184.2954	17.564157	715.3988	250.53061	900.9962	190.2853	302.07144	838.8	51999	38.377876	5.6898847	68.667114	-22.173151	38.378	5.6913223	68.35899	-24.00347	-3.3626075	1.8852578	25.06345	-15.589905	-38.98528	5.2269335	1333.0879843235016
14	56.99121	42.037666	140.01474	-2.2307034	701.4894	321.04675	1051.8035	78.5363	317.16666	762.6	55999	39.34381	5.6192923	67.28457	-21.085272	39.34412	5.622218	67.42808	-20.405304	-3.3584104	1.8779811	27.458069	-13.673973	-39.940723	5.3914657	1438.7099177837372
15	110.059	75.43429	246.98547	12.289464	525.05994	405.5398	989.6415	34.27052	508.625	559.0	59999	40.324055	5.6060457	68.449	-27.782213	40.32427	5.6098995	67.967476	-33.392624	-3.3378808	1.8650723	25.502089	-17.002663	-40.91597	5.4373064	1542.6192989349365
16	166.30667	90.08815	272.66177	11.182984	636.229	333.2275	1001.9216	28.108511	749.2	702.4	63999	41.551796	5.7650695	67.705215	-24.608374	41.551964	5.768117	69.51854	-32.517757	-3.330433	1.8715277	24.9195	-15.61063	-42.13701	5.2100263	1646.9195115566254
17	161.65956	95.79411	295.8404	-1.09511	741.01465	229.01585	1002.33984	255.1162	610.7143	832.8	67999	43.050446	5.9463835	71.725746	-26.825552	43.05091	5.9463468	70.82661	-22.022825	-3.3295248	1.878714	25.128115	-15.929804	-43.644665	5.2177424	1755.1121771335602
18	122.26127	65.130196	228.96945	18.782463	890.9678	121.12721	1006.933	622.41534	555.8571	1000.0	71999	44.82569	6.214547	72.6746	-25.29744	44.825806	6.216129	74.880974	-22.312677	-3.3111475	1.8974867	29.039772	-15.480907	-45.432167	4.9770803	1867.6486551761627
19	150.91364	116.54354	345.8073	37.1769	709.6682	412.14587	1093.8689	-88.56015	498.22223	918.9	75999	46.525463	6.509291	74.81103	-20.176853	46.52563	6.5104795	75.356735	-32.00264	-3.289369	1.9247098	25.344437	-14.32367	-47.11861	5.187212	1980.5044860839844
20	147.95561	111.71762	372.36093	24.732992	754.0188	67.61867	886.2445	671.6389	415.6	1000.0	79999	47.867424	7.0336895	76.24733	-28.230055	47.86733	7.0339026	75.4929	-41.184944	-3.3051085	1.9081324	27.49025	-15.970776	-48.44538	5.4925675	2098.186448097229
21	265.43997	193.67728	636.66364	34.014694	604.93335	442.1586	1042.7037	22.926933	609.3333	626.1	83999	48.958225	7.6559367	75.42194	-28.955214	48.958424	7.6531596	76.58944	-36.65641	-3.294391	1.9059192	25.67285	-18.551868	-49.525784	5.720201	2209.754334926605
22	164.94246	134.33731	368.6417	10.858505	789.8684	154.2029	928.5497	434.8768	505.7143	909.5	87999	50.116257	8.124268	77.158134	-32.67811	50.11649	8.1259165	78.216255	-27.31371	-3.2781181	1.9258413	25.1231	-14.081534	-50.670647	5.753701	2326.525193452835
23	273.86154	97.171364	379.46924	78.95864	844.50146	201.36076	1033.8828	332.93417	713.3333	925.1	91999	51.35633	8.524314	77.67611	-36.52317	51.3566	8.529485	79.43396	-31.329735	-3.2450154	1.9508243	27.161654	-15.576614	-51.91793	5.7769933	2443.923901319504
24	175.55588	85.724884	297.2141	32.679234	764.7399	285.08527	990.72034	25.922552	638.0	825.1	95999	52.68268	8.8281765	78.69989	-29.92991	52.682533	8.829967	81.064186	-34.753162	-3.2471077	1.9646258	31.252026	-15.720648	-53.246758	5.529541	2560.289629459381
25	155.11668	61.519505	225.57535	30.052942	695.3513	403.7224	1216.0388	83.18614	597.8333	733.0	99999	54.09976	8.967272	81.62556	-27.51247	54.09971	8.968754	80.86271	-29.820887	-3.2480984	1.9509062	33.95417	-15.7130375	-54.66766	5.49508	2675.4977662563324
26	176.15417	60.750717	289.47815	72.52369	776.271	213.53795	972.52795	172.19717	630.8571	915.0	103999	55.481075	9.039366	80.2382	-31.273737	55.481174	9.041602	82.65807	-30.271729	-3.2642212	1.9687475	32.215397	-14.613036	-56.05292	5.3551445	2792.606692314148
27	172.2014	107.82816	290.88266	3.569147	868.5919	77.87142	1004.16705	721.0187	502.0	1000.0	107999	56.634705	9.218417	81.77996	-32.284584	56.634766	9.217842	83.57721	-38.96316	-3.293956	1.9557996	27.57081	-14.195928	-57.19747	5.665564	2910.176747083664
28	201.71541	87.20099	282.49524	23.475916	983.27576	267.9268	1342.2764	432.83105	715.0	867.5	111999	57.848305	9.42139	81.65011	-29.286057	57.848644	9.42085	83.56004	-44.73157	-3.30894	1.9706534	30.838919	-15.398409	-58.422905	5.299568	3026.3004021644592
29	150.19933	77.13651	248.99142	35.05683	995.3392	100.49938	1185.6307	771.9868	563.5	1000.0	115999	59.074554	9.5283165	84.57628	-39.85224	59.07436	9.530556	86.19851	-36.992405	-3.306237	1.9734315	41.497395	-15.0434475	-59.65283	5.4496403	3144.4861059188843
30	163.52962	110.167786	355.25775	12.630644	825.24426	367.27643	1166.6096	64.66638	465.9	817.5	119999	60.19283	9.634169	86.75403	-29.873186	60.192936	9.63514	88.07589	-48.941696	-3.292839	1.9920396	37.59578	-15.15309	-60.76915	5.503476	3261.453530550003
31	164.88168	96.67224	340.92358	28.306334	720.28644	285.732	991.4228	71.148155	367.0	827.9	123999	61.160526	9.744588	86.528694	-28.41666	61.16063	9.746474	87.93722	-30.973877	-3.3015316	1.9917549	32.88482	-17.38905	-61.727516	5.7025666	3376.353348493576
32	138.58195	140.17665	515.4	7.2775354	832.4163	339.4335	1139.26	89.12929	318.91666	722.3	127999	62.11015	9.868081	87.87192	-34.475277	62.110275	9.867751	90.0716	-35.108356	-3.3258376	1.985353	46.47762	-13.495729	-62.68143	5.759168	3491.5537345409393
33	224.38649	122.34637	494.55194	114.31654	1102.0536	274.89978	1358.6476	425.04767	539.8571	932.8	131999	62.7989	10.052957	88.013626	-27.953804	62.798946	10.05249	90.16114	-31.504028	-3.296496	1.9953688	28.907501	-15.495461	-63.365814	6.03443	3606.5664777755737
