Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-301.37488	79.49965	-191.99957	-392.88187	-237.44804	2.8466365	-231.44019	-242.26895	1000.0	1000.0	3999	4.317408	3.1678648	21.679089	-4.723264	4.3173213	3.1689336	21.822718	-4.9607897	-3.0216174	1.586686	11.413292	-11.980774	-5.2283854	0.8017229	93.77766466140747
2	-303.25674	56.35075	-208.91283	-357.89722	-240.77328	54.071415	-197.2933	-384.97278	1000.0	1000.0	7999	16.985802	6.5928016	46.766724	-4.850925	16.985693	6.593884	46.834106	-4.2446733	-0.848479	2.7791593	17.409279	-12.774023	-18.333351	2.401939	221.25295305252075
3	-229.9465	54.599613	-140.81587	-288.71307	74.24647	53.08408	159.61028	8.401058	1000.0	1000.0	11999	33.53713	7.988495	68.94903	11.2765465	33.53734	7.987953	68.27606	10.787846	-0.6934826	3.0292342	19.649658	-13.634426	-34.813633	3.3650882	349.578421831131
4	-93.42029	63.262157	-18.271152	-193.63928	1190.7185	22.51958	1215.7765	1145.862	1000.0	1000.0	15999	37.695335	10.303469	71.72311	17.190367	37.6953	10.302959	71.813255	17.91682	-2.371157	2.1630282	18.016527	-14.478702	-38.40048	2.8796036	479.2991337776184
5	700.6712	396.73062	1099.7029	212.60196	392.14267	335.70096	1066.9224	11.52893	1000.0	1000.0	19999	40.02913	12.640129	88.89715	15.644948	40.02901	12.641139	87.26273	16.123589	-2.4559865	2.1801836	17.460588	-13.242494	-40.69239	3.1051457	606.9420602321625
6	373.7702	398.0495	946.8322	-0.75562346	710.46075	339.07938	1292.0536	179.05582	1000.0	1000.0	23999	45.401997	16.664558	106.59561	16.585886	45.401653	16.66548	108.71027	16.43502	-2.0856066	2.5653133	19.629421	-14.904526	-46.12702	3.6345065	736.4989562034607
7	1134.4465	732.0258	1863.07	226.73785	2888.5774	294.24078	3348.4514	2115.8467	1000.0	1000.0	27999	53.39744	22.352755	123.46478	19.31918	53.397285	22.3526	125.734795	20.078274	-1.7951206	2.7669756	20.686253	-13.436565	-54.103367	5.0042357	863.0362815856934
8	2089.0674	723.19275	2578.897	842.3605	3044.2437	50.83059	3126.347	2956.9026	1000.0	1000.0	31999	64.06862	29.24548	147.03502	23.918903	64.0686	29.246708	147.96161	23.66979	-1.4163028	3.0486946	21.323097	-14.69673	-64.727585	6.5567255	990.422208070755
9	2572.069	805.7112	3142.5713	1181.4857	2068.7812	1325.3419	3866.9868	204.38245	1000.0	1000.0	35999	77.94686	38.079865	178.40308	29.9067	77.94607	38.07829	180.56508	29.724407	-0.8858378	3.3943403	24.048244	-14.31755	-78.59073	8.466771	1117.1892247200012
10	2058.8215	1378.1472	3577.3638	159.06627	3792.2668	914.8384	4223.6694	1064.3672	1000.0	1000.0	39999	92.03525	47.2202	203.72395	32.1206	92.03492	47.217857	204.55608	31.065582	-0.3631477	3.7504823	27.095482	-15.512979	-92.71353	10.955215	1243.5424432754517
11	2906.0884	929.30725	3629.0454	1315.4474	3991.3113	125.26374	4245.3413	3776.2246	1000.0	1000.0	43999	106.07539	56.13074	226.86179	33.42874	106.07515	56.128036	224.25275	33.306366	-0.06782103	3.9331307	36.086864	-12.3733425	-106.70774	13.279111	1368.9346652030945
12	2416.1323	916.4167	3928.8613	1476.4124	4331.065	48.51308	4438.579	4268.913	1000.0	1000.0	47999	121.05755	64.39541	245.25902	34.489876	121.0573	64.39368	242.83548	33.773663	0.110338144	4.0041184	31.173683	-16.126	-121.62425	15.619696	1493.5413708686829
13	3912.5305	301.50552	4232.2407	3416.746	3912.2825	72.30659	4051.6165	3835.9019	1000.0	1000.0	51999	135.03247	72.38702	266.29846	34.0979	135.03189	72.38601	265.69037	35.394203	0.27376235	4.086452	31.367268	-13.124477	-135.56482	18.75367	1617.0127432346344
14	4343.8066	179.90819	4615.2954	4111.907	4775.2046	37.376076	4819.4893	4710.495	1000.0	1000.0	55999	152.42654	79.84916	286.4941	31.607773	152.42702	79.84932	290.84686	33.7149	0.58606744	4.14783	31.055586	-12.321544	-152.93556	18.603546	1742.511055469513
15	4662.882	166.28308	4948.927	4539.2676	5873.5166	106.30634	6042.1064	5694.651	1000.0	1000.0	59999	170.34064	87.805176	313.91724	33.23247	170.33981	87.8066	312.09357	33.720203	0.93169916	4.2394037	34.07467	-13.949507	-170.8606	18.920757	1868.488665342331
16	5093.824	234.30757	5437.4585	4874.153	5617.032	56.07864	5709.3555	5527.798	1000.0	1000.0	63999	189.61436	96.02755	340.8929	31.467733	189.61372	96.02868	341.1804	33.915855	1.3176949	4.3494234	32.47458	-13.666116	-190.14435	20.390438	1995.1934170722961
17	5310.579	219.00272	5586.3853	4975.0093	6123.051	47.198368	6229.9976	6056.7173	1000.0	1000.0	67999	209.2643	104.41757	372.93912	27.185831	209.26357	104.41776	374.3482	26.540884	1.7187022	4.491073	36.436752	-13.788071	-209.77737	23.587027	2123.0914418697357
18	5478.0312	170.58989	5733.9346	5254.448	5423.63	78.602905	5506.553	5287.3623	1000.0	1000.0	71999	228.64561	112.15968	393.62878	26.201464	228.64522	112.16082	392.51697	31.149002	2.0830185	4.6041284	33.607918	-13.499327	-229.13615	24.854563	2251.1225810050964
19	4957.019	1371.6552	5974.6567	2597.6394	6037.352	159.20634	6285.26	5823.5024	1000.0	1000.0	75999	246.46085	119.062614	414.9963	18.831675	246.46008	119.063965	415.30643	26.212559	2.3057313	4.6439548	36.63124	-12.3341875	-246.91913	26.50439	2385.843275308609
20	5820.543	250.02303	6139.91	5445.634	6192.0938	58.079475	6295.1724	6118.193	1000.0	1000.0	79999	263.59735	125.88368	441.11258	13.557451	263.59686	125.88423	441.02774	17.17073	2.5403242	4.697574	36.070976	-15.00337	-264.03427	28.642023	2525.6432585716248
21	5830.232	254.28157	6129.1973	5542.861	5981.753	240.59464	6201.307	5468.0225	1000.0	1000.0	83999	280.899	131.3251	459.47983	17.514055	280.899	131.32527	457.32574	18.66291	2.7488265	4.736636	39.936977	-13.475281	-281.31232	31.828314	2671.4254372119904
22	6169.63	154.597	6414.9297	5990.8403	4068.0586	583.5385	4519.6104	2549.1777	1000.0	1000.0	87999	297.33923	136.25388	475.3734	10.889729	297.33893	136.25458	472.8995	20.190771	2.9350107	4.729878	40.8869	-14.304064	-297.7012	31.92	2818.2399122714996
23	6223.5	57.110638	6307.947	6149.0	7229.0205	141.01457	7407.6514	6984.833	1000.0	1000.0	91999	312.7208	140.45589	485.91028	8.460924	312.72015	140.45581	486.48804	17.066502	3.1047063	4.774381	38.7836	-12.806849	-313.0365	33.062077	2964.7650651931763
24	6529.6416	136.61722	6707.032	6395.0054	7357.039	120.61851	7543.813	7165.94	1000.0	1000.0	95999	327.69455	143.57753	496.84616	11.33721	327.695	143.5784	497.65085	5.850833	3.2372355	4.7658544	42.024612	-11.716855	-328.02457	30.972858	3111.507336139679
25	5898.4575	1167.3079	6663.053	3879.0615	7247.862	121.065346	7555.77	7060.9927	1000.0	1000.0	99999	341.36923	147.13435	510.18695	11.988441	341.36917	147.13525	510.54318	11.9761505	3.328316	4.7751355	43.596046	-16.27852	-341.6555	32.10844	3259.2969818115234
26	6657.747	94.20696	6776.2153	6530.3447	7411.0635	99.493324	7535.8984	7260.11	1000.0	1000.0	103999	353.49377	150.60455	525.57587	12.011724	353.49356	150.60493	525.3833	8.973665	3.4461207	4.808576	46.01098	-12.115199	-353.7148	32.896336	3406.392359495163
27	6687.079	223.35027	6831.6074	6300.6714	7405.0063	112.748375	7556.631	7208.4243	1000.0	1000.0	107999	365.7446	153.41264	541.30396	10.148537	365.74463	153.4139	541.3003	16.089483	3.614395	4.8257294	47.858963	-12.254516	-365.94775	32.933758	3552.3288311958313
