Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	17.330782	14.464793	115.11668	4.8767004	39.165462	1.003872	40.305027	36.99997	21.93956	22.3	3999	4.002782	3.0332859	25.397161	-3.9872475	4.0027432	3.032547	25.952274	-3.645609	-4.7270575	0.2605963	50.54458951950073
2	17.368229	14.517071	105.90988	5.8055787	38.993458	0.9170002	40.333237	37.09053	20.958115	22.2	7999	15.88199	8.308996	72.31104	-31.084215	15.881961	8.31113	73.15671	-27.793142	-17.851183	3.0699165	119.48925423622131
3	46.765236	62.35276	177.76256	2.9946225	169.96875	0.85017407	171.08412	168.50467	33.016666	85.8	11999	35.64548	18.79892	111.773674	-29.675692	35.64403	18.810547	109.70367	-32.783936	-40.244087	13.657482	188.74856305122375
4	168.4745	4.610386	172.72107	149.15904	169.28247	1.8749709	172.0935	165.97624	85.82979	85.9	15999	65.086716	22.789104	150.53676	-37.029205	65.083244	22.81139	148.86035	-33.968685	-70.083855	22.161388	258.7071440219879
5	149.15501	61.275517	240.60791	37.17931	224.03653	2.102411	227.20613	221.22282	75.51923	104.8	19999	80.429054	26.62554	175.71584	-56.48441	80.42822	26.654476	176.16537	-49.39016	-85.03961	29.955648	328.8465836048126
6	156.9712	65.94847	237.32768	7.782058	161.78616	2.6140742	167.55194	158.36688	80.82	87.9	23999	104.05073	32.956276	188.7893	-77.06481	104.0518	32.967873	179.13506	-67.61075	-110.66483	48.144077	398.7521245479584
7	165.6634	17.682089	225.0677	115.14189	148.62454	2.6010005	152.83904	142.62701	89.111115	83.8	27999	118.34395	37.201355	189.30708	-67.69532	118.34393	37.233353	191.34799	-63.79115	-124.41275	51.93926	468.6865656375885
8	170.89594	12.399663	193.87657	151.10852	171.54315	6.041796	185.27206	162.54785	90.13636	88.6	31999	121.15906	42.41301	194.83722	-72.33692	121.15745	42.429573	194.22618	-72.99434	-126.2666	47.99858	538.4747273921967
9	194.70209	35.61636	265.44196	26.477158	196.44583	5.3386908	203.96265	190.80971	89.91111	87.6	35999	118.08621	46.868473	197.43768	-77.51082	118.08811	46.873695	194.25822	-69.68447	-122.8871	45.704826	608.5674014091492
10	166.47801	70.76253	274.99808	23.944487	249.73677	2.9207034	253.90593	245.3869	79.68	121.9	39999	114.5922	49.252274	194.96077	-81.90239	114.594	49.258503	188.34515	-101.56897	-119.192894	46.06123	678.4828004837036
