Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-46.511177	95.220795	22.357254	-397.79993	-265.55023	258.30872	-6.993551	-745.16583	134.89655	327.8	3999	-0.082136326	2.4430094	18.282787	-16.13894	-0.08220233	2.4427686	18.376842	-15.8244705	-0.97463584	0.36011612	49.35975670814514
2	-43.319283	77.576584	28.026556	-315.63937	-499.0877	756.96954	-33.77543	-2018.1533	134.36667	253.6	7999	5.9847374	5.75634	42.11996	-18.695812	5.9847383	5.758606	40.45783	-18.924479	-9.112336	1.7807657	114.10916757583618
3	-123.7225	317.37222	14.130766	-1449.7064	-195.97438	348.5549	8.907465	-961.4328	149.83333	287.0	11999	17.277494	8.718715	59.081245	-15.43364	17.276693	8.723984	60.22137	-16.001936	-21.340876	6.021719	179.56532073020935
4	-103.62568	191.39746	38.903156	-685.88745	49.193268	32.00176	100.67632	-4.838865	295.0	147.2	15999	18.58563	9.884998	59.59386	-16.9302	18.58535	9.897038	60.131493	-17.935535	-21.37387	6.0905657	244.9162402153015
5	-15.034158	96.69575	89.86348	-281.33765	6.350694	23.95054	30.178162	-58.53213	360.72726	344.2	19999	15.570284	11.05942	56.89973	-20.509834	15.570043	11.0648	54.75567	-22.00327	-18.125196	4.9964232	311.7831802368164
6	33.317013	65.20988	204.37779	-61.714916	144.42714	122.781204	331.4154	15.236252	379.0909	424.3	23999	13.180584	11.539247	52.03631	-23.891647	13.180826	11.542713	51.58071	-23.053076	-15.347579	4.321237	380.34473061561584
7	151.56644	160.76033	444.24908	6.4227376	232.47974	166.89497	510.0353	3.0989249	478.0	441.4	27999	11.401041	11.121602	49.73657	-26.518526	11.4008	11.123758	51.51383	-23.960743	-13.354849	3.937992	449.1590347290039
8	343.13608	216.93703	568.3587	17.221292	192.85889	215.57408	659.9435	0.8950217	612.5	310.1	31999	10.544424	10.208395	48.86187	-21.134987	10.544272	10.210263	47.648	-19.712212	-12.4375105	3.3585045	515.4684619903564
9	169.38475	183.34343	490.17203	16.56153	307.49518	244.99516	626.10034	-9.868607	370.63635	556.1	35999	11.372585	9.507634	45.711132	-27.71058	11.372944	9.50971	46.150993	-23.840488	-13.089768	3.4646943	585.1298735141754
10	222.84442	199.58	562.83954	0.009899843	182.03322	191.60176	548.35376	16.578775	382.22223	308.9	39999	12.260994	8.80155	43.977795	-25.191128	12.260775	8.802723	45.61492	-26.972652	-13.872397	3.241407	651.9498689174652
