Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	5247.0474	81.077354	5350.172	5123.2534	5568.6143	1141.1774	6073.2407	2152.8352	1000.0	1000.0	83999	285.04987	84.50215	406.8682	-12.351194	285.049	84.504036	412.20236	-11.820684	2.5406542	4.3454533	31.685055	-15.105784	-285.4034	21.325714	1888.8062403202057
22	4904.429	997.1782	5614.7285	3184.6284	5778.0234	708.92676	6250.309	3689.7515	1000.0	1000.0	87999	296.7867	87.711525	416.42657	-30.552244	296.7862	87.71243	417.69135	-25.736311	2.6552768	4.368561	33.53208	-13.640553	-297.123	23.650824	1994.5950293540955
23	5523.712	136.44322	5644.666	5303.134	5090.1406	1817.7515	6156.459	747.31775	1000.0	1000.0	91999	308.89944	89.67212	429.39932	-2.7440624	308.89853	89.67365	428.91446	-9.414792	2.6678815	4.374514	34.953697	-13.951242	-309.20804	23.160858	2102.3673362731934
24	4250.507	2124.9707	5572.629	574.77844	6047.3096	180.30177	6242.5225	5556.4453	1000.0	1000.0	95999	318.3964	93.25899	439.50092	-84.95456	318.39603	93.25944	441.67834	-123.691635	2.778014	4.434044	37.42313	-13.744907	-318.6673	26.58577	2209.657119512558
25	5721.9893	52.708416	5810.0757	5671.774	6225.587	143.6034	6428.586	5976.892	1000.0	1000.0	99999	327.76456	95.85639	448.63724	-72.96292	327.7635	95.85757	449.1259	-70.37858	2.9069755	4.465897	37.71796	-12.402081	-328.02402	27.628605	2316.866717338562
26	5864.2524	71.226845	5963.638	5783.3037	6277.767	113.99865	6512.4136	6142.6167	1000.0	1000.0	103999	337.79675	97.24851	460.14478	-60.04136	337.79587	97.249535	461.82504	-51.53133	2.9985893	4.43253	34.925537	-14.122421	-338.04382	27.882652	2424.450779914856
27	5481.0654	863.52496	6072.543	3988.837	6150.927	172.19138	6441.9414	5883.7017	1000.0	1000.0	107999	346.92764	99.13884	477.60074	-66.183464	346.9271	99.1399	474.93576	-68.55853	3.0783777	4.440077	35.94231	-19.711916	-347.1625	26.766699	2532.591593503952
28	4854.085	2037.3275	6121.662	1326.7156	6453.396	191.3773	6656.576	6005.3096	1000.0	1000.0	111999	354.1801	103.19599	482.98157	-21.264061	354.17932	103.19762	483.62445	-26.235584	3.1242354	4.4620085	32.012306	-12.120697	-354.40738	28.806814	2640.495562314987
29	5978.9346	144.39146	6211.295	5815.272	6388.612	66.88565	6523.8447	6253.056	1000.0	1000.0	115999	362.18265	105.17985	489.6123	-72.471344	362.1822	105.18094	489.28204	-65.57985	3.192262	4.469526	34.424698	-12.273305	-362.38226	29.704582	2748.760192632675
30	6150.2075	125.131615	6315.9204	6008.836	6485.393	104.869484	6661.606	6327.8994	1000.0	1000.0	119999	370.41055	106.17003	495.20923	-46.43335	370.40967	106.17113	494.37357	-43.511887	3.2752697	4.4637384	38.811905	-12.351195	-370.576	29.51573	2857.3448402881622
