Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	2.6023757	8.239261	15.141635	-7.823594	25.053614	2.485472	27.334475	20.272633	1000.0	1000.0	3999	2.0585341	2.2424169	17.620525	-2.7127573	2.0585244	2.2427697	17.390625	-2.8068373	-2.9866319	0.08119918	62.50535988807678
2	-1.2886326	4.820075	2.6324375	-9.537939	9.658744	21.816917	34.419437	-13.048903	1000.0	1000.0	7999	12.598212	5.0654397	30.597893	-1.3468062	12.598144	5.065617	30.312973	-1.2812984	-14.428219	0.27008283	143.98102402687073
3	10.18336	12.303561	24.388788	-3.814505	9.986654	8.244103	23.870539	3.4626563	1000.0	1000.0	11999	27.248938	6.9247484	89.6671	10.285816	27.248995	6.924806	89.234795	10.295749	-29.003832	0.50296366	226.13792729377747
4	21.139523	2.7988107	24.616655	18.105307	28.384912	6.4855986	38.88468	21.84703	1000.0	1000.0	15999	35.421104	8.403601	89.06798	12.064564	35.42103	8.403669	89.11094	11.858947	-36.339466	0.34571654	310.17274165153503
5	33.26668	7.7026005	43.438747	24.31219	39.694603	2.5784464	42.719154	34.109882	1000.0	1000.0	19999	36.144108	9.216211	86.576355	13.81758	36.144146	9.216248	86.91258	13.647142	-36.729893	0.23005886	393.08899569511414
6	35.360672	13.4558735	48.573254	12.999142	63.972736	15.888369	79.4814	31.08635	1000.0	1000.0	23999	36.154037	8.192788	78.17492	15.8210535	36.1541	8.193033	78.08956	15.866903	-36.76312	0.21227762	477.0878698825836
7	34.973015	8.671436	48.45461	24.295975	31.443949	7.690989	44.439754	23.805624	1000.0	1000.0	27999	36.034294	6.996811	73.15395	20.541683	36.034298	6.9969177	73.258125	20.942081	-36.456394	0.1534845	560.2051091194153
8	39.267765	4.3790092	46.713696	35.742958	33.82945	5.978969	40.79236	27.27965	1000.0	1000.0	31999	34.67119	7.047019	77.04702	20.553944	34.671196	7.0473404	76.87557	20.5932	-35.0854	0.15624782	643.77734541893
9	34.829857	4.1491385	39.202484	28.132471	33.05956	2.0005481	36.26008	30.702686	1000.0	1000.0	35999	33.40161	8.154222	75.31426	18.576498	33.40158	8.154139	75.33996	18.57565	-33.731236	0.15612829	726.8034749031067
10	37.544273	3.0932953	41.160942	34.173656	40.1993	1.2977306	43.046207	37.958195	1000.0	1000.0	39999	31.141396	9.092187	65.55916	16.996473	31.141388	9.092113	65.63751	16.98799	-31.410416	0.1146481	810.9081225395203
