Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.6501703	5.30841	35.46978	-9.771259	291.31793	31.246058	341.62466	251.2791	20.284264	172.4	3999	19.20181	18.678377	82.726326	-26.171465	-24.88532	3.4925556	34.0283887386322
2	1.3966166	5.6042047	21.088617	-10.24713	343.09174	29.285082	389.82312	302.6259	20.482052	218.2	7999	186.41827	105.41678	463.8845	-237.8206	-213.10791	211.06137	79.28511905670166
3	1.9368811	16.117102	138.22592	-30.785986	6.909018	10.043903	33.844315	-6.5292487	31.76	104.6	11999	473.4022	157.30383	792.62115	-324.19702	-515.7906	846.79364	124.87875127792358
4	27.690714	55.52314	289.21323	-25.630823	108.26188	74.492195	271.153	-38.876125	64.08064	169.1	15999	702.6767	192.90958	1329.4161	-409.72192	-750.9126	1921.593	171.28924679756165
5	-7.6582346	49.512005	343.2436	-54.961254	132.18039	130.82065	357.41388	-38.408104	62.390625	220.5	19999	910.91583	246.62103	1936.6074	-392.64697	-968.09326	2968.2673	218.2176432609558
6	67.66343	158.30861	607.13324	-131.13661	135.18852	94.62803	257.13168	-27.323627	167.41667	156.4	23999	1108.7795	293.9526	2275.5693	-553.5734	-1163.6105	3321.9055	263.70098304748535
7	-12.029709	42.53732	61.216087	-154.05156	-48.65814	67.636734	141.27042	-114.74261	119.454544	156.5	27999	1256.8054	329.50012	2521.2876	-635.9802	-1312.185	3887.4875	309.13298630714417
8	72.30256	111.691475	325.9307	-112.68558	91.37751	82.1805	226.80353	-27.658411	155.26923	118.7	31999	1371.5669	383.0909	2857.7239	-1626.3083	-1425.8673	5035.639	354.08623456954956
9	69.11213	82.11589	227.97342	-72.04323	67.988235	57.53976	151.12096	-36.832882	153.73077	150.8	35999	1451.8263	422.04163	2985.7078	-864.8358	-1503.3318	5438.845	398.58964014053345
10	77.7216	101.5039	277.2128	-162.97156	0.10653019	64.121414	120.92138	-85.46347	172.52174	143.3	39999	1499.346	444.4685	3010.8047	-698.08026	-1549.0293	5472.777	443.0091383457184
11	62.299946	128.0318	374.755	-52.289505	116.28617	98.62323	272.88028	-36.072712	166.70833	181.9	43999	1516.5459	450.88	2962.4043	-936.57166	-1563.3779	5388.2	488.37414932250977
