Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.5374654	4.783871	26.099365	-10.880349	87.526474	35.05312	182.30435	58.793144	19.27053	200.8	3999	18.593983	17.985285	91.375694	-23.48617	-24.373156	2.7954826	52.66879606246948
2	1.9809117	5.1877303	19.12577	-7.821108	249.6069	122.767586	428.99625	67.33011	19.835821	244.9	7999	269.19205	192.10745	856.2295	-259.15228	-320.3733	379.76242	122.51597857475281
3	5.510075	23.930878	159.61221	-21.794813	95.28067	30.616581	171.46509	52.261402	29.91603	208.9	11999	1074.7406	383.37784	1948.5475	-2044.7065	-1185.255	5079.086	192.6453869342804
4	-15.110338	61.960785	345.8359	-242.03458	-11.533318	7.481311	-7.6816287	-33.82408	63.95238	66.4	15999	1602.1735	440.3215	2527.0781	-1407.843	-1715.7125	9817.136	262.75590419769287
5	-5.220378	54.141052	172.20245	-105.858116	-3.7971485	19.167522	22.844915	-33.510853	102.51282	117.4	19999	1939.2648	513.8325	2998.4653	-1454.3715	-2045.4104	12781.166	332.374716758728
6	31.293953	104.90596	367.73315	-79.65204	-53.058098	43.603546	-8.839243	-167.87126	132.8	96.7	23999	2143.5493	569.31433	3295.8354	-1081.6946	-2243.927	12715.833	403.1282789707184
7	-4.4398236	112.28761	317.72067	-150.11203	-38.718437	89.91458	206.47722	-136.20116	163.58333	183.4	27999	2217.29	633.1537	4048.0012	-1131.4775	-2309.974	12707.469	473.85192489624023
8	-0.8469056	98.09177	243.2922	-126.266	-24.761982	65.60824	119.12819	-106.67151	168.95653	201.6	31999	2305.9058	676.68427	4164.8457	-1369.7174	-2396.69	13115.543	545.18812084198
9	97.44155	119.91329	380.57138	-125.24565	1.4284899	58.40794	133.43925	-93.516365	185.43478	161.8	35999	2413.182	714.938	4091.4736	-1966.4468	-2500.7039	15184.958	616.2608504295349
10	30.43292	85.092766	190.53993	-118.029175	5.8747234	86.563545	188.07323	-146.75204	180.27272	175.0	39999	2486.7205	721.975	4089.693	-1990.5665	-2570.415	15251.94	685.9269473552704
11	33.6795	106.69824	265.7374	-139.49774	53.54428	102.98271	292.85815	-73.11272	147.1923	160.4	43999	2521.5828	729.4716	3905.822	-1911.5774	-2600.544	15550.522	756.966516494751
12	44.846096	106.37479	246.93079	-170.84781	-52.862194	85.19304	49.037262	-222.18532	182.91304	177.9	47999	2523.7642	735.72437	3823.721	-1550.8696	-2598.846	15157.394	826.5456969738007
13	27.396143	97.61584	245.7671	-100.834076	44.880836	107.2535	278.47412	-138.30019	209.6842	283.5	51999	2502.874	723.55023	3756.6335	-1346.6112	-2573.2744	14215.472	898.900830745697
14	31.081018	93.946465	250.0324	-93.93102	-17.376625	27.050102	29.29106	-68.318695	135.14285	99.7	55999	2450.543	716.1131	3618.1514	-1534.968	-2515.3274	13552.233	969.5614695549011
15	14.396243	68.98911	292.4628	-78.57656	135.79546	152.19057	449.59448	-107.415764	129.0	155.2	59999	2365.1016	709.613	3547.6948	-1512.0167	-2425.283	12506.921	1041.3980734348297
16	66.70887	116.52995	330.4947	-153.44875	35.231262	134.99724	264.38257	-154.1175	169.375	203.1	63999	2243.98	698.6349	3379.479	-1866.1912	-2297.969	10779.272	1115.0730965137482
17	7.19952	76.27946	254.30656	-176.68675	-16.759068	105.48564	161.49055	-163.71887	99.68421	194.0	67999	2115.015	686.2387	3295.2498	-1278.6061	-2164.482	9360.528	1189.1549677848816
18	32.10424	143.25455	366.0201	-160.24243	62.821632	93.71073	204.6986	-107.721664	199.0	117.7	71999	1980.2216	679.5145	3098.7476	-1334.7836	-2026.1655	8082.342	1268.2420589923859
19	-6.1509733	150.49762	345.93936	-291.83652	48.218975	108.648575	210.94255	-144.62567	231.70589	153.4	75999	1859.4221	655.4411	2908.8816	-1727.7079	-1901.2948	6863.831	1350.271471977234
20	109.07053	161.98322	435.9318	-242.64047	223.3699	209.46704	806.1602	34.272545	233.47058	225.1	79999	1745.0714	622.21936	2737.6936	-2481.631	-1783.8287	6111.21	1434.8030273914337
21	64.78864	130.74979	308.38083	-162.08244	170.51006	139.68771	537.41174	26.094276	164.26086	175.5	83999	1645.5491	583.22546	2632.3347	-10275.518	-1680.8774	5987.5923	1520.7521905899048
