Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	1.6942372	5.938284	27.932768	-9.05447	346.36737	5.3704934	354.7168	337.03543	20.476923	189.4	3999	10.463182	8.728727	37.58601	-14.727937	10.462768	8.7289915	38.06373	-15.179238	0.36763057	3.0778124	15.568092	-13.261413	-12.979386	2.0376077	58.094671964645386
2	1.6947702	5.03512	24.883692	-8.885361	186.72948	16.898228	218.58357	160.25249	19.930347	302.3	7999	43.20976	16.749313	93.44998	-34.371338	43.208626	16.7408	93.7234	-40.364365	2.4344137	3.7408278	34.620068	-14.651785	-48.020393	17.237408	136.32630372047424
3	14.058989	43.141945	243.82547	-23.221659	-17.608387	7.4632044	-5.831185	-30.227524	34.130436	92.6	11999	85.08926	24.032177	171.84148	-95.18328	85.08492	24.014446	165.70848	-74.882	3.2089052	4.7921214	50.299053	-12.427387	-91.80526	57.847553	213.27354335784912
4	119.01768	156.10742	424.67358	-115.884735	371.6813	132.50432	653.33527	221.589	191.2	329.6	15999	96.61698	23.965399	174.52145	-47.98627	96.61584	23.954609	178.44804	-54.73476	0.8292627	4.5130734	45.438854	-13.408569	-101.07698	51.740032	292.8831055164337
5	103.789154	75.563225	298.46194	-24.77044	77.16094	138.50034	355.89105	-86.408936	201.85715	268.4	19999	96.14016	24.98117	190.88719	-49.918003	96.14011	24.96486	192.3915	-55.891636	0.5767559	4.1931696	46.34753	-13.466731	-99.86192	48.839607	372.1965012550354
6	104.09561	104.29113	306.06613	-34.2171	238.84004	183.80945	492.53683	-73.41048	213.16667	516.5	23999	94.82713	27.211725	193.48412	-81.929245	94.82533	27.194101	194.35217	-63.605396	0.34811297	3.9126663	47.39129	-13.165823	-97.78884	54.333107	452.96827387809753
7	230.58531	158.88864	522.0365	-24.835798	256.5789	101.90806	423.76675	98.9476	244.52942	213.9	27999	89.70603	28.579473	169.59654	-81.819496	89.70425	28.574524	167.7169	-64.66944	0.48201415	3.7456968	42.784462	-14.252503	-92.19169	52.78983	531.8043060302734
8	194.73856	120.751015	399.57803	28.97963	248.08386	75.80242	356.44583	144.49669	249.0	203.6	31999	86.55002	28.476706	154.83629	-63.148262	86.5481	28.46693	153.43367	-60.04883	0.64071393	3.742601	47.814503	-16.896507	-88.66619	47.4783	609.9535415172577
9	193.19258	162.72475	599.1581	28.321236	267.24594	30.127012	302.90292	209.23116	241.76471	138.9	35999	82.98313	27.933624	155.95485	-62.365334	82.983604	27.922705	157.6054	-62.214573	0.5323271	3.7695966	64.94427	-13.319182	-84.801994	44.705494	688.4990503787994
10	223.13216	101.13367	478.47955	7.4862266	260.16058	52.517868	346.98047	127.90265	169.125	188.0	39999	80.40851	28.262613	158.60086	-61.444183	80.40986	28.246378	156.872	-54.22475	0.24699147	3.5499723	42.380936	-15.707314	-81.97995	41.372204	766.6678142547607
