Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	16.688437	16.354174	157.52322	5.0364857	38.330936	0.948286	40.18078	36.86799	20.572165	21.8	3999	4.556577	3.4622507	22.47532	-4.8955607	4.556437	3.4624908	22.764029	-3.3553607	-5.52575	0.33906648	30.761892318725586
2	19.5497	16.171377	110.87551	5.759458	205.55139	4.5053644	211.68942	198.63898	23.945784	116.3	7999	20.031448	9.327103	51.618126	-35.21468	20.031416	9.332635	51.374622	-37.059563	-23.340601	3.838664	74.32690000534058
3	46.007774	65.107025	298.87177	4.426637	190.93433	4.115659	196.95691	185.03242	36.86916	113.1	11999	42.14302	14.339562	77.8565	-48.749485	42.14359	14.329121	78.5818	-69.39084	-46.6149	13.080457	116.97353863716125
4	179.90298	28.489037	203.84671	48.21895	475.41302	17.197428	509.35504	453.3525	101.5	389.9	15999	59.19233	16.888939	90.00624	-36.7229	59.19367	16.871649	88.62808	-28.606598	-63.58447	18.882332	161.12187504768372
5	466.34604	227.63557	1035.42	92.61514	351.20435	115.79823	480.8548	123.28939	280.29413	167.6	19999	70.42204	18.885817	140.50673	-36.24202	70.42357	18.877758	142.70903	-50.967327	-74.49327	20.915304	203.57376098632812
6	357.4809	265.85977	1199.7694	14.047884	431.38898	12.289988	443.69388	411.7771	172.21739	215.9	23999	84.87735	21.692396	151.4551	-102.65629	84.87725	21.690344	151.78806	-50.813236	-89.222404	30.490667	247.35678815841675
7	504.3653	98.877884	665.25507	322.8959	432.99527	56.627987	539.55505	336.5881	234.41176	204.4	27999	99.04761	23.992872	168.79677	-68.89733	99.04613	23.989435	171.61879	-55.812912	-103.3118	33.489063	291.4093418121338
8	397.31314	68.86354	580.97473	313.31918	294.6807	3.4721026	298.82834	288.40106	175.34782	125.6	31999	110.48254	26.90887	194.38113	-69.13184	110.48269	26.899157	194.35123	-57.995777	-114.55365	37.816475	334.1145203113556
9	339.08032	30.06503	384.802	274.76654	342.02582	14.997032	382.05157	327.61288	130.74193	134.1	35999	118.90665	31.10606	198.99385	-111.17414	118.90796	31.09383	198.59862	-118.03571	-122.74592	40.298332	377.287136554718
10	291.61057	28.565125	376.05106	246.6052	264.70453	2.4897509	268.23547	261.5427	118.70588	109.1	39999	127.25412	34.35026	198.32938	-120.68995	127.25627	34.337467	195.24052	-83.6808	-131.10445	40.599575	420.33305406570435
11	287.96222	19.707972	320.85483	244.60107	330.40253	5.482419	340.014	323.97052	119.06061	132.2	43999	133.3514	38.900875	211.62512	-73.01659	133.3543	38.89008	210.693	-73.86905	-137.16763	41.81403	464.4064483642578
12	311.67972	17.957232	376.2338	284.34866	331.8239	8.466582	339.41864	315.38538	129.54839	135.9	47999	136.22287	44.820347	226.32243	-79.9729	136.22597	44.806686	221.51517	-99.05839	-140.04706	41.78104	508.3302993774414
13	510.22665	178.0576	1103.5325	308.5477	304.4276	10.98164	336.85928	297.42697	190.14285	137.7	51999	139.84064	49.422493	240.87296	-76.17321	139.84091	49.412502	250.60242	-112.33548	-143.83687	40.61744	553.2563247680664
14	883.8201	334.59738	1534.4539	463.06607	1825.4832	721.18695	2441.9583	379.95807	327.16666	748.2	55999	145.4951	52.15839	262.59586	-70.32147	145.49446	52.141304	266.26495	-103.18953	-149.44296	40.209244	602.0897014141083
15	619.755	403.81378	1783.3689	32.195164	557.6649	226.70505	835.3583	328.3049	254.9375	219.3	59999	154.05421	52.49595	261.95596	-120.77615	154.05519	52.48493	265.64975	-148.4698	-158.0255	45.72178	650.2578649520874
16	756.72217	374.55893	1407.0272	234.80823	785.74084	97.053055	879.2856	587.84	279.0	276.6	63999	160.66699	52.52094	254.2439	-117.611374	160.6679	52.508415	257.937	-110.19642	-164.34312	58.94585	698.7594408988953
17	730.7459	248.28496	1177.4802	269.3878	544.8012	61.65257	684.23236	455.4699	263.53333	188.8	67999	164.34842	53.746548	256.27148	-94.87007	164.3488	53.738647	260.1593	-96.31326	-167.94872	62.67627	748.3506672382355
18	616.87225	88.13516	914.8974	486.28857	416.40277	18.226812	448.2508	393.5279	194.66667	158.6	71999	165.76443	54.6853	257.32224	-92.46076	165.76532	54.66993	256.07126	-86.85616	-169.09813	63.25704	806.4656438827515
19	653.738	337.9639	1866.3986	312.76187	465.9882	123.077484	744.33484	309.0604	238.58824	174.0	75999	167.62039	55.580254	264.78186	-92.69609	167.62106	55.574158	261.70502	-116.43594	-171.1296	59.139786	866.5485644340515
20	452.84357	128.34624	791.50775	327.07007	434.29242	16.746452	471.70163	411.27356	183.59091	179.3	79999	169.84108	56.51402	261.78766	-89.5354	169.84138	56.507957	259.0905	-119.33303	-173.55386	59.340313	927.423187494278
21	1055.3619	689.9153	2635.475	364.39374	1135.6531	189.61981	1532.3563	932.4111	405.44446	413.4	83999	171.93672	57.79184	258.28827	-114.82097	171.93604	57.78704	257.08856	-129.01335	-175.43216	53.36451	991.3912103176117
22	2094.1445	669.2806	2856.0166	944.91833	1305.8259	836.81323	3068.9268	402.4437	717.3333	412.8	87999	174.69528	58.51957	253.3919	-96.80739	174.69574	58.51573	258.60074	-151.6742	-178.01416	57.9604	1055.9005043506622
23	1717.3624	721.6359	2927.185	760.99945	2640.5427	27.298138	2685.4734	2601.5417	565.0	1000.0	91999	176.62396	59.15031	260.3985	-115.77728	176.62502	59.143307	261.06708	-136.30191	-179.90953	57.03716	1122.9594259262085
24	1561.0562	705.842	3053.7065	764.18274	800.78015	99.619774	922.3559	681.42285	515.2222	277.9	95999	179.2459	59.181583	260.95987	-113.80387	179.24896	59.173782	260.1596	-99.99415	-182.21246	52.78639	1186.5443665981293
25	1311.3845	656.1806	2880.8716	784.37964	877.39355	65.63035	953.20807	763.8053	442.55554	324.0	99999	181.6037	59.13486	264.8667	-80.70188	181.60464	59.13298	265.2961	-188.51707	-184.65704	51.84051	1251.8440673351288
26	1230.9775	508.03586	2268.075	776.9687	2907.9492	303.75177	3050.9653	2002.7316	426.55554	962.8	103999	183.67229	59.492634	268.41986	-93.73674	183.67162	59.497303	267.543	-143.60379	-186.41039	48.432594	1321.4042723178864
27	2020.2552	614.30115	2768.0476	1237.3345	1859.4875	715.21533	2875.9746	1051.6493	684.6667	612.5	107999	186.55212	60.02671	271.0884	-94.6459	186.5539	60.02232	267.77728	-93.79919	-189.52258	50.357437	1391.7759568691254
28	1563.8759	751.6721	3018.3052	723.83014	2510.9263	758.2489	3324.3643	1226.0143	506.125	744.6	111999	190.14973	59.92126	270.4034	-121.689766	190.15063	59.921146	272.4882	-144.13524	-193.044	46.708305	1464.3545575141907
29	1747.7008	945.721	3081.5469	765.19415	3144.9167	17.495054	3171.6692	3113.137	567.0	1000.0	115999	193.22897	60.247112	270.57617	-113.19602	193.22913	60.243874	273.92102	-116.89025	-195.9839	45.9331	1534.2374997138977
30	1676.0195	707.6558	2990.1812	769.0707	1573.3226	720.9118	2683.0342	470.53265	543.5	538.4	119999	195.9896	60.62201	281.7025	-98.13888	195.99004	60.62051	280.6001	-138.44586	-198.71396	56.34608	1603.5247168540955
31	2312.9094	1073.7141	3119.8296	261.72354	2062.8071	384.76154	2779.8372	1537.3397	757.8333	615.6	123999	199.12762	60.942276	291.3617	-95.66269	199.12798	60.943687	287.82364	-134.4284	-202.0977	49.351967	1673.8756830692291
32	2502.0503	794.2943	3197.9756	1237.4733	2928.767	440.98444	3180.5132	1683.9724	802.6	933.3	127999	202.07724	61.21553	294.29663	-116.59553	202.07826	61.22127	295.12506	-100.73698	-204.93867	49.43646	1748.4655358791351
33	2541.893	962.953	3112.388	874.2895	2105.2876	604.7446	3123.1787	1479.2454	827.75	684.5	131999	204.74223	61.25737	297.06326	-176.6595	204.74234	61.259632	297.81207	-269.81116	-207.6371	49.123554	1819.104959487915
34	2138.2844	939.0375	3234.1365	878.72266	1662.8414	871.29224	3029.4631	249.548	689.1429	569.6	135999	207.1858	61.53561	294.00363	-103.82264	207.18575	61.53763	295.53064	-121.31104	-209.9536	47.833076	1894.0432977676392
35	2842.4878	292.01978	3225.905	2457.987	1420.3783	273.60196	2138.4058	1155.5786	892.25	406.9	139999	210.47304	61.064133	294.10892	-142.5246	210.473	61.063213	295.94226	-97.02694	-213.56767	48.672653	1968.3281292915344
36	1486.0164	355.8921	2296.592	1112.9657	1312.3698	277.60162	1914.9016	1024.1451	432.9	373.4	143999	213.12462	61.654907	293.15643	-120.941536	213.12592	61.655876	295.40952	-101.68538	-216.1598	51.019028	2048.6753380298615
37	1551.1971	654.03265	3257.0713	1213.186	3338.123	237.3167	3526.1545	2721.671	457.0	959.3	147999	215.7635	62.31053	301.98126	-117.19747	215.76414	62.31537	300.42783	-108.28397	-218.51196	49.201622	2131.2258718013763
38	1808.5011	545.7285	2594.7192	1037.7289	3269.1743	8.487026	3281.363	3253.32	523.5	1000.0	151999	218.22205	62.662582	302.85638	-88.76694	218.22273	62.66608	301.61224	-118.47512	-221.0243	49.559	2216.8992846012115
39	1912.7081	634.21796	2899.619	1302.1357	1382.0278	718.81995	3514.547	1010.2616	545.7143	387.6	155999	220.61528	63.09602	307.07907	-142.70065	220.6157	63.099117	303.6372	-163.26248	-223.25548	49.063435	2299.96138048172
40	1858.6825	797.93195	3334.6555	1017.8628	3134.1675	33.271984	3173.3657	3065.2957	531.5	1000.0	159999	223.17302	63.38822	305.19656	-120.34338	223.17184	63.39541	305.30313	-141.55658	-225.97124	50.07272	2384.736832380295
41	2353.625	733.4463	3386.632	1501.643	3260.7458	17.090878	3289.597	3226.0002	667.5	1000.0	163999	225.26216	63.507328	303.79703	-82.227325	225.26222	63.511093	306.12506	-78.32455	-227.88106	47.84349	2469.5826959609985
42	1331.1285	332.44846	2136.166	1005.30396	1649.919	611.05554	3400.7869	1332.4402	378.4	461.4	167999	227.1469	63.390873	303.40125	-106.68772	227.14722	63.399952	306.47607	-89.63536	-229.74297	45.491665	2553.826722383499
43	1941.5688	715.6579	3384.2761	1092.2997	1913.9216	572.57556	3016.7373	1092.8406	551.0	628.7	171999	228.23318	63.315014	304.7603	-78.58486	228.23386	63.32883	307.19437	-99.35027	-230.7603	45.473118	2635.4894087314606
44	2707.2769	715.97894	3332.0608	1561.833	3190.4827	320.99454	3359.7896	2230.952	804.6	970.7	175999	230.15881	63.266987	304.81705	-115.37953	230.15868	63.26843	308.02142	-220.98232	-232.66885	44.87921	2723.519104242325
45	3069.7346	315.94937	3299.499	2529.2927	3042.1128	56.148846	3156.0085	2979.278	941.5	1000.0	179999	231.98576	63.12077	304.77127	-79.97153	231.98721	63.11882	304.73065	-97.520294	-234.5944	46.699223	2808.6005351543427
46	3269.535	91.10261	3350.4658	3114.861	3373.3608	2.852722	3378.4875	3369.379	1000.0	1000.0	183999	233.75102	63.538067	308.12192	-104.358475	233.75163	63.53716	308.86288	-124.48967	-236.26385	45.373417	2896.297116994858
47	2413.4827	867.2994	3377.1926	1207.3151	3325.446	45.138687	3394.1511	3281.258	697.8333	1000.0	187999	235.52252	63.784145	309.54236	-114.282814	235.52226	63.790276	310.66528	-96.412926	-237.95624	42.06026	2985.5603017807007
48	2760.679	613.1447	3468.732	2080.8547	1798.7543	568.53	3492.602	1457.582	784.6	491.0	191999	237.7007	63.938847	311.1168	-99.827995	237.70055	63.93844	312.02643	-86.237816	-240.02534	39.157383	3065.1252341270447
49	3077.8162	556.7852	3437.6084	2115.0637	3336.7305	22.093115	3375.267	3298.4756	898.0	1000.0	195999	239.7903	63.94436	310.9823	-87.516464	239.79126	63.944237	313.15283	-89.80675	-242.12167	40.830025	3152.455014705658
50	2538.177	869.3311	3359.2202	1194.2435	3393.0962	220.37816	3520.6794	2737.0315	748.0	962.2	199999	242.21873	63.93796	313.5377	-124.374535	242.22005	63.933987	315.20078	-85.562225	-244.50584	39.70278	3240.170569419861
51	2868.2622	613.9051	3446.5442	1826.432	2325.9448	789.535	3442.2927	1594.9631	827.2	657.4	203999	243.81152	64.642494	314.46408	-116.48789	243.81146	64.648476	315.06873	-126.03747	-246.06581	40.79153	3326.3664643764496
52	3135.9238	437.38107	3400.2485	2378.4783	3389.9644	6.4583287	3398.4812	3381.3455	905.25	1000.0	207999	245.85812	64.57817	319.07828	-138.77275	245.859	64.57717	319.49496	-127.16222	-248.01952	41.046635	3414.496404647827
53	3028.9487	594.57275	3409.7688	2001.0803	3391.6245	12.207664	3411.3022	3374.4585	907.75	1000.0	211999	247.91592	64.5949	320.01944	-116.49407	247.91637	64.59337	319.6226	-109.497795	-249.8611	41.537056	3502.06098818779
54	3054.403	611.8015	3399.2234	1832.5819	3217.4004	21.89787	3246.17	3187.588	902.8	1000.0	215999	249.93144	64.28796	322.7888	-128.57759	249.93178	64.29258	323.91824	-105.06939	-252.26358	37.25113	3589.791201353073
55	2809.4436	717.2294	3423.2048	1584.1742	3309.9563	13.9093075	3333.1711	3288.3147	803.2	1000.0	219999	251.37132	64.48728	325.69272	-137.74698	251.37166	64.48451	325.49005	-116.06048	-253.4618	36.950836	3678.7134850025177
56	2060.8018	867.89197	3437.3313	1297.7184	2318.294	592.9169	3496.2358	1731.2765	587.0	623.7	223999	252.7999	64.76929	326.37314	-93.019135	252.801	64.764626	327.68555	-140.35052	-255.02295	38.769077	3765.3380465507507
57	2319.5466	486.97702	3308.981	1755.079	3536.4648	7.79034	3551.2625	3525.374	646.0	1000.0	227999	254.27821	64.88848	329.8686	-158.84132	254.27896	64.89166	327.93054	-82.23534	-256.31555	37.619583	3853.169552564621
58	2086.4875	749.16016	3415.0564	1187.8618	3428.7368	18.843798	3454.419	3395.2107	589.4286	1000.0	231999	255.66872	65.32314	329.751	-116.030106	255.66934	65.32112	329.51987	-133.89336	-257.82483	34.90955	3940.3930144309998
59	2833.874	429.58322	3340.7234	2307.6262	3428.8816	5.277041	3439.4978	3420.6392	811.0	1000.0	235999	256.9609	65.93571	331.43268	-128.09097	256.96127	65.9376	330.88705	-121.23315	-259.2663	37.629715	4027.3926255702972
60	2663.95	868.9239	3370.8403	1313.4823	3412.022	10.980273	3427.07	3388.846	778.6	1000.0	239999	258.5778	66.13085	331.79468	-108.12121	258.5786	66.12664	331.2262	-149.77878	-260.69537	37.37711	4115.457450866699
61	2445.8027	892.8639	3386.565	1002.0397	3303.4055	13.824475	3338.8357	3284.6636	700.1429	1000.0	243999	260.1906	66.45363	333.5251	-136.33202	260.19135	66.45338	332.79706	-138.22887	-262.16388	35.239815	4204.230103254318
62	1833.0546	737.2456	3538.6409	1199.0284	3343.0886	8.527427	3356.849	3327.6018	503.42856	1000.0	247999	261.6153	66.52758	331.51685	-126.621544	261.61594	66.51597	336.02722	-86.80303	-263.84882	36.725533	4293.50067281723
63	2062.658	860.8118	3388.6033	1128.0361	1932.717	395.74542	3080.9597	1674.9343	585.1429	517.5	251999	262.544	67.21414	335.2722	-110.035614	262.5447	67.21647	334.10098	-121.762474	-264.4251	36.43314	4381.266357421875
64	2547.3313	666.64215	3509.8413	1666.566	3368.9536	7.7089906	3385.8354	3358.9219	704.8333	1000.0	255999	263.7713	67.394905	336.7077	-128.88058	263.77255	67.387535	334.54572	-70.009605	-265.636	35.11927	4471.065920114517
65	2989.2847	806.17474	3550.395	1597.8451	3329.9453	34.817432	3382.7507	3263.2688	852.25	1000.0	259999	265.23953	67.54068	339.4594	-183.20229	265.2405	67.53935	336.53952	-109.04436	-267.35886	36.121437	4560.389585733414
66	3311.9192	116.877846	3413.178	3114.14	2779.572	1196.2867	3392.5261	385.69717	965.0	830.3	263999	266.6845	67.09783	338.87994	-106.486465	266.68518	67.0952	336.65744	-85.42768	-268.66095	34.08306	4640.8302092552185
67	3311.0505	51.466488	3364.4207	3242.2651	3212.9282	10.970845	3230.569	3194.905	1000.0	1000.0	267999	267.7928	66.928406	339.1189	-187.69443	267.7927	66.92894	338.14883	-102.58377	-269.6575	35.956173	4727.917749166489
