Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	18.00077	14.864418	104.593956	5.2070303	38.968018	0.70152587	40.332214	38.076385	21.819672	22.2	3999	12.723895	10.343803	62.22758	-23.606293	-14.754272	1.5764374	49.37125015258789
2	18.871962	20.002802	170.44673	4.6967435	182.24408	7.9053144	202.53314	174.50734	22.833334	108.4	7999	60.070915	30.712946	161.51314	-160.2379	-67.48989	15.578265	116.39769792556763
3	44.643295	66.96617	252.14378	5.8035035	136.25723	2.6421402	140.61281	131.38625	34.649124	76.7	11999	224.34373	94.047554	434.6365	-166.01318	-248.2239	168.3311	183.49233555793762
4	57.991257	95.124855	341.8953	-2.2467518	490.74985	38.16385	568.2339	416.19083	48.057144	287.4	15999	364.1595	99.063065	852.33856	-210.26839	-385.66922	375.72614	252.53393006324768
5	383.6698	171.78143	922.6211	113.70065	306.11353	5.5008264	313.38544	295.4315	212.72728	141.0	19999	490.11563	140.2497	934.12463	-243.5203	-517.3369	691.8807	320.8420829772949
6	355.8823	78.48414	535.89215	263.15213	390.0619	29.935333	428.85837	342.9561	178.18182	193.7	23999	622.42395	161.21573	944.6681	-237.07535	-650.2563	793.0594	389.94028902053833
7	530.3389	261.01193	965.3123	57.463337	450.13705	50.2561	537.4097	375.9091	287.53845	222.4	27999	694.8402	181.49048	931.7111	-267.7474	-720.50464	807.39056	456.8085699081421
8	103.8923	173.32535	917.1077	11.757241	906.18054	220.5398	1011.72797	245.37738	109.0	924.0	31999	726.524	183.57622	969.06635	-356.27463	-749.0971	905.2882	526.8644728660583
9	670.2396	405.1504	1015.24286	104.05831	899.41095	250.3737	1178.7177	472.696	689.1667	791.5	35999	759.6547	195.10997	1074.5193	-283.59164	-783.38074	921.25287	599.3870882987976
10	350.59912	199.41756	1170.704	227.54997	304.4043	26.393024	346.26135	278.17676	196.0	135.6	39999	798.9287	204.43127	1123.9266	-358.39453	-821.5463	838.5645	668.3918142318726
11	263.2761	125.19896	460.24786	72.22723	246.50977	340.06064	1243.3049	107.5219	129.45833	185.3	43999	836.98065	221.44785	1195.0016	-431.47092	-860.67676	856.5768	735.8831853866577
12	679.1507	426.65253	1365.6935	170.6918	953.40686	194.46326	1031.8418	370.44705	485.0	924.2	47999	878.16046	236.1677	1171.1124	-374.57736	-900.71014	858.21136	806.7588222026825
