Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	299.7291	224.6969	624.33777	-1.6343305	107.55745	261.8022	594.5287	-378.9794	814.75	439.8	127999	107.65353	32.299934	354.50845	-85.57031	-109.8661	14.521679	1977.436857700348
33	82.61013	152.53447	469.10355	-76.62763	58.304493	197.24434	628.42194	-149.14427	402.08334	267.0	131999	109.62694	34.860394	369.27615	-101.62784	-111.99261	17.857313	2039.439203262329
34	15.846595	114.462425	334.10065	-223.86552	59.012672	208.37549	507.38678	-160.77127	274.53845	299.5	135999	116.62589	39.081703	379.8876	-117.890724	-119.34296	22.5465	2101.5108919143677
35	-120.46231	325.24307	484.60013	-736.2174	-52.893566	89.81642	51.638454	-222.52402	439.22223	327.9	139999	126.33964	47.07949	415.52344	-134.04027	-129.19249	30.11715	2162.881010055542
36	-83.821014	147.31387	-5.2923937	-542.9433	-68.679695	158.00694	-0.19292715	-542.1782	414.81818	118.4	143999	137.11897	56.142918	427.34354	-178.94339	-140.02803	33.894245	2222.3577370643616
37	-61.403553	100.924706	120.762085	-359.16675	-56.858887	257.1828	413.70844	-703.95605	193.55	352.4	147999	145.54436	62.80365	406.40427	-133.73058	-148.54044	38.618744	2284.5120770931244
38	-51.858532	118.54895	213.34644	-377.46307	-187.17676	546.4479	395.621	-1552.2903	198.29411	829.6	151999	151.36557	67.70058	371.218	-138.21713	-154.33589	43.491547	2353.2287306785583
39	-56.89883	138.18433	135.68152	-360.23227	-754.1535	777.9159	600.00354	-1593.1678	451.33334	714.3	155999	154.76297	71.717445	402.36212	-108.12631	-157.68768	42.49175	2420.1723799705505
40	-121.33926	251.7835	343.42416	-628.61615	-236.61125	363.37875	5.588213	-980.0376	372.3	262.1	159999	158.61012	75.17682	425.4133	-152.8028	-161.66785	46.534725	2481.8211517333984
41	-349.5438	308.43994	-23.736906	-917.2925	-185.96956	255.4316	-8.418283	-666.00323	695.0	257.8	163999	162.82758	78.189644	459.31693	-169.90686	-165.95407	49.922325	2543.2957940101624
42	-169.59756	321.44003	-0.32584414	-1290.5098	-530.2117	530.69867	-16.833786	-1324.6451	209.26666	511.0	167999	168.16078	81.56738	447.43903	-173.718	-171.34831	52.616993	2607.622400999069
43	-568.41876	437.44427	-8.3353	-1199.9753	-806.77386	590.7331	-21.563812	-1559.0378	578.25	666.3	171999	169.36168	82.63991	472.67996	-189.79364	-172.43794	53.270836	2674.6203515529633
44	-192.49628	208.63516	43.190346	-553.4043	-57.103752	60.229774	-4.5583434	-172.16699	393.54544	238.9	175999	170.4836	83.76631	506.42236	-197.19264	-173.4888	52.922447	2736.8716485500336
45	-109.41487	182.16684	122.45698	-603.36224	-60.618584	111.80658	152.54185	-267.59473	381.2	356.3	179999	169.0299	85.02196	529.8753	-183.61087	-171.98288	50.57708	2800.2622706890106
