Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-98.71472	165.9953	-3.8535545	-648.27826	145.1923	-0.033905983	0.15624294	0.47189564	-0.46182704	4000	-6.5922734e-08	2572.7183	-0.017234635	-723.1969	0.9189443	0.016416077	0.20525	6.0	5.737966775894165
1	-90.36135	121.61142	-2.1604693	-629.5052	130.28572	-9.37089	0.32722867	-1.9076797	-9.586929	8000	-1.001358e-08	1704.9867	-0.05332076	-354.92798	0.91714793	0.015069368	0.219	72.0	12.275354385375977
2	-127.3944	161.52203	-7.1195364	-579.9259	219.35294	-15.329057	0.11463523	-13.850606	-15.395923	12000	3.5643577e-08	1157.8264	-0.017575335	-221.63092	0.9056606	0.015775992	0.23275	9.0	18.162790536880493
3	-107.64873	174.648	-8.60922	-632.89087	180.10527	-20.02378	0.12403843	-16.466488	-20.066399	16000	-1.6450882e-08	948.60345	-0.01698878	-169.6734	0.90368575	0.016271831	0.203	7.0	24.50984263420105
4	-101.75427	169.69481	-1.2678788	-612.9186	190.47368	-24.01817	1.9021258	19.42543	-24.2349	20000	-4.0769578e-08	821.8082	-0.01368185	-101.67322	0.9011722	0.016089028	0.2425	8.0	30.926563024520874
5	-187.28015	207.49016	-6.64353	-594.7383	357.8	-27.32968	1.8616359	21.302685	-27.543787	24000	2.6226044e-08	564.6672	-0.014619796	-118.41205	0.89808977	0.01690466	0.22425	8.0	37.47109007835388
6	-32.164932	30.626972	19.420258	-139.57356	72.3617	-30.017778	6.2462573	30.374052	-31.14658	28000	-1.5974045e-08	460.93988	-0.05655059	-149.28912	0.89484894	0.015113138	0.22575	68.0	45.051448822021484
7	-111.7893	139.13185	2.8044302	-478.2122	228.86667	-21.839275	7.365172	27.872532	-30.026318	32000	2.6226044e-08	726.34863	-0.016409948	-270.69632	0.8848392	0.01645957	0.22025	9.0	52.10200238227844
8	-83.82663	131.0433	15.451655	-535.98645	172.39131	-30.360813	6.248546	31.180895	-32.293545	36000	0.0	405.34668	-0.014210714	-30.425232	0.88375276	0.016882839	0.1845	6.0	58.54521346092224
9	-60.269432	88.7654	6.3850436	-445.1519	128.64	-30.809813	5.066822	21.664604	-33.178406	40000	1.9550324e-08	297.65884	-0.012882745	-82.838	0.882503	0.016102193	0.15925	5.0	65.67885065078735
10	-68.85511	107.399414	2.8259761	-427.10367	146.44444	-25.895699	9.545719	15.416321	-33.741806	44000	4.23193e-09	296.75778	-0.011514113	-61.61644	0.88139486	0.015820906	0.207	7.0	72.38175082206726
11	-70.763695	124.75295	16.16964	-494.30838	166.30435	-28.75095	6.802938	7.220868	-34.92235	48000	-9.536743e-09	262.70654	-0.012950373	-43.858826	0.8798431	0.015891057	0.20275	6.0	79.44466423988342
12	-99.25375	156.015	20.959356	-558.77686	211.875	-31.290176	6.920671	3.4850526	-36.254986	52000	-1.5616417e-08	301.93182	-0.014365097	-66.17743	0.87828	0.016378943	0.236	8.0	85.87308669090271
13	-103.80084	166.30418	13.649475	-494.86108	232.64706	-34.201157	7.53035	15.687958	-38.238785	56000	7.1525574e-10	193.74852	-0.014348812	-55.579483	0.8760363	0.016618615	0.21825	8.0	92.4672360420227
14	-48.530613	82.71203	37.447903	-403.79623	125.5	-27.327555	11.098939	31.180952	-39.90529	60000	8.34465e-09	440.02747	-0.01217725	-185.13095	0.8734512	0.015859637	0.18825	7.0	99.3745756149292
15	-58.890186	113.90961	12.0806675	-470.77295	126.75862	-27.484596	12.150607	23.572018	-40.115925	64000	-5.3644182e-09	289.0928	-0.015087259	-106.34209	0.87158006	0.017127294	0.22375	9.0	105.9317193031311
16	-67.99266	106.23753	17.110228	-442.8882	166.0	-27.445724	12.680061	26.92417	-40.901184	68000	3.516674e-09	242.31628	-0.015095843	-76.49161	0.8696984	0.015954474	0.225	10.0	113.13287115097046
17	-78.206924	141.24582	21.407503	-469.86523	189.0	-31.316227	10.852124	21.805317	-41.230835	72000	-5.3644182e-09	286.07773	-0.014602541	-84.976654	0.86761355	0.016997732	0.17625	7.0	119.86143231391907
18	-81.45659	126.81589	31.900572	-422.1492	187.35294	-33.932785	11.0523815	13.934006	-41.6732	76000	1.5735626e-08	244.50937	-0.0139538655	-65.67894	0.8659265	0.015450871	0.23375	8.0	126.83704280853271
19	-66.84087	106.347565	19.313288	-405.36615	163.95833	-31.506996	12.106068	19.536673	-42.032104	80000	1.6689301e-09	284.49963	-0.05941265	-97.33418	0.8638323	0.014864247	0.2675	79.0	134.07476615905762
20	-54.287422	75.15643	12.500172	-357.16766	152.61539	-23.917633	13.665416	33.088158	-41.950043	84000	-1.2278557e-08	385.2202	-0.018006992	-134.80663	0.85107404	0.01623943	0.2625	9.0	140.88372421264648
21	-47.346256	94.7118	11.730294	-381.692	136.53572	-27.607515	11.119024	19.115635	-41.38704	88000	7.629395e-09	184.53154	-0.017141568	-76.09599	0.8497896	0.019539662	0.1715	6.0	147.37844562530518
22	-43.293148	99.40734	24.30279	-399.0635	125.57692	-27.358212	13.796927	18.306713	-41.219517	92000	1.2516975e-08	275.71716	-0.011752817	-95.9917	0.84834754	0.015192134	0.22325	6.0	154.27495646476746
23	-59.075462	109.19172	24.840517	-405.82956	146.24	-29.385305	13.054506	25.494978	-40.976475	96000	-1.5854836e-08	253.31232	-0.013307409	-82.38246	0.8463306	0.01696501	0.22775	7.0	161.16041707992554
24	-38.946056	90.69851	21.72225	-369.9116	141.82143	-29.68232	12.911314	26.425974	-41.485157	100000	-6.6757204e-09	239.35564	-0.016320396	-126.714554	0.8438689	0.017430216	0.232	8.0	167.34614396095276
25	-54.000385	106.830055	14.501002	-437.17917	142.15384	-23.808062	13.665161	15.482388	-40.21948	104000	-3.5762786e-09	193.89606	-0.063310586	-67.845894	0.84145504	0.0066277115	0.285	79.0	175.7176856994629
26	-34.182175	87.06405	42.028236	-396.1446	110.638885	-25.731525	12.662685	8.036247	-40.574528	108000	6.6757204e-09	199.67062	-0.019882122	-66.20853	0.8291008	0.016789094	0.2695	9.0	182.19192218780518
27	-45.104126	105.351	26.659725	-466.49744	156.68	-23.083406	15.192781	26.941114	-40.302227	112000	1.0371208e-08	259.36255	-0.01612722	-76.3342	0.8278808	0.018891843	0.243	7.0	189.0261194705963
28	-49.981476	97.49355	29.29074	-353.97174	159.0	-26.480476	12.433638	11.533898	-38.74332	116000	5.722046e-09	279.95496	-0.016888103	-65.02667	0.826381	0.016128797	0.22225	7.0	195.11300420761108
29	-62.094856	127.5507	38.48902	-376.94595	208.42105	-27.994368	12.432923	13.147381	-39.098557	120000	1.0371208e-08	222.83229	-0.013856171	-66.23302	0.82416785	0.015840324	0.2415	8.0	201.3829562664032
30	-35.476227	61.047867	28.589464	-332.7898	118.354836	-24.390528	12.241779	22.691643	-38.545063	124000	-1.859665e-08	343.97278	-0.016703019	-121.36261	0.8212412	0.015318744	0.24325	8.0	208.26042437553406
31	-54.894405	88.34902	11.850567	-334.22723	165.78261	-22.202446	11.588405	27.060837	-36.923737	128000	-1.4066696e-08	268.88687	-0.054581102	-102.41922	0.81842273	0.015003597	0.246	47.0	215.54176926612854
32	-41.19803	89.71409	28.570057	-348.63507	165.21053	-28.644	10.1862545	11.211764	-37.932022	132000	-5.722046e-09	226.33029	-0.015252651	-90.21019	0.8069471	0.0164634	0.162	7.0	222.5825753211975
33	-35.336967	83.56356	20.766703	-344.5175	119.25	-19.699804	12.499759	18.999825	-36.178905	136000	6.6757204e-09	155.60817	-0.013913421	-48.273453	0.8054629	0.017098157	0.1725	7.0	229.00994539260864
34	-20.213282	56.20459	37.356613	-277.2912	107.62162	-18.408613	12.455657	19.765877	-36.706257	140000	-1.3589859e-08	276.1265	-0.05790266	-113.218475	0.8035224	0.015149229	0.25925	54.0	236.66030979156494
35	-19.89872	59.213505	106.2324	-252.2688	130.44827	-12.252061	12.684098	11.371405	-34.9482	144000	-3.2901763e-08	337.16644	-0.017106915	-66.42239	0.7887291	0.015369484	0.2495	8.0	243.02567219734192
36	-50.426792	84.08834	32.29489	-256.86758	206.94737	-20.688969	12.727233	27.456682	-33.27173	148000	-2.3841857e-09	121.38309	-0.015285466	-37.739273	0.78717756	0.017529678	0.2475	7.0	249.68630027770996
37	-30.694475	78.06659	68.11784	-251.83063	198.33333	-19.738735	10.693346	19.85146	-32.363544	152000	2.1457673e-08	165.62193	-0.013545258	-66.08676	0.78553164	0.016290758	0.17975	6.0	256.8511915206909
38	-13.25724	44.564095	22.68176	-256.72058	101.92105	-9.153195	10.267546	21.873957	-30.128267	156000	1.6689301e-09	158.31229	-0.014339094	-24.09935	0.7840582	0.015295215	0.2785	8.0	263.1791501045227
39	-56.484463	115.277435	60.41614	-289.05624	273.14285	-18.289974	10.271159	16.033552	-30.067352	160000	9.775162e-09	116.39058	-0.015783535	-38.730354	0.7818388	0.016633257	0.25325	8.0	270.20535016059875
40	-17.712467	44.856544	29.291716	-245.24481	93.64286	-12.456379	11.273202	23.582937	-31.833252	164000	4.529953e-09	181.64233	-0.016313178	-33.380554	0.7797013	0.016372245	0.2475	8.0	276.7528929710388
41	-15.69439	39.34834	40.498703	-188.11493	104.23684	-11.02967	10.834759	17.948484	-30.045763	168000	0.0	222.66905	-0.014556149	-58.571457	0.77801466	0.015799	0.2025	6.0	283.50246810913086
42	-37.50657	81.3428	25.033918	-308.2179	175.18182	-14.790688	8.87363	15.710102	-27.500774	172000	-5.2452087e-09	152.205	-0.015885822	-38.62641	0.77640903	0.017082438	0.284	7.0	290.1720042228699
43	-86.072716	97.10118	10.45848	-304.79193	328.91666	-20.391582	8.012491	16.832989	-29.752005	176000	5.9604646e-09	160.80777	-0.012615394	-61.299065	0.7742437	0.01559721	0.1915	6.0	296.8510866165161
44	-15.720637	45.386444	56.661354	-211.17242	105.052635	-18.107882	7.0542126	11.410322	-31.754463	180000	1.3828277e-08	342.3282	-0.011936481	-134.79884	0.7722781	0.017901037	0.19725	6.0	303.4512987136841
45	-50.61845	83.29273	25.771976	-228.48541	278.2857	-16.84518	8.360323	17.054287	-27.740536	184000	5.066395e-09	90.16391	-0.016169997	-19.200615	0.7703902	0.017346038	0.2625	8.0	310.7048034667969
46	-47.50736	85.9183	37.344627	-237.58455	233.0	-18.23841	8.005998	19.154673	-27.629316	188000	1.5377998e-08	120.26571	-0.015442957	-24.885742	0.768147	0.017156154	0.2305	8.0	317.10220670700073
47	-7.401889	32.55229	61.272316	-139.52237	115.52941	-12.846588	6.7376885	11.402838	-28.132788	192000	-2.7418137e-09	213.06912	-0.013988521	-82.26944	0.76567227	0.017919911	0.22675	7.0	323.9602813720703
48	-30.336008	68.446785	48.240875	-213.36008	285.46155	-14.0846195	8.793669	16.130014	-24.910723	196000	-1.3411045e-08	93.29866	-0.015774058	-17.830788	0.763417	0.01857776	0.25975	7.0	330.13861441612244
49	-13.796042	44.591755	58.439384	-196.06326	117.05882	-8.333684	9.404027	16.790304	-22.271563	200000	-1.1563301e-08	120.27358	-0.012990831	-27.698402	0.76103884	0.017346976	0.2155	6.0	336.6151466369629
50	-38.626617	66.43967	21.392353	-230.73152	233.82353	-13.884777	9.056065	13.603427	-24.989563	204000	4.2915342e-09	114.26648	-0.016278755	-41.070557	0.7589446	0.016862534	0.229	7.0	343.5191469192505
51	-33.072556	56.973278	24.639574	-152.18478	234.23529	-14.709092	5.880536	11.813727	-25.18669	208000	1.9073486e-08	65.74857	-0.014473181	-15.360191	0.7568071	0.016857332	0.21875	6.0	349.8777902126312
52	-12.124291	31.430325	35.50813	-99.5107	96.44118	-8.034654	7.561767	14.158785	-24.918024	212000	2.8848648e-08	219.2127	-0.014905408	-49.23642	0.7550196	0.01603056	0.265	8.0	356.9172477722168
53	-15.958202	39.05982	22.069628	-132.12196	143.07408	-9.574001	7.0256014	11.489844	-23.205069	216000	-7.152557e-09	112.620476	-0.012948402	-28.55677	0.7524253	0.01575428	0.21025	7.0	363.21107840538025
54	-2.7050533	38.38125	55.800358	-147.99474	124.18519	-8.146394	7.8300576	14.699367	-21.985674	220000	-1.0967255e-08	134.34384	-0.015581184	-27.3601	0.75021094	0.016486019	0.24125	8.0	370.0917546749115
55	-6.711989	39.600315	42.866966	-104.15651	172.11111	-8.443723	8.103196	15.409855	-19.94608	224000	-1.835823e-08	87.56994	-0.053028177	-23.118095	0.7477851	0.015157112	0.256	50.0	377.3404095172882
56	-9.178657	42.534367	39.215103	-130.86894	186.61905	-6.254297	10.259691	16.257479	-20.484983	228000	1.1205673e-08	155.62042	-0.06847092	-48.18873	0.7344649	0.010296517	0.32975	79.0	384.8686349391937
57	-1.1998156	48.61245	82.184616	-113.68158	283.0	-7.999263	7.362804	14.423292	-17.79054	232000	7.4505807e-10	157.4055	-0.065219104	-45.677956	0.720275	0.008119827	0.32175	79.0	392.63139605522156
58	-11.51294	47.256775	82.72808	-70.02074	384.0	-6.126161	4.993107	14.287252	-19.572031	236000	4.768372e-10	167.8801	-0.018461445	-59.984695	0.7060138	0.016309401	0.262	7.0	398.8684139251709
59	6.268537	25.047203	47.04469	-46.45508	128.09677	0.92633826	8.963079	25.294586	-24.568796	240000	-7.1525574e-10	171.38675	-0.013855074	-54.26793	0.70506567	0.016473513	0.23475	7.0	405.7981119155884
60	1.2430435	32.507504	55.503654	-70.52999	180.40909	-1.4406424	6.4514933	19.376637	-20.051199	244000	-2.384186e-10	170.09587	-0.014179542	-36.742737	0.70375264	0.017031956	0.252	7.0	412.2225067615509
61	0.69245136	35.495785	70.95138	-84.03786	298.15384	-2.8070893	4.785306	14.169798	-20.122078	248000	2.3841857e-09	83.74476	-0.01530971	-22.39814	0.7021369	0.015041583	0.1885	6.0	419.00227212905884
62	-3.3519645	33.713215	30.01902	-81.63326	280.69232	-2.8345041	6.1461625	16.599092	-18.758198	252000	8.34465e-09	96.2019	-0.01624403	-28.592712	0.70050704	0.018688943	0.2015	6.0	425.5211274623871
63	8.73327	35.65811	83.064	-41.76297	266.58334	-3.660173	4.4943	13.361674	-16.735752	256000	-1.3589859e-08	164.90059	-0.012999259	-50.864388	0.69865125	0.015917316	0.22575	6.0	432.2770721912384
64	-1.7133434	28.637627	52.38088	-64.207146	173.90909	0.44893843	7.094364	20.508255	-19.959135	260000	1.990795e-08	113.769264	-0.016367715	-40.417366	0.69669336	0.015031658	0.23825	9.0	439.1653006076813
65	14.966924	42.51355	106.84261	-69.54173	164.375	-1.2120525	5.3551493	16.97678	-19.386091	264000	3.0994414e-08	236.78937	-0.015902804	-94.28349	0.69390804	0.017739344	0.23425	7.0	445.43687868118286
66	15.430188	32.117588	67.73048	-60.05091	393.6	-0.3695	6.74866	18.932587	-11.933383	268000	-3.5762786e-09	108.41928	-0.017060036	-23.06205	0.69178486	0.01788702	0.2795	7.0	452.7478938102722
67	26.731384	31.62161	74.45925	-23.726423	276.6154	3.8134513	6.541841	19.607832	-20.084692	272000	5.00679e-09	158.37247	-0.015107282	-44.117012	0.6894666	0.017462179	0.2415	7.0	458.9553632736206
68	4.41082	32.25223	89.17916	-50.744083	252.08333	3.653599	8.278947	22.723166	-11.749147	276000	5.066395e-09	138.6856	-0.013596807	-76.150986	0.6870395	0.016959062	0.22125	7.0	465.660817861557
69	7.5542665	21.429625	45.30936	-39.429867	234.52942	-0.20146787	4.372571	16.15558	-16.573906	280000	1.0848045e-08	136.20187	-0.018363178	-36.128853	0.6848432	0.015539247	0.27375	8.0	472.3596875667572
70	7.7807236	26.477436	58.67186	-51.956932	165.0	-0.6477863	5.2487564	15.241186	-20.562983	284000	6.3180923e-09	183.85751	-0.014175748	-39.74092	0.6821843	0.0156994	0.24775	8.0	478.6976571083069
71	16.660786	31.856865	85.550934	-27.517601	173.73914	1.375266	6.2059703	19.359337	-25.348877	288000	-2.1457671e-09	207.20692	-0.013988836	-48.822327	0.67966646	0.01821152	0.225	7.0	485.6273865699768
72	11.877652	34.67374	99.616135	-32.338146	396.6	3.0513203	3.974313	18.392494	-16.394735	292000	-9.059906e-09	91.78116	-0.013381465	-25.5924	0.6780768	0.015789842	0.2135	8.0	491.9712646007538
73	5.3680515	21.972963	45.55048	-43.40991	234.17647	0.926407	4.9993353	19.918293	-17.266502	296000	-5.2452087e-09	118.1125	-0.016214648	-25.389519	0.6755517	0.015447395	0.1915	8.0	499.00209975242615
74	26.65157	44.74403	108.638824	-30.821362	340.18182	0.44784185	5.0617685	16.44938	-21.41992	300000	-1.07288365e-08	187.41287	-0.015211376	-63.84076	0.67300195	0.017053328	0.24775	7.0	505.4539783000946
75	5.379724	37.94616	89.61483	-66.946785	176.58824	3.6072981	6.212829	20.583458	-16.657661	304000	-1.5735626e-08	220.02429	-0.015253247	-85.22954	0.6711048	0.016356418	0.23975	9.0	511.7228500843048
76	24.389223	39.63769	122.3249	-14.652971	306.6154	1.4545484	4.9087296	21.30529	-22.800903	308000	2.1457673e-08	185.433	-0.013531543	-76.96272	0.66865605	0.016464295	0.21125	7.0	518.7087461948395
77	41.33283	47.038795	149.42888	-29.966576	271.6154	7.5057364	7.385691	25.83653	-15.68972	312000	-1.2397766e-08	197.10338	-0.015988136	-43.38875	0.66708547	0.016499953	0.19675	7.0	525.4663968086243
78	4.41045	30.43937	51.05203	-67.24594	176.16667	7.1688476	7.4905534	25.826057	-17.290953	316000	4.053116e-09	177.13358	-0.014770951	-72.54237	0.66511405	0.016852623	0.24925	7.0	532.2875850200653
79	24.469625	37.74764	124.13868	-15.351156	213.72223	2.84391	5.067238	21.563192	-19.990816	320000	2.2470951e-08	194.39166	-0.0144749	-61.419968	0.66277254	0.015873903	0.21875	8.0	538.5576314926147
80	16.581392	28.226831	88.569626	-25.287605	276.45456	4.8791294	5.4960365	25.419226	-21.185133	324000	-2.861023e-09	122.94261	-0.063076735	-45.6308	0.660226	0.015019047	0.305	79.0	546.8892834186554
81	29.430977	45.888485	150.42368	-38.67056	195.0	3.792066	5.1010785	19.432243	-18.76269	328000	-1.8239021e-08	218.28787	-0.015712539	-66.40025	0.64739716	0.017023517	0.1995	7.0	553.070538520813
82	10.285493	34.03075	109.0157	-71.2748	137.27272	6.724826	6.677744	25.097261	-21.441854	332000	2.026558e-08	269.8778	-0.012416138	-69.92915	0.64664215	0.016364323	0.24875	6.0	559.4228663444519
83	33.157036	27.714197	85.887535	-6.819065	443.44446	4.0228214	4.3423905	20.312868	-18.189356	336000	-8.3446505e-10	96.578094	-0.013213848	-28.390182	0.64540106	0.015356872	0.141	5.0	566.4006507396698
84	35.884987	48.08051	153.25769	-45.781677	218.77777	5.431129	7.007027	22.868443	-23.478928	340000	-2.002716e-08	293.588	-0.04477354	-95.41403	0.6440744	0.015236714	0.20725	28.0	572.9322323799133
85	45.43282	50.602577	149.523	-20.890457	286.72726	7.0246634	9.254469	27.617022	-24.361135	344000	5.2452087e-09	179.26532	-0.017886506	-75.22587	0.63661945	0.015252687	0.28225	8.0	580.3608598709106
86	46.335674	33.627544	139.70735	8.635033	225.64706	9.154228	5.114082	25.390171	-15.50634	348000	-9.059906e-09	210.03804	-0.01703506	-59.089203	0.6346594	0.016463341	0.23	6.0	586.8500640392303
87	40.660095	49.038685	148.14163	-78.0068	222.16667	15.997198	8.175738	33.810665	-12.537951	352000	7.033348e-09	229.45308	-0.012800991	-83.91333	0.6332205	0.015820503	0.2445	7.0	593.593005657196
88	33.24426	62.75568	133.87418	-97.61051	361.81818	7.330876	6.1515765	33.033745	-29.52416	356000	-1.9669534e-08	149.09322	-0.016254697	-76.62247	0.6312309	0.017197615	0.24325	7.0	599.9116082191467
89	30.994236	39.288532	128.94325	-13.59073	205.5	10.320759	10.868562	33.93143	-39.21869	360000	-2.384186e-10	184.55931	-0.0152820125	-66.9545	0.6292435	0.016856037	0.24475	8.0	606.1993291378021
90	40.915447	37.524876	139.79056	-7.1356893	318.33334	7.1636844	6.871822	24.86791	-25.309195	364000	1.0490417e-08	234.4665	-0.017940288	-76.04367	0.62732434	0.01656551	0.2565	7.0	612.5699830055237
91	37.30196	45.387413	158.55801	-15.718098	255.2	7.4964	6.383842	31.111864	-15.151281	368000	-1.1920929e-08	112.50845	-0.012942266	-40.519363	0.625781	0.016424052	0.2235	6.0	618.7908229827881
92	25.572916	33.046543	119.86453	-12.139138	165.04347	10.665557	6.819408	28.480545	-18.179976	372000	2.861023e-09	180.65181	-0.017020993	-59.198586	0.6242477	0.015113832	0.2075	9.0	625.371857881546
93	16.747702	50.471073	162.34285	-46.48605	250.6	5.404215	7.671827	29.341715	-23.649054	376000	-5.4836273e-09	272.66605	-0.016700517	-74.62523	0.62196124	0.015566408	0.275	9.0	631.9900059700012
94	103.40028	46.122814	164.5226	32.104443	554.5714	5.544008	6.979055	29.896866	-21.715593	380000	-1.45435335e-08	166.70232	-0.016041905	-99.41305	0.6195874	0.016498927	0.231	7.0	638.4376883506775
95	40.91888	46.807156	131.6698	-7.0571427	355.54544	11.28015	9.576433	33.026615	-25.817055	384000	-1.8119811e-08	194.91245	-0.016106173	-81.47529	0.6174862	0.017251775	0.2335	7.0	645.6118369102478
96	70.50786	46.10255	137.85698	17.401932	514.8571	7.7935205	5.693206	23.381315	-15.692532	388000	1.7404556e-08	147.73506	-0.012375118	-46.082428	0.6156457	0.015855372	0.23375	6.0	652.077107667923
