Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	46.08712	8.826554	60.64089	37.282692	39.35462	4.5564666	47.45367	34.24963	1000.0	1000.0	127999	14.606982	9.403537	54.911575	3.9489453	-14.73469	0.03755069	1801.7016944885254
33	35.651287	5.1814685	44.35047	30.676205	33.669075	4.756091	44.00716	29.384104	1000.0	1000.0	131999	14.150751	9.3713875	51.81523	3.526801	-14.26268	0.034034677	1873.2920417785645
34	44.702026	8.001507	56.33889	33.884327	38.671093	4.4158235	49.484703	33.731045	1000.0	1000.0	135999	13.697235	9.304503	51.407738	3.4700823	-13.806755	0.031375732	1944.714194536209
35	41.643265	2.9945834	46.519123	38.664654	41.34943	1.4530058	43.659367	38.991146	1000.0	1000.0	139999	13.244903	9.188462	50.80831	3.2631524	-13.34744	0.031537276	2016.372022151947
36	51.20893	5.3840194	57.36216	43.953976	45.022083	2.7852464	53.017082	42.39545	1000.0	1000.0	143999	12.702364	9.098599	54.41999	3.3395483	-12.804159	0.03296197	2087.8572611808777
37	41.84983	2.0492618	44.385696	39.24746	48.410923	1.6179723	50.746407	44.550274	1000.0	1000.0	147999	12.242989	9.024675	53.62846	3.1973374	-12.33708	0.032493196	2160.853863954544
38	50.444313	11.090247	67.334	36.189995	54.432587	6.0699496	67.5958	47.55372	1000.0	1000.0	151999	11.721322	9.044708	52.70968	2.9439306	-11.804636	0.03257773	2234.5811450481415
39	48.436405	3.7512066	53.05362	43.813484	49.59172	1.2173846	52.03422	47.9273	1000.0	1000.0	155999	11.320154	9.083158	48.473114	2.8368008	-11.414062	0.03090777	2309.2155315876007
40	43.78569	3.7749686	48.30756	39.368904	43.70851	1.1751671	45.259586	41.712383	1000.0	1000.0	159999	10.924609	9.040903	48.250328	2.5378575	-11.010303	0.029505564	2383.2285029888153
41	46.211735	2.161403	48.910667	43.047516	45.373276	1.2384895	47.06929	42.983585	1000.0	1000.0	163999	10.446726	8.943534	45.802937	2.3645568	-10.522201	0.027921233	2457.717747449875
42	43.432972	4.0339274	47.785393	37.74948	46.959145	6.0781703	56.26523	40.475086	1000.0	1000.0	167999	10.060725	8.826787	45.24578	2.4679973	-10.141409	0.027183952	2532.7802872657776
43	45.279984	6.9487557	56.80008	38.204445	44.262627	3.6621978	49.48821	34.72858	1000.0	1000.0	171999	9.812011	8.865567	46.47561	2.2379737	-9.891354	0.028212072	2608.9301006793976
44	44.278084	4.3841705	48.478203	37.237827	47.790745	3.5726523	54.29195	42.905098	1000.0	1000.0	175999	9.584255	8.860102	45.99133	1.3236951	-9.658611	0.029527107	2685.607272863388
45	46.811855	4.10562	53.916637	44.175213	51.615906	5.045915	62.256905	43.866035	1000.0	1000.0	179999	9.329109	8.735693	45.067425	-1.754102	-9.406424	0.026383232	2762.393691301346
46	48.71236	2.9701195	51.757797	45.431656	51.568798	6.4798894	60.68449	41.885365	1000.0	1000.0	183999	9.1808195	8.786928	46.04904	-1.8411804	-9.260023	0.026797218	2839.40430355072
47	45.630814	7.4405503	52.29881	33.22837	49.95632	10.110847	58.633224	36.080593	1000.0	1000.0	187999	8.974313	8.78727	44.19562	-0.40692663	-9.043602	0.025777122	2916.7234938144684
48	46.51262	4.9083614	54.383484	41.283234	50.057487	5.449168	65.35204	45.190765	1000.0	1000.0	191999	8.754016	8.884802	44.945385	-0.98075676	-8.826793	0.026003124	2994.1492874622345
49	50.518982	3.0213459	53.69438	45.72995	48.250477	2.5712116	52.06042	44.205807	1000.0	1000.0	195999	8.533693	8.786385	45.419575	-5.2766066	-8.598428	0.02493099	3072.869779109955
50	50.02047	5.0389876	57.793663	43.694073	53.46637	0.9776675	54.79971	51.502163	1000.0	1000.0	199999	8.365672	8.788788	46.001034	-1.2311356	-8.4384985	0.02377033	3151.563957452774
51	49.933002	5.175869	53.708344	41.045235	58.118134	6.039581	67.72864	52.506638	1000.0	1000.0	203999	8.261598	8.772136	45.590702	-1.1505737	-8.325428	0.022873132	3230.6917192935944
52	53.326138	6.202915	61.79079	44.70754	51.09519	3.4761906	54.322212	41.799114	1000.0	1000.0	207999	8.086212	8.787463	45.369705	-3.1370873	-8.150527	0.023651943	3309.4342243671417
53	46.92713	5.049208	52.25934	38.80482	50.55202	5.8008304	55.244576	37.534874	1000.0	1000.0	211999	7.9126606	8.718671	44.195065	-4.3220215	-7.976839	0.021868134	3388.3853058815002
54	49.666702	8.289915	58.599876	36.09557	53.624836	2.0371015	55.565678	48.812035	1000.0	1000.0	215999	7.7496624	8.567517	44.114433	-2.0048566	-7.8110976	0.021239776	3467.685250043869
55	54.765144	9.62048	69.69738	45.90002	45.035038	2.0640917	47.98156	42.032955	1000.0	1000.0	219999	7.609101	8.491646	44.683525	-4.7922487	-7.6717086	0.021059804	3547.2014751434326
56	51.57163	5.6374288	61.20134	47.122627	46.383453	4.249243	50.957294	39.815414	1000.0	1000.0	223999	7.563002	8.438448	43.62226	-1.3977518	-7.623006	0.019516438	3625.3180062770844
57	53.951782	4.753386	58.356983	46.336517	48.919823	6.153942	59.861496	38.948433	1000.0	1000.0	227999	7.467153	8.378257	44.207066	-3.4680007	-7.5291567	0.020222992	3706.1320111751556
58	55.455254	1.5143304	58.004284	54.143173	47.257374	5.538961	54.712856	36.58126	1000.0	1000.0	231999	7.4563518	8.381637	45.130646	-3.097564	-7.5193553	0.02246828	3786.784662246704
59	53.342674	5.060383	61.56452	48.97647	46.64379	3.2851894	52.31319	43.443073	1000.0	1000.0	235999	7.4709287	8.406847	43.683323	1.1277542	-7.5368676	0.021238724	3867.8661267757416
60	50.857777	4.8536453	55.97114	42.916126	47.020008	1.3617547	48.33965	43.262234	1000.0	1000.0	239999	7.556978	8.4538965	48.903404	1.2488043	-7.623972	0.022410156	3948.9733238220215
