Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-44.775826	71.404945	41.47959	-401.47772	46.413765	98.273224	210.62279	-43.246113	120.51515	431.8	3999	-0.46403694	2.2768872	13.584528	-19.786167	-0.4644966	2.2765975	14.036201	-20.163904	-0.47917643	0.3669738	67.34231162071228
2	-39.79574	69.758	27.051777	-388.2497	-37.892483	25.153355	-9.8546295	-91.78984	110.7	34.7	7999	3.811414	5.2161736	35.504112	-21.539173	3.8104112	5.2188883	34.475372	-21.281244	-6.603401	1.6368692	159.69503593444824
3	-111.88081	274.0984	18.544048	-1423.9482	-91.83767	187.15782	11.243137	-637.2917	163.65384	216.0	11999	12.964257	7.8503017	68.24582	-16.997835	12.963463	7.855937	58.433743	-15.676505	-17.271824	5.9654465	255.5783166885376
4	-248.46814	243.5674	26.327913	-694.02454	-166.51068	305.54733	81.9099	-937.7007	595.6667	619.7	15999	14.381569	9.260819	60.79504	-19.68911	14.381854	9.269143	59.249092	-19.670938	-17.621452	6.290833	358.6115005016327
5	-13.419737	102.80855	88.46617	-336.42505	17.429281	18.770548	37.366943	-18.52713	301.46155	159.8	19999	12.78195	10.6253195	61.37617	-25.909672	12.7820835	10.630207	60.088306	-25.29601	-15.546952	6.011352	454.6360113620758
6	-15.135027	93.54637	85.81314	-264.3257	105.657555	91.54844	342.00815	5.434211	376.3846	492.2	23999	10.321019	11.006067	52.689102	-25.306303	10.320995	11.010802	52.91172	-27.117878	-12.704975	5.138769	555.5995123386383
7	69.546844	111.29585	351.45325	-62.967403	173.47083	131.9232	376.5976	22.755262	386.5	486.5	27999	8.101433	10.917374	50.52015	-24.844553	8.101689	10.919963	52.871227	-24.377575	-10.247582	4.41939	656.0452282428741
8	241.11002	174.64583	465.26907	26.87458	95.46607	102.71305	335.83032	3.1127322	685.6	273.5	31999	6.6175213	10.410133	49.448185	-24.763163	6.617916	10.412579	49.001183	-26.08127	-8.545405	3.793878	753.6708154678345
9	227.99083	235.63676	574.8997	3.2244143	299.8807	261.06174	677.3765	4.9836063	449.55554	530.7	35999	6.212886	9.476691	47.307186	-25.950869	6.211956	9.479052	46.668644	-24.62584	-8.012438	3.3047621	854.4384107589722
10	129.36464	169.81898	570.4011	12.152153	140.22498	212.6891	622.32214	0.28133935	280.13333	261.1	39999	6.502105	8.429826	43.840298	-30.77422	6.5010095	8.431118	43.931137	-34.89111	-8.163605	3.178288	951.1114971637726
11	246.04085	200.9224	591.5183	3.7511494	344.1168	227.98915	687.4034	40.723396	514.8571	618.2	43999	7.3887596	7.605042	41.231907	-34.7408	7.388652	7.607318	41.691044	-33.50895	-8.945752	3.1734421	1046.1790835857391
12	422.78296	236.24052	630.7439	-4.3676133	348.48386	267.4951	695.2942	31.170662	805.4	528.7	47999	8.433782	6.937614	37.703434	-30.10431	8.433825	6.9380884	39.04419	-31.942335	-9.944748	2.8336508	1142.0844278335571
13	272.09824	276.04544	702.0641	-3.665696	339.78787	363.5107	882.0487	10.660523	437.33334	453.0	51999	9.804144	6.740238	39.975037	-33.545403	9.803644	6.7420673	40.68958	-33.82457	-11.268039	2.9184413	1236.1161439418793
14	191.48425	274.65414	726.4168	-5.313036	111.74083	244.42377	828.0991	-7.543962	331.42856	147.3	55999	11.083521	6.773446	39.09533	-32.342876	11.083609	6.775036	40.509262	-36.85426	-12.525835	2.9207232	1325.5025465488434
15	350.25327	312.8466	714.8199	10.877187	245.28142	283.62747	766.2275	9.144749	532.25	348.5	59999	12.526267	7.0008416	40.074654	-35.421234	12.526655	7.001038	40.08249	-32.20068	-13.940141	2.9238029	1416.5788748264313
16	191.74661	258.70132	783.57623	5.505015	269.837	238.77673	703.70306	9.074912	276.53845	430.0	63999	13.837695	7.420316	39.730976	-30.986755	13.837614	7.422912	41.444267	-31.076124	-15.20775	3.1218107	1508.1627342700958
17	422.7804	306.32043	757.3741	48.004875	334.28632	332.21265	857.08484	33.853954	581.6667	404.2	67999	15.186282	7.942503	45.78884	-34.438324	15.186469	7.9443173	44.425137	-29.548306	-16.563597	3.0937555	1601.01890707016
18	160.42351	272.1817	740.95966	-121.94609	514.5626	292.88116	811.0009	63.91201	312.2	736.3	71999	16.745104	8.588296	43.43323	-26.615847	16.744944	8.589478	44.521255	-27.023462	-18.128202	3.3040104	1698.3088212013245
19	472.30933	316.6864	756.38184	10.343112	171.3508	242.87512	755.3364	8.426123	661.6	279.2	75999	17.90105	9.252449	42.582474	-28.326664	17.900345	9.255362	43.18682	-30.796743	-19.288273	3.3646731	1789.3977456092834
20	322.06818	272.84164	781.5937	9.638234	308.0326	258.98297	783.46045	15.472322	568.625	438.7	79999	19.125185	9.73993	45.981606	-24.500364	19.124643	9.742402	47.282974	-26.965315	-20.459673	3.4015796	1882.8119022846222
21	477.09952	294.46658	783.4754	41.88931	276.95563	240.08946	815.9673	14.111928	693.1667	413.8	83999	20.135923	10.202008	46.056362	-25.734188	20.135927	10.202917	47.804855	-26.302553	-21.464363	3.4231226	1975.574693441391
22	182.95306	221.39238	764.7537	-2.1419501	344.77182	291.4989	874.3698	9.273925	278.8	495.4	87999	21.09541	10.855331	49.01648	-30.241838	21.09506	10.857236	48.273655	-32.483627	-22.409674	3.7262714	2070.2446682453156
23	394.5829	198.86559	609.95416	120.62741	332.19183	365.2651	909.26294	-3.830997	674.0	424.9	91999	21.741587	11.523161	49.798004	-27.608944	21.741615	11.524342	49.904102	-29.196814	-23.04386	3.7842035	2164.1848261356354
24	202.58029	234.51244	775.1637	12.864865	348.67822	317.14722	866.80554	12.889918	293.26666	415.3	95999	22.643906	12.184787	53.609806	-28.910381	22.643757	12.187012	52.92656	-29.314888	-23.951277	4.0781913	2257.3037419319153
25	466.5213	272.45175	828.5137	29.678066	323.69464	315.6653	894.79236	13.394268	561.1429	457.8	99999	23.339436	12.729898	53.231434	-33.745785	23.339725	12.731715	52.548386	-31.580296	-24.63226	4.458088	2351.0107593536377
26	361.8628	259.30267	753.3983	47.558548	352.92145	292.81754	820.51184	14.507279	579.5	541.3	103999	24.135717	13.280593	57.573463	-32.14716	24.135336	13.282403	54.171333	-35.303917	-25.477907	4.4496727	2445.200898885727
27	263.34467	302.5876	756.22736	7.6031604	323.8784	321.02637	899.47864	19.042416	370.08334	439.9	107999	24.777693	13.785375	58.697742	-38.674927	24.777737	13.787845	57.168194	-40.55038	-26.108522	4.5777946	2539.914798259735
28	319.07208	298.44278	786.969	12.23712	383.93506	338.3896	896.2374	9.666861	441.75	488.4	111999	25.478867	14.1726675	60.70801	-34.064053	25.47896	14.17435	59.489223	-36.26498	-26.774199	4.667588	2637.1223344802856
29	563.0734	245.63884	838.54706	235.61742	513.8853	330.16217	896.52185	59.190212	684.2857	647.9	115999	26.415018	14.529915	64.23881	-38.792404	26.41517	14.532023	61.881084	-40.78854	-27.63668	4.587257	2737.008068084717
30	262.41663	290.4975	810.7428	11.357066	359.69766	299.32803	911.0408	24.88358	361.63635	521.9	119999	27.2136	15.049891	67.52608	-34.748898	27.213285	15.052419	67.39595	-31.431503	-28.497368	4.653292	2833.137305021286
31	293.12265	292.81873	816.58453	19.164526	327.28833	364.55612	916.6988	11.097604	366.45456	423.1	123999	28.000586	15.357419	69.07749	-40.6055	28.001053	15.358887	69.649635	-38.11766	-29.287645	4.9962587	2929.1193628311157
32	206.3121	213.0652	794.596	21.931911	453.48178	357.29404	900.9267	43.428226	294.45456	548.3	127999	28.694004	15.661447	69.47967	-37.70575	28.69388	15.663388	68.76452	-38.265575	-29.996494	5.2293468	3026.812165737152
33	454.20142	354.91284	872.3945	65.74294	436.7437	420.76907	893.9185	-147.2805	554.875	547.2	131999	29.349195	16.063251	69.73233	-36.437515	29.349264	16.06565	69.05939	-38.089165	-30.559916	5.124826	3125.2983634471893
34	507.6271	317.05957	802.286	59.794212	337.9272	335.67883	847.03033	13.149135	635.1429	449.7	135999	30.09396	16.446411	72.622894	-33.383247	30.094393	16.447348	70.58356	-33.91454	-31.323421	5.168474	3221.7987761497498
35	479.5826	290.4982	746.38104	44.801334	418.42877	378.63364	875.3309	8.126077	689.8	521.2	139999	30.874893	16.703926	70.743935	-36.16254	30.87436	16.707102	67.203354	-38.85634	-32.098866	5.2362647	3318.679817199707
36	366.3532	339.80994	896.3501	11.53856	508.1704	336.59625	896.24335	48.166046	407.3	574.3	143999	31.43926	16.90502	66.63949	-36.56672	31.439077	16.90543	69.02286	-35.537502	-32.713364	5.4077606	3417.72217130661
37	296.62805	259.2816	741.712	1.8908516	465.05093	373.03308	891.19775	26.138794	424.1111	537.4	147999	31.942554	17.057894	70.96097	-36.552605	31.94281	17.059668	72.597145	-39.971214	-33.20346	5.5348186	3515.6786987781525
38	436.6111	306.65903	774.49927	36.903534	262.99554	269.0467	868.6726	0.8257314	493.5	366.2	151999	32.47902	16.909832	74.60986	-38.275623	32.47893	16.910954	73.39697	-34.532738	-33.706997	5.689454	3611.2991683483124
39	586.29974	303.80432	830.7078	0.19247553	434.95197	348.92072	918.3528	34.339718	801.8	547.6	155999	33.18468	16.67009	78.546	-34.742867	33.184826	16.672277	76.0282	-37.426514	-34.381577	5.631546	3709.384616613388
40	563.4563	363.22693	893.8041	33.482162	590.6737	366.05203	887.0053	8.055457	688.5	716.6	159999	33.841114	16.47618	71.13147	-39.866993	33.8406	16.479015	73.889786	-38.679928	-35.048256	5.6429777	3808.849692583084
41	382.95908	371.34045	900.92755	-1.2111517	533.73566	306.9054	855.6727	115.28649	457.0	669.2	163999	34.689137	16.379993	72.15519	-37.254166	34.689213	16.381468	70.15471	-44.00613	-35.863594	5.6373796	3907.489682674408
42	419.73975	323.97266	791.6341	17.297972	666.98456	277.97946	1026.5822	33.09436	622.6	833.9	167999	35.10912	16.489887	73.47955	-37.876358	35.107784	16.494719	70.848434	-40.058933	-36.294163	5.820272	4008.683957338333
43	757.3473	49.325127	803.9904	687.0462	364.11148	374.7018	869.3743	5.6338882	1000.0	432.6	171999	35.723476	16.548359	72.11839	-33.450127	35.723255	16.551474	73.702545	-34.20765	-36.94161	5.661881	4104.430135965347
44	498.27386	371.69266	837.3645	39.1316	697.8048	246.7272	853.86176	117.6273	600.7143	911.8	175999	36.227364	16.658834	71.500465	-39.937794	36.226303	16.662699	68.261406	-35.989853	-37.428005	5.623999	4207.693929672241
45	653.5435	300.31064	826.5309	55.175793	533.09503	357.67047	958.40643	26.632727	807.8	637.1	179999	36.697487	16.845499	73.3858	-35.08981	36.6966	16.848007	68.70953	-31.94956	-37.916107	5.6613736	4306.959390640259
46	572.44586	369.62906	874.08466	44.431324	475.87335	373.58154	891.2203	67.519066	687.3333	544.5	183999	37.15037	16.961256	71.110435	-41.436474	37.149483	16.96523	70.65079	-36.133343	-38.357376	5.6879883	4404.699170351028
47	358.18338	337.77026	804.30725	38.778397	603.0838	322.18457	902.25	100.73036	452.7	830.1	187999	37.60297	16.947823	72.4602	-45.043045	37.602127	16.95229	70.22632	-41.098034	-38.775646	5.648582	4506.46773314476
48	596.96387	408.57773	872.50146	-109.21971	830.63	267.98444	1061.5994	73.63967	1000.0	866.2	191999	37.863144	17.160412	68.92616	-43.126896	37.86284	17.163416	68.98512	-41.008526	-39.000282	5.625045	4608.631232976913
49	675.7989	221.10431	852.11475	298.18558	640.97546	376.9759	949.7998	31.970686	817.5	714.1	195999	38.193443	17.317753	71.09359	-44.347576	38.192158	17.32326	67.94498	-41.93535	-39.356583	5.6267595	4707.521135091782
50	512.8035	395.57437	899.26935	25.070177	887.7665	121.957504	993.83215	580.2554	591.1429	945.8	199999	38.72552	17.35848	67.438736	-39.89319	38.72433	17.363031	65.892975	-40.12593	-39.882973	5.610484	4809.432836532593
51	466.24963	348.1506	892.6353	95.98408	562.77356	420.91348	1014.3069	5.8281965	493.33334	576.3	203999	39.307896	17.298275	70.26215	-46.158627	39.307228	17.302763	71.132324	-42.359066	-40.423595	5.6985292	4907.669507026672
52	431.8505	349.9349	830.60077	2.0545573	703.5531	296.06494	964.0419	60.936577	499.57144	825.7	207999	39.578064	17.280016	71.04424	-38.304527	39.577927	17.283356	72.75263	-35.26258	-40.710423	5.895367	5008.456332921982
53	739.0084	190.8134	1011.6734	500.1456	776.1259	329.65024	1348.5361	252.45961	876.8	743.6	211999	39.938526	17.290365	69.10631	-45.54744	39.93866	17.293423	68.32882	-42.258724	-41.045452	5.8507924	5106.109159231186
54	659.0232	316.09644	882.44574	39.69208	396.32333	340.13208	893.7898	53.343357	805.6	458.3	215999	40.339123	17.322247	69.0627	-46.70902	40.339092	17.323843	70.72621	-45.14212	-41.37342	5.8255615	5200.92191362381
55	661.3083	304.6581	955.431	117.36447	587.5539	426.0376	1197.1292	30.742435	642.1667	572.7	219999	40.78995	17.140633	69.05728	-42.56434	40.790012	17.143383	68.31985	-48.120365	-41.799774	5.792321	5298.306516885757
56	645.6274	357.051	986.2411	-4.0749907	778.985	199.79738	957.0959	221.84427	804.4	913.6	223999	41.158466	16.983282	68.17116	-31.875565	41.157925	16.987518	70.99412	-30.817026	-42.187317	5.908822	5401.504280328751
57	760.97675	135.82762	901.9835	510.42197	615.2629	350.56522	952.77155	60.238224	860.4	718.5	227999	41.47565	17.010187	69.7933	-30.381628	41.475796	17.012142	67.93253	-32.28361	-42.483402	5.7866592	5501.088912725449
58	808.6515	39.316963	848.89166	755.05493	567.07355	348.01273	966.8123	55.374058	1000.0	576.0	231999	41.796677	17.009403	74.29399	-35.24059	41.79666	17.011026	67.63366	-40.15702	-42.783337	5.8671665	5598.267666816711
59	696.19324	289.27792	924.9184	205.96428	698.9558	332.21094	1002.9135	16.904745	790.75	818.7	235999	42.148247	16.983288	72.43395	-40.19976	42.148	16.9862	69.931206	-33.5562	-43.221634	6.045987	5697.973630189896
60	404.87396	346.37823	860.73816	10.996672	493.31024	406.05496	951.0714	23.549137	526.75	530.9	239999	42.43448	16.947987	71.21969	-39.172684	42.43463	16.949852	72.72236	-44.296978	-43.455906	5.954461	5793.669144153595
61	572.4178	368.75723	914.72546	45.410187	471.06168	430.53912	1124.1619	11.818351	692.1667	526.7	243999	42.673683	16.923069	70.43019	-36.658237	42.673737	16.92519	72.13473	-40.128067	-43.67353	5.9232244	5890.612218618393
62	652.0319	334.36282	1027.6104	41.055683	690.3602	217.31665	925.11926	108.52285	724.8333	905.2	247999	43.050644	16.998756	72.90972	-39.4817	43.050236	17.002464	74.36925	-47.36094	-44.098255	6.099136	5993.472909450531
63	624.3972	266.41153	873.42017	127.8303	381.91962	401.3544	1181.0342	6.0428143	819.2	362.4	251999	43.3576	17.011417	72.876884	-50.40486	43.357224	17.014517	74.15828	-52.527294	-44.416283	6.1867566	6087.992707967758
64	710.72766	225.96628	877.13983	321.27417	536.68787	399.3261	972.61334	46.900974	809.25	541.0	255999	43.58368	17.05049	71.900185	-57.010006	43.583225	17.054544	73.31663	-67.77507	-44.632626	6.2166004	6184.271473646164
65	610.3575	194.8916	779.55554	227.11806	501.3064	270.50046	823.59985	139.12538	776.6667	514.1	259999	43.87412	17.03065	74.493355	-54.037735	43.873493	17.034166	73.306	-47.001083	-44.941025	6.1646867	6279.607668876648
66	401.05362	377.65485	1001.6255	-10.78784	763.60693	332.62708	1044.7635	47.02429	404.77777	815.8	263999	44.1265	17.009506	73.370605	-49.028885	44.125935	17.01358	71.88943	-45.59332	-45.105007	6.345875	6379.512671947479
